# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   40       1.654468544960e-10       7.723680254724e-15       2.365013066983e-13       6.361462097248e-17       8.289914587064e-11       7.612428200190e-12      -7.961942537687e-15 
   41       1.679344259186e-10       8.388070698320e-15       2.271646625727e-13       6.684007916651e-17       7.880219222367e-11       7.262487560597e-12      -7.394109034608e-15 
   42       1.704466331925e-10       9.088181573009e-15       2.164162961374e-13       7.014657777280e-17       7.497798382407e-11       6.937190164904e-12      -7.070452470401e-15 
   43       1.729800174354e-10       9.824481199929e-15       2.042924756416e-13       7.353415330235e-17       7.138528260647e-11       6.632783180912e-12      -7.086516082814e-15 
   44       1.755379574541e-10       1.059756042310e-14       1.907535703254e-13       7.700283493621e-17       6.801856836294e-11       6.348412795932e-12      -7.394337962684e-15 
   45       1.781238857314e-10       1.140801778718e-14       1.757342756556e-13       8.055264635735e-17       6.487441742958e-11       6.083279744683e-12      -7.889504455767e-15 
   46       1.807385351522e-10       1.225641476012e-14       1.591624734141e-13       8.418360648800e-17       6.193812154608e-11       5.835502333546e-12      -8.443515625765e-15 
   47       1.833796753033e-10       1.314327421880e-14       1.409587191938e-13       8.789572955115e-17       5.918280799847e-11       5.602034094938e-12      -8.902372872764e-15 
   48       1.860437755111e-10       1.406903590963e-14       1.210490065811e-13       9.168902244304e-17       5.657771373755e-11       5.379572615715e-12      -9.128826989510e-15 
   49       1.887321636011e-10       1.503391151746e-14       9.940851027339e-14       9.556347583155e-17       5.411781877359e-11       5.167781105030e-12      -9.146500572606e-15 
   50       1.914461501512e-10       1.603798614055e-14       7.602929307158e-14       9.951907065413e-17       5.180105437929e-11       4.966833467967e-12      -9.033965324224e-15 
   51       1.941850920024e-10       1.708125413047e-14       5.090826659363e-14       1.035557805138e-16       4.961947577595e-11       4.776471425292e-12      -8.885423797243e-15 
   52       1.969462268617e-10       1.816361538253e-14       2.404735615259e-14       1.076735716034e-16       4.755884931577e-11       4.595972737931e-12      -8.811524587051e-15 
   53       1.997263711031e-10       1.928495743842e-14      -4.552822279623e-15       1.118724016683e-16       4.560312248500e-11       4.424443857121e-12      -8.910735919576e-15 
   54       2.025279064384e-10       2.044543511836e-14      -3.491421955317e-14       1.161522167556e-16       4.375013360734e-11       4.261859365783e-12      -9.172948000437e-15 
   55       2.053540444122e-10       2.164525632916e-14      -6.706527470965e-14       1.205129534972e-16       4.199922229641e-11       4.108234441869e-12      -9.552503461293e-15 
   56       2.082070126409e-10       2.288460243720e-14      -1.010350102719e-13       1.249545398844e-16       4.034649682610e-11       3.963306064712e-12      -9.995059421239e-15 
   57       2.110879675374e-10       2.416362815688e-14      -1.368531393956e-13       1.294768951520e-16       3.878462604337e-11       3.826514842253e-12      -1.043716822981e-14 
   58       2.139969070345e-10       2.548246143912e-14      -1.745501730215e-13       1.340799296625e-16       3.730263128103e-11       3.696986838264e-12      -1.080585821001e-14 
   59       2.169333148686e-10       2.684109802424e-14      -2.141480956037e-13       1.387635501462e-16       3.588890848635e-11       3.573770516298e-12      -1.103640488390e-14 
   60       2.198984663660e-10       2.823905675819e-14      -2.556296203193e-13       1.435276771084e-16       3.454158677193e-11       3.456653101281e-12      -1.113141617569e-14 
   61       2.228935048329e-10       2.967564389116e-14      -2.989619706898e-13       1.483722312667e-16       3.326021193937e-11       3.345502020517e-12      -1.111475196028e-14 
   62       2.259186958773e-10       3.115004776809e-14      -3.441054760140e-13       1.532971286144e-16       3.204263119787e-11       3.240017125863e-12      -1.101473337188e-14 
   63       2.289733649314e-10       3.266133514643e-14      -3.910133588099e-13       1.583022804855e-16       3.088489457592e-11       3.139721168975e-12      -1.086434017360e-14 
   64       2.320558347753e-10       3.420844751398e-14      -4.396315222576e-13       1.633875936206e-16       2.978115633289e-11       3.043950276560e-12      -1.070140812694e-14 
   65       2.351643470269e-10       3.579031730109e-14      -4.899100301822e-13       1.685529830675e-16       2.872528807400e-11       2.952032457832e-12      -1.056013872296e-14 
   66       2.383001937768e-10       3.740625339432e-14      -5.418408502806e-13       1.737984139113e-16       2.771633661423e-11       2.863888461239e-12      -1.044309514087e-14 
   67       2.414651394557e-10       3.905563092684e-14      -5.954277479090e-13       1.791238685250e-16       2.675404917505e-11       2.779541518417e-12      -1.034361081066e-14 
   68       2.446604610890e-10       4.073777826592e-14      -6.506754112366e-13       1.845293349315e-16       2.583721391422e-11       2.698936355099e-12      -1.025390893687e-14 
   69       2.478869133426e-10       4.245197668440e-14      -7.075895657524e-13       1.900148072272e-16       2.496360921721e-11       2.621934926004e-12      -1.016505685722e-14 
   70       2.511446935702e-10       4.419746003216e-14      -7.661770887720e-13       1.955802860074e-16       2.412995298865e-11       2.548312149735e-12      -1.006692040130e-14 
   71       2.544334068591e-10       4.597341440765e-14      -8.264461239436e-13       2.012257787905e-16       2.333185194383e-11       2.477751643664e-12      -9.948118249259e-15 
   72       2.577525197802e-10       4.777894254183e-14      -8.883981778695e-13       2.069513121094e-16       2.256493174265e-11       2.409930055221e-12      -9.799192267729e-15 
   73       2.611029001454e-10       4.961294976575e-14      -9.520023992029e-13       2.127569695295e-16       2.182859121822e-11       2.344798274077e-12      -9.622924461963e-15 
   74       2.644855110157e-10       5.147423545886e-14      -1.017216546369e-12       2.186428617295e-16       2.112288048915e-11       2.282346742221e-12      -9.425927101363e-15 
   75       2.679009247950e-10       5.336152528222e-14      -1.083994500618e-12       2.246091161603e-16       2.044736062270e-11       2.222519436094e-12      -9.215629519219e-15 
   76       2.713492994338e-10       5.527347004428e-14      -1.152286197468e-12       2.306558777359e-16       1.980107988609e-11       2.165211624224e-12      -9.000305895523e-15 
   77       2.748303546330e-10       5.720864456672e-14      -1.222037558165e-12       2.367833095243e-16       1.918254999786e-11       2.110267624867e-12      -8.789103039784e-15 
   78       2.783433480487e-10       5.916554655032e-14      -1.293190421124e-12       2.429915934384e-16       1.858972237918e-11       2.057478563647e-12      -8.592068173835e-15 
   79       2.818870514955e-10       6.114259544075e-14      -1.365682473383e-12       2.492809309271e-16       1.801996440520e-11       2.006580131197e-12      -8.420176714652e-15 
   80       2.854602812555e-10       6.313818139198e-14      -1.439452468231e-12       2.556515389988e-16       1.747071332618e-11       1.957318931205e-12      -8.282741820629e-15 
   81       2.890636474165e-10       6.515082444433e-14      -1.514457072438e-12       2.621036359783e-16       1.694162106227e-11       1.909669727355e-12      -8.179063817489e-15 
   82       2.926980663169e-10       6.717904104923e-14      -1.590656833372e-12       2.686374545260e-16       1.643274027705e-11       1.863652007983e-12      -8.105374489265e-15 
   83       2.963642200985e-10       6.922129622371e-14      -1.668011181581e-12       2.752532466806e-16       1.594386876452e-11       1.819263789501e-12      -8.057306124259e-15 
   84       3.000625431719e-10       7.127600334394e-14      -1.746478460134e-12       2.819512844639e-16       1.547453824984e-11       1.776480644238e-12      -8.029870811992e-15 
   85       3.037932086816e-10       7.334152393883e-14      -1.826015953963e-12       2.887318604847e-16       1.502400319011e-11       1.735254728267e-12      -8.017439740150e-15 
   86       3.075561149716e-10       7.541616748356e-14      -1.906579919205e-12       2.955952885436e-16       1.459122957518e-11       1.695513809242e-12      -8.013722491543e-15 
   87       3.113508720501e-10       7.749819119317e-14      -1.988125612544e-12       3.025419042377e-16       1.417488372837e-11       1.657160294227e-12      -8.011746341051e-15 
   88       3.151767880554e-10       7.958579981610e-14      -2.070607320551e-12       3.095720655648e-16       1.377332110727e-11       1.620070257530e-12      -8.003835552579e-15 
   89       3.190331622629e-10       8.167717119528e-14      -2.153976781848e-12       3.166861406162e-16       1.338497797651e-11       1.584124178779e-12      -7.983252823375e-15 
   90       3.229202462850e-10       8.377053799650e-14      -2.238178105971e-12       3.238844671262e-16       1.300964125101e-11       1.549306802212e-12      -7.949463836117e-15 
   91       3.268384094170e-10       8.586411847989e-14      -2.323152107793e-12       3.311673876616e-16       1.264735814296e-11       1.515621223802e-12      -7.903664241998e-15 
   92       3.307878367008e-10       8.795609205075e-14      -2.408837848940e-12       3.385352623735e-16       1.229804593093e-11       1.483058085336e-12      -7.847195169589e-15 
   93       3.347685199820e-10       9.004459943916e-14      -2.495172643057e-12       3.459884694085e-16       1.196148679619e-11       1.451595077305e-12      -7.781547422878e-15 
   94       3.387802489678e-10       9.212774287957e-14      -2.582092061070e-12       3.535274053199e-16       1.163732265902e-11       1.421196441797e-12      -7.708365679300e-15 
   95       3.428226022845e-10       9.420358629040e-14      -2.669529936455e-12       3.611524854786e-16       1.132505001501e-11       1.391812475389e-12      -7.629452687777e-15 
   96       3.468949385356e-10       9.627015545364e-14      -2.757418370498e-12       3.688641444841e-16       1.102401477136e-11       1.363379032041e-12      -7.546773466750e-15 
