# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   40       1.657264714055e-10       7.743734438849e-15       2.365684269971e-13       6.413082155696e-17       8.424319709030e-11       8.796868956064e-12      -7.392462248937e-15 
   41       1.682262846349e-10       8.409430899305e-15       2.271342083498e-13       6.738270055851e-17       8.006772380221e-11       8.393240391524e-12      -6.806073598657e-15 
   42       1.707458238347e-10       9.110804785520e-15       2.163035603170e-13       7.071630802874e-17       7.617092873777e-11       8.017294882303e-12      -6.464448650628e-15 
   43       1.732759853504e-10       9.848432832289e-15       2.041301410815e-13       7.413168113486e-17       7.251063818376e-11       7.666521077044e-12      -6.483134536676e-15 
   44       1.758213285543e-10       1.062291746994e-14       1.905681513964e-13       7.762884818443e-17       6.908115589454e-11       7.340099348059e-12      -6.814437040978e-15 
   45       1.783889116891e-10       1.143483939747e-14       1.755373870796e-13       8.120783115411e-17       6.587893655197e-11       7.036757193253e-12      -7.347739320587e-15 
   46       1.809838947428e-10       1.228473840340e-14       1.589476472155e-13       8.486864667451e-17       6.288892471049e-11       6.753888560524e-12      -7.946879511786e-15 
   47       1.836093219615e-10       1.317311163359e-14       1.406980385304e-13       8.861130606155e-17       6.008365771842e-11       6.487453830142e-12      -8.448652942411e-15 
   48       1.862663842015e-10       1.410038064907e-14       1.206955906252e-13       9.243581265750e-17       5.743170873639e-11       6.233149936317e-12      -8.707353279215e-15 
   49       1.889558009076e-10       1.506678566021e-14       9.891892987863e-14       9.634215289474e-17       5.492792331585e-11       5.990544146848e-12      -8.746737856998e-15 
   50       1.916764540300e-10       1.607245850246e-14       7.537135927575e-14       1.003303027668e-16       5.257016485987e-11       5.759933703848e-12      -8.648326147606e-15 
   51       1.944247539410e-10       1.711744800079e-14       5.006339714782e-14       1.044002301955e-16       5.035030849745e-11       5.541143074751e-12      -8.509931094122e-15 
   52       1.971944464298e-10       1.820171664515e-14       2.301306679506e-14       1.085518949250e-16       4.825382054043e-11       5.333488737712e-12      -8.446510248441e-15 
   53       1.999791345892e-10       1.932520494621e-14      -5.763677566340e-15       1.127852480653e-16       4.626431531954e-11       5.136080501688e-12      -8.560597987585e-15 
   54       2.027810500795e-10       2.048805158294e-14      -3.628522992196e-14       1.171002308283e-16       4.437956938414e-11       4.948897491227e-12      -8.842716816916e-15 
   55       2.056042009511e-10       2.169042407028e-14      -6.857984891501e-14       1.214967752821e-16       4.259889229295e-11       4.771927469468e-12      -9.246840956096e-15 
   56       2.084517767835e-10       2.293245555840e-14      -1.026766418691e-13       1.259748045554e-16       4.091830260326e-11       4.604833892666e-12      -9.718158975145e-15 
   57       2.113260695120e-10       2.421424434586e-14      -1.386056887368e-13       1.305342327169e-16       3.933031602296e-11       4.446934806059e-12      -1.019264950554e-14 
