# Matter power spectrum P(k) at redshift z=0
# for k=1.02324e-05 to 5.25887 h/Mpc,
# number of wavenumbers equal to 557
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.312769260702e-02       2.610434703902e+04 
       1.325398313821e-02       2.614945091273e+04 
       1.338030971269e-02       2.619225446273e+04 
       1.350667240915e-02       2.623278901794e+04 
       1.363307132969e-02       2.627109962646e+04 
       1.375950659939e-02       2.630720449469e+04 
       1.388597836594e-02       2.634112503296e+04 
       1.401248679927e-02       2.637290676553e+04 
       1.413903209128e-02       2.640255410821e+04 
       1.426561445556e-02       2.643010007542e+04 
       1.439223412713e-02       2.645559772471e+04 
       1.451889136224e-02       2.647903436207e+04 
       1.464558643819e-02       2.650046773067e+04 
       1.477231965316e-02       2.651991317029e+04 
       1.489909132607e-02       2.653739942091e+04 
       1.502590179651e-02       2.655294088372e+04 
       1.515275142460e-02       2.656656398050e+04 
       1.527964059099e-02       2.657831649776e+04 
       1.540656969678e-02       2.658819046543e+04 
       1.553353916353e-02       2.659623879350e+04 
       1.566054943323e-02       2.660247037360e+04 
       1.578760096837e-02       2.660691908283e+04 
       1.591469425194e-02       2.660961110854e+04 
       1.604182978755e-02       2.661055787355e+04 
       1.616900809946e-02       2.660979366229e+04 
       1.629622973269e-02       2.660733906212e+04 
       1.642349525318e-02       2.660320901752e+04 
       1.655080524789e-02       2.659744336787e+04 
       1.667816032496e-02       2.659005054629e+04 
       1.680556111389e-02       2.658106263909e+04 
       1.693300826574e-02       2.657050856900e+04 
       1.706050245331e-02       2.655838769877e+04 
       1.718804437139e-02       2.654475012028e+04 
       1.731563473698e-02       2.652961219558e+04 
       1.744327428957e-02       2.651294839896e+04 
       1.757096379138e-02       2.649485018223e+04 
       1.769870402768e-02       2.647534246685e+04 
       1.782649580708e-02       2.645434731353e+04 
       1.795433996186e-02       2.643198276499e+04 
       1.808223734831e-02       2.640825107395e+04 
       1.821018884708e-02       2.638318296353e+04 
       1.833819536354e-02       2.635670376345e+04 
       1.846625782821e-02       2.632899662758e+04 
       1.859437719712e-02       2.629993074972e+04 
       1.872255445228e-02       2.626965861779e+04 
       1.885079060207e-02       2.623808526059e+04 
       1.897908668174e-02       2.620528622869e+04 
       1.910744375386e-02       2.617130347231e+04 
       1.923586290885e-02       2.613612055432e+04 
       1.936434526544e-02       2.609972738822e+04 
       1.949289197125e-02       2.606222574473e+04 
       1.962150420331e-02       2.602358480543e+04 
       1.975018316866e-02       2.598384519499e+04 
       1.987893010491e-02       2.594297091285e+04 
       2.000774628087e-02       2.590104669045e+04 
       2.013663299716e-02       2.585805392396e+04 
       2.026559158690e-02       2.581406881648e+04 
       2.039462341634e-02       2.576902020235e+04 
       2.052372988559e-02       2.572300647513e+04 
       2.065291242933e-02       2.567597778114e+04 
       2.078217251753e-02       2.562803306067e+04 
       2.091151165623e-02       2.557911185203e+04 
       2.104093138837e-02       2.552927459962e+04 
