# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   40       1.654811542953e-10       7.740626023919e-15       2.362298245140e-13       6.314167122006e-17       8.253575323092e-11       7.710683978712e-12      -8.445010626783e-15 
   41       1.679575947122e-10       8.406139445266e-15       2.266570259371e-13       6.634325780613e-17       7.845303070287e-11       7.358045949581e-12      -7.570438818691e-15 
   42       1.704605890150e-10       9.107225206095e-15       2.156677654383e-13       6.962535571508e-17       7.464226007021e-11       7.030254724770e-12      -6.940971059341e-15 
   43       1.729908569216e-10       9.844316776669e-15       2.033461589412e-13       7.298801063769e-17       7.106231967571e-11       6.722740407628e-12      -6.758638244535e-15 
   44       1.755509730868e-10       1.061802258188e-14       1.896559201054e-13       7.643125565879e-17       6.770769411208e-11       6.434729032473e-12      -6.982009148840e-15 
   45       1.781418002740e-10       1.142898036273e-14       1.745206986214e-13       7.995511628712e-17       6.457495972970e-11       6.165798005164e-12      -7.480779143072e-15 
   46       1.807609446008e-10       1.227780101221e-14       1.578543243155e-13       8.355961236912e-17       6.164944616062e-11       5.914512343073e-12      -8.093663382861e-15 
   47       1.834024597102e-10       1.316506767474e-14       1.395601107245e-13       8.724475807816e-17       5.890435949977e-11       5.678346114694e-12      -8.626566288197e-15 
   48       1.860596282652e-10       1.409128447001e-14       1.195478067592e-13       9.101055871439e-17       5.630902927945e-11       5.454421415031e-12      -8.904063499084e-15 
   49       1.887349238656e-10       1.505670767356e-14       9.779172723906e-14       9.485700006276e-17       5.385844429521e-11       5.242154924472e-12      -8.945279608824e-15 
   50       1.914323490066e-10       1.606146540085e-14       7.428781210764e-14       9.878405601663e-17       5.155053609442e-11       5.041222406880e-12      -8.834443170519e-15 
   51       1.941544675272e-10       1.710560044266e-14       4.903760798588e-14       1.027916913360e-16       4.937738090489e-11       4.850770366863e-12      -8.672770429917e-15 
   52       1.969022657878e-10       1.818906679440e-14       2.204847216009e-14       1.068798614740e-16       4.732478831568e-11       4.669379200388e-12      -8.579354829236e-15 
   53       1.996758971838e-10       1.931178311532e-14      -6.673836193406e-15       1.110485129641e-16       4.537675582500e-11       4.495551159540e-12      -8.660824877664e-15 
   54       2.024774600001e-10       2.047381723420e-14      -3.715008850289e-14       1.152975850988e-16       4.353112406338e-11       4.329406380032e-12      -8.909110337594e-15 
   55       2.053086919148e-10       2.167524303894e-14      -6.940870999773e-14       1.196270083803e-16       4.178723032879e-11       4.171358751843e-12      -9.278937621525e-15 
   56       2.081700496930e-10       2.291608664019e-14      -1.034788407391e-13       1.240367038506e-16       4.014119245417e-11       4.021614768852e-12      -9.716349797498e-15 
   57       2.110606074020e-10       2.419632528756e-14      -1.393904508256e-13       1.285265829418e-16       3.858570150788e-11       3.880158684239e-12      -1.015828659048e-14 
   58       2.139779546257e-10       2.551588628592e-14      -1.771744555984e-13       1.330965473260e-16       3.710981449409e-11       3.746737665892e-12      -1.053216438376e-14 
   59       2.169194087312e-10       2.687460084256e-14      -2.168532371591e-13       1.377464965711e-16       3.570196564368e-11       3.620935451113e-12      -1.077356485200e-14 
