# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  122       4.609055176493e-10       1.401496543946e-13      -4.964683326123e-12       5.976688658296e-16       5.777601407404e-12       8.489655179644e-13      -5.599586346936e-15 
  123       4.655247723520e-10       1.412532268130e-13      -5.037386905147e-12       6.079011437829e-16       5.649479988956e-12       8.352451021498e-13      -5.540085176869e-15 
  124       4.701516753600e-10       1.422993251854e-13      -5.108505121788e-12       6.182397654572e-16       5.524639523015e-12       8.218493535722e-13      -5.482302359467e-15 
  125       4.747854948243e-10       1.432869374781e-13      -5.177967446743e-12       6.286854910760e-16       5.403093184533e-12       8.087780071434e-13      -5.426101118943e-15 
  126       4.794254291003e-10       1.442151036383e-13      -5.245703618493e-12       6.392390894114e-16       5.284837939160e-12       7.960288978645e-13      -5.371326049769e-15 
  127       4.840706047220e-10       1.450829171991e-13      -5.311643678794e-12       6.499013377601e-16       5.169854071735e-12       7.835979060740e-13      -5.317802656524e-15 
  128       4.887200743767e-10       1.458895268837e-13      -5.375718008170e-12       6.606730219207e-16       5.058104714789e-12       7.714789026956e-13      -5.265336893752e-15 
  129       4.933728148792e-10       1.466341382105e-13      -5.437857361404e-12       6.715549361696e-16       4.949535377048e-12       7.596636944863e-13      -5.213714705802e-15 
  130       4.980277251461e-10       1.473160150976e-13      -5.497992903030e-12       6.825478832387e-16       4.844073471930e-12       7.481419692841e-13      -5.162701566690e-15 
  131       5.026836241702e-10       1.479344814677e-13      -5.556056242824e-12       6.936526742911e-16       4.741627846045e-12       7.369012412558e-13      -5.112042019943e-15 
  132       5.073392489949e-10       1.484889228526e-13      -5.611979471297e-12       7.048701288987e-16       4.642088307696e-12       7.259267961452e-13      -5.061459218453e-15 
  133       5.119932526883e-10       1.489787879982e-13      -5.665695195185e-12       7.162010750179e-16       4.545325155381e-12       7.152016365211e-13      -5.010654464325e-15 
  134       5.166442023181e-10       1.494035904690e-13      -5.717136572944e-12       7.276463489675e-16       4.451188706290e-12       7.047064270245e-13      -4.959306748732e-15 
  135       5.212905769254e-10       1.497629102529e-13      -5.766237350238e-12       7.392067954041e-16       4.359508824806e-12       6.944194396175e-13      -4.907072291763e-15 
  136       5.259307654991e-10       1.500563953657e-13      -5.812931895433e-12       7.508832672999e-16       4.270094451006e-12       6.843164988304e-13      -4.853584082275e-15 
  137       5.305632087009e-10       1.502837905424e-13      -5.857155925545e-12       7.626765961290e-16       4.182774134476e-12       6.743762739038e-13      -4.798533627992e-15 
  138       5.351868448783e-10       1.504450232632e-13      -5.898848693736e-12       7.745874989967e-16       4.097523367701e-12       6.645968891723e-13      -4.741926727317e-15 
  139       5.398007065786e-10       1.505401297133e-13      -5.937951096527e-12       7.866166618110e-16       4.014349596386e-12       6.549809366991e-13      -4.683853415324e-15 
  140       5.444037798367e-10       1.505692302556e-13      -5.974405043154e-12       7.987647680002e-16       3.933252187131e-12       6.455302629846e-13      -4.624408189377e-15 
