# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   40       1.656312744763e-10       7.680058230250e-15       2.367591718543e-13       0.000000000000e+00       8.424319709030e-11       8.796868956064e-12      -7.392462248937e-15 
   41       1.681270837559e-10       8.342594358676e-15       2.273389162706e-13       0.000000000000e+00       8.006772380221e-11       8.393240391524e-12      -6.806073598657e-15 
   42       1.706425754339e-10       9.040738328098e-15       2.165225984687e-13       0.000000000000e+00       7.617092873777e-11       8.017294882303e-12      -6.464448650628e-15 
   43       1.731686492995e-10       9.775067803028e-15       2.043638305148e-13       0.000000000000e+00       7.251063818376e-11       7.666521077044e-12      -6.483134536676e-15 
   44       1.757098673295e-10       1.054618625360e-14       1.908167615093e-13       0.000000000000e+00       6.908115589454e-11       7.340099348059e-12      -6.814437040978e-15 
   45       1.782732901070e-10       1.135467549135e-14       1.758011298857e-13       0.000000000000e+00       6.587893655197e-11       7.036757193253e-12      -7.347739320587e-15 
   46       1.808640799148e-10       1.220107647645e-14       1.592266714144e-13       0.000000000000e+00       6.288892471049e-11       6.753888560524e-12      -7.946879511786e-15 
   47       1.834852832453e-10       1.308588758668e-14       1.409924233755e-13       0.000000000000e+00       6.008365771842e-11       6.487453830142e-12      -8.448652942411e-15 
   48       1.861380929961e-10       1.400953171114e-14       1.210053400130e-13       0.000000000000e+00       5.743170873639e-11       6.233149936317e-12      -8.707353279215e-15 
   49       1.888232299326e-10       1.497225060190e-14       9.924396764614e-14       0.000000000000e+00       5.492792331585e-11       5.990544146848e-12      -8.746737856998e-15 
   50       1.915395769704e-10       1.597417776730e-14       7.571152328371e-14       0.000000000000e+00       5.257016485987e-11       5.759933703848e-12      -8.648326147606e-15 
   51       1.942835452250e-10       1.701536380711e-14       5.041843279468e-14       0.000000000000e+00       5.035030849745e-11       5.541143074751e-12      -8.509931094122e-15 
   52       1.970488809948e-10       1.809577309098e-14       2.338262035084e-14       0.000000000000e+00       4.825382054043e-11       5.333488737712e-12      -8.446510248441e-15 
   53       1.998291878046e-10       1.921534812663e-14      -5.380064307852e-15       0.000000000000e+00       4.626431531954e-11       5.136080501688e-12      -8.560597987585e-15 
   54       2.026266982075e-10       2.037422974234e-14      -3.588812022321e-14       0.000000000000e+00       4.437956938414e-11       4.948897491227e-12      -8.842716816916e-15 
   55       2.054454211894e-10       2.157258773377e-14      -6.816991553061e-14       0.000000000000e+00       4.259889229295e-11       4.771927469468e-12      -9.246840956096e-15 
   56       2.082885471514e-10       2.281055765741e-14      -1.022546729877e-13       0.000000000000e+00       4.091830260326e-11       4.604833892666e-12      -9.718158975145e-15 
   57       2.111583687329e-10       2.408824034711e-14      -1.381725940403e-13       0.000000000000e+00       3.933031602296e-11       4.446934806059e-12      -1.019264950554e-14 
   58       2.140562016339e-10       2.540570143068e-14      -1.759549828887e-13       0.000000000000e+00       3.782373356252e-11       4.297181739744e-12      -1.059665695135e-14 
   59       2.169827665565e-10       2.676288023916e-14      -2.156252615829e-13       0.000000000000e+00       3.638672045801e-11       4.154444407490e-12      -1.086461669024e-14 
   60       2.199396184306e-10       2.815929293034e-14      -2.571692969482e-13       0.000000000000e+00       3.501735904870e-11       4.018489941053e-12      -1.099800114990e-14 
   61       2.229279097521e-10       2.959425944469e-14      -3.005583897112e-13       0.000000000000e+00       3.371517653595e-11       3.889194168830e-12      -1.101933722333e-14 
   62       2.259478964002e-10       3.106698456848e-14      -3.457575966387e-13       0.000000000000e+00       3.247797144134e-11       3.766245289081e-12      -1.095544743894e-14 
   63       2.289988740913e-10       3.257655437884e-14      -3.927255458252e-13       0.000000000000e+00       3.130171331022e-11       3.649133132006e-12      -1.083764090869e-14 
   64       2.320791148326e-10       3.412193268888e-14      -4.414142519804e-13       0.000000000000e+00       3.018044241524e-11       3.537138421813e-12      -1.070190427607e-14 
   65       2.351867601242e-10       3.570207289756e-14      -4.917791251816e-13       0.000000000000e+00       2.910791203050e-11       3.429531299144e-12      -1.058089695770e-14 
   66       2.383228631616e-10       3.731628905639e-14      -5.438118757165e-13       0.000000000000e+00       2.808314478738e-11       3.326239874404e-12      -1.047753756726e-14 
   67       2.414888792286e-10       3.896395726575e-14      -5.975142683161e-13       0.000000000000e+00       2.710587724651e-11       3.227304485778e-12      -1.038614836203e-14 
   68       2.446857297043e-10       4.064440688376e-14      -6.528886421425e-13       0.000000000000e+00       2.617487057198e-11       3.132676139284e-12      -1.030011975835e-14 
   69       2.479137652794e-10       4.235692019954e-14      -7.099380112081e-13       0.000000000000e+00       2.528785897806e-11       3.042211624281e-12      -1.021187202908e-14 
   70       2.511727291727e-10       4.410073210638e-14      -7.686661647947e-13       0.000000000000e+00       2.444149817606e-11       2.955668628981e-12      -1.011281700115e-14 
   71       2.544617203467e-10       4.587502977501e-14      -8.290777678729e-13       0.000000000000e+00       2.363131382108e-11       2.872700855957e-12      -9.993319753082e-15 
   72       2.577797737265e-10       4.767891529055e-14      -8.911712876346e-13       0.000000000000e+00       2.285285124114e-11       2.792952120408e-12      -9.845458154254e-15 
   73       2.611278115330e-10       4.951128598686e-14      -9.549159780548e-13       0.000000000000e+00       2.210549468257e-11       2.716370410095e-12      -9.671999830306e-15 
   74       2.645070017774e-10       5.137093044485e-14      -1.020270638422e-12       0.000000000000e+00       2.138929141711e-11       2.642945562830e-12      -9.479087129919e-15 
   75       2.679181521361e-10       5.325656234113e-14      -1.087190333496e-12       0.000000000000e+00       2.070379169953e-11       2.572613045162e-12      -9.273617100027e-15 
   76       2.713616872536e-10       5.516681927563e-14      -1.155626330142e-12       0.000000000000e+00       2.004802464089e-11       2.505251327766e-12      -9.063267061007e-15 
   77       2.748376260454e-10       5.710026159921e-14      -1.225526033961e-12       0.000000000000e+00       1.942047408192e-11       2.440679260834e-12      -8.856520181869e-15 
   78       2.783455590011e-10       5.905537124135e-14      -1.296832925922e-12       0.000000000000e+00       1.881905446633e-11       2.378653449466e-12      -8.662691055448e-15 
   79       2.818846254872e-10       6.103055053775e-14      -1.369486498992e-12       0.000000000000e+00       1.824108671412e-11       2.318865629056e-12      -8.491951273591e-15 
   80       2.854539699072e-10       6.302417388402e-14      -1.443427023167e-12       0.000000000000e+00       1.768396302644e-11       2.261019419176e-12      -8.352943589671e-15 
   81       2.890542513449e-10       6.503475560635e-14      -1.518610932968e-12       0.000000000000e+00       1.714732733974e-11       2.205081710112e-12      -8.245090973217e-15 
   82       2.926863558885e-10       6.706080924062e-14      -1.594998009065e-12       0.000000000000e+00       1.663123127166e-11       2.151070346760e-12      -8.164992333589e-15 
   83       2.963509274440e-10       6.910079710468e-14      -1.672546812868e-12       0.000000000000e+00       1.613546762957e-11       2.098977490928e-12      -8.108696514206e-15 
   84       3.000483539059e-10       7.115313010423e-14      -1.751214712583e-12       0.000000000000e+00       1.565955904184e-11       2.048768466693e-12      -8.071683211949e-15 
   85       3.037787533281e-10       7.321616753873e-14      -1.830957909253e-12       0.000000000000e+00       1.520274658922e-11       2.000380605768e-12      -8.048843896559e-15 
   86       3.075419600945e-10       7.528821690733e-14      -1.911731462806e-12       0.000000000000e+00       1.476397843608e-11       1.953722092863e-12      -8.034462730037e-15 
   87       3.113375110894e-10       7.736753371473e-14      -1.993489318104e-12       0.000000000000e+00       1.434189846179e-11       1.908670811047e-12      -8.022197486044e-15 
   88       3.151646318690e-10       7.945232127712e-14      -2.076184330984e-12       0.000000000000e+00       1.393483489203e-11       1.865073187109e-12      -8.005060469301e-15 
   89       3.190225411199e-10       8.154075566090e-14      -2.159766990874e-12       0.000000000000e+00       1.354119811995e-11       1.822782390728e-12      -7.976917757604e-15 
   90       3.229114489154e-10       8.363106540539e-14      -2.244181302203e-12       0.000000000000e+00       1.316077046935e-11       1.781782316106e-12      -7.937298045963e-15 
   91       3.268316903031e-10       8.572146400663e-14      -2.329368301901e-12       0.000000000000e+00       1.279359874888e-11       1.742081012181e-12      -7.887306508549e-15 
   92       3.307834120217e-10       8.781012607762e-14      -2.415267311746e-12       0.000000000000e+00       1.243959790766e-11       1.703672502985e-12      -7.828177243790e-15 
   93       3.347665634399e-10       8.989518753081e-14      -2.501815944886e-12       0.000000000000e+00       1.209854579684e-11       1.666536222575e-12      -7.761276940170e-15 
   94       3.387808874960e-10       9.197474576051e-14      -2.588950112360e-12       0.000000000000e+00       1.177007793108e-11       1.630636449968e-12      -7.688108542041e-15 
   95       3.428259116370e-10       9.404685982529e-14      -2.676604029614e-12       0.000000000000e+00       1.145368225005e-11       1.595921744068e-12      -7.610314915420e-15 
   96       3.469009387569e-10       9.610955063042e-14      -2.764710223021e-12       0.000000000000e+00       1.114869387993e-11       1.562324378605e-12      -7.529682513806e-15 
   97       3.510050381368e-10       9.816080111030e-14      -2.853199536403e-12       0.000000000000e+00       1.085428989493e-11       1.529759777063e-12      -7.448145043976e-15 
   98       3.551370363834e-10       1.001985564109e-13      -2.942001137549e-12       0.000000000000e+00       1.056948407879e-11       1.498125947611e-12      -7.367787131798e-15 
   99       3.592958086990e-10       1.022207707920e-13      -3.031043892994e-12       0.000000000000e+00       1.029335279720e-11       1.467327985427e-12      -7.290427482255e-15 
  100       3.634812193522e-10       1.042255555204e-13      -3.120260700456e-12       0.000000000000e+00       1.002576044332e-11       1.437356761070e-12      -7.216293067382e-15 
  101       3.676932982042e-10       1.062110523607e-13      -3.209584785017e-12       0.000000000000e+00       9.766727491884e-12       1.408220379764e-12      -7.145163084816e-15 
  102       3.719319469096e-10       1.081753894638e-13      -3.298948408422e-12       0.000000000000e+00       9.516206148799e-12       1.379919850415e-12      -7.076771297064e-15 
  103       3.761969334961e-10       1.101166821155e-13      -3.388282892183e-12       0.000000000000e+00       9.274077914034e-12       1.352448824396e-12      -7.010804600260e-15 
