# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   40       1.653526592649e-10       7.660519078032e-15       2.366889416224e-13       0.000000000000e+00       8.289914587064e-11       7.612428200190e-12      -7.961942537687e-15 
   41       1.678362676897e-10       8.321774959462e-15       2.273660379998e-13       0.000000000000e+00       7.880219222367e-11       7.262487560597e-12      -7.394109034608e-15 
   42       1.703444688318e-10       9.018682226943e-15       2.166317747376e-13       0.000000000000e+00       7.497798382407e-11       6.937190164904e-12      -7.070452470401e-15 
   43       1.728738072411e-10       9.751710112236e-15       2.045223747473e-13       0.000000000000e+00       7.138528260647e-11       6.632783180912e-12      -7.086516082814e-15 
   44       1.754276643141e-10       1.052145047832e-14       1.909981563829e-13       0.000000000000e+00       6.801856836294e-11       6.348412795932e-12      -7.394337962684e-15 
   45       1.780094748593e-10       1.132850295971e-14       1.759937585310e-13       0.000000000000e+00       6.487441742958e-11       6.083279744683e-12      -7.889504455767e-15 
   46       1.806199740418e-10       1.217343017144e-14       1.594370005187e-13       0.000000000000e+00       6.193812154608e-11       5.835502333546e-12      -8.443515625765e-15 
   47       1.832569336811e-10       1.305675619575e-14       1.412483694087e-13       0.000000000000e+00       5.918280799847e-11       5.602034094938e-12      -8.902372872764e-15 
   48       1.859168251308e-10       1.397892207906e-14       1.213537843921e-13       0.000000000000e+00       5.657771373755e-11       5.379572615715e-12      -9.128826989510e-15 
   49       1.886009775191e-10       1.494014101968e-14       9.972834107389e-14       0.000000000000e+00       5.411781877359e-11       5.167781105030e-12      -9.146500572606e-15 
   50       1.913107023704e-10       1.594049975926e-14       7.636401728153e-14       0.000000000000e+00       5.180105437929e-11       4.966833467967e-12      -9.033965324224e-15 
   51       1.940453572486e-10       1.697999439297e-14       5.125763322050e-14       0.000000000000e+00       4.961947577595e-11       4.776471425292e-12      -8.885423797243e-15 
   52       1.968021803500e-10       1.805852666279e-14       2.441101617239e-14       0.000000000000e+00       4.755884931577e-11       4.595972737931e-12      -8.811524587051e-15 
   53       1.995779884593e-10       1.917598607365e-14      -4.175321213909e-15       0.000000000000e+00       4.560312248500e-11       4.424443857121e-12      -8.910735919576e-15 
   54       2.023751641566e-10       2.033252956376e-14      -3.452343360563e-14       0.000000000000e+00       4.375013360734e-11       4.261859365783e-12      -9.172948000437e-15 
   55       2.051969198967e-10       2.152836728924e-14      -6.666186823309e-14       0.000000000000e+00       4.199922229641e-11       4.108234441869e-12      -9.552503461293e-15 
   56       2.080454840904e-10       2.276368299047e-14      -1.006197616931e-13       0.000000000000e+00       4.034649682610e-11       3.963306064712e-12      -9.995059421239e-15 
   57       2.109220138261e-10       2.403863388379e-14      -1.364269472175e-13       0.000000000000e+00       3.878462604337e-11       3.826514842253e-12      -1.043716822981e-14 
   58       2.138265075904e-10       2.535335055331e-14      -1.741140619419e-13       0.000000000000e+00       3.730263128103e-11       3.696986838264e-12      -1.080585821001e-14 
   59       2.167584499228e-10       2.670783143350e-14      -2.137032202208e-13       0.000000000000e+00       3.588890848635e-11       3.573770516298e-12      -1.103640488390e-14 
   60       2.197191184277e-10       2.810159788817e-14      -2.551772606765e-13       0.000000000000e+00       3.454158677193e-11       3.456653101281e-12      -1.113141617569e-14 
   61       2.227096592183e-10       2.953395869694e-14      -2.985035342891e-13       0.000000000000e+00       3.326021193937e-11       3.345502020517e-12      -1.111475196028e-14 
   62       2.257303408969e-10       3.100410481517e-14      -3.436425022232e-13       0.000000000000e+00       3.204263119787e-11       3.240017125863e-12      -1.101473337188e-14 
   63       2.287804920872e-10       3.251110569258e-14      -3.905475233012e-13       0.000000000000e+00       3.088489457592e-11       3.139721168975e-12      -1.086434017360e-14 
   64       2.318584389669e-10       3.405390559180e-14      -4.391646414773e-13       0.000000000000e+00       2.978115633289e-11       3.043950276560e-12      -1.070140812694e-14 
   65       2.349624268925e-10       3.563143963955e-14      -4.894440633906e-13       0.000000000000e+00       2.872528807400e-11       2.952032457832e-12      -1.056013872296e-14 
   66       2.380937524503e-10       3.724301881582e-14      -5.413778936366e-13       0.000000000000e+00       2.771633661423e-11       2.863888461239e-12      -1.044309514087e-14 
   67       2.412541850129e-10       3.888802015877e-14      -5.949700348762e-13       0.000000000000e+00       2.675404917505e-11       2.779541518417e-12      -1.034361081066e-14 
   68       2.444450068885e-10       4.056577390051e-14      -6.502253152635e-13       0.000000000000e+00       2.583721391422e-11       2.698936355099e-12      -1.025390893687e-14 
   69       2.476669783802e-10       4.227556313489e-14      -7.071496029152e-13       0.000000000000e+00       2.496360921721e-11       2.621934926004e-12      -1.016505685722e-14 
   70       2.509203028451e-10       4.401662348519e-14      -7.657499203789e-13       0.000000000000e+00       2.412995298865e-11       2.548312149735e-12      -1.006692040130e-14 
   71       2.542045917542e-10       4.578814277189e-14      -8.260345591026e-13       0.000000000000e+00       2.333185194383e-11       2.477751643664e-12      -9.948118249259e-15 
   72       2.575193179705e-10       4.758922530144e-14      -8.880051749446e-13       0.000000000000e+00       2.256493174265e-11       2.409930055221e-12      -9.799192267729e-15 
   73       2.608653539602e-10       4.941877753527e-14      -9.516310637774e-13       0.000000000000e+00       2.182859121822e-11       2.344798274077e-12      -9.622924461963e-15 
   74       2.642436670727e-10       5.127559977232e-14      -1.016870131961e-12       0.000000000000e+00       2.112288048915e-11       2.282346742221e-12      -9.425927101363e-15 
   75       2.676548340930e-10       5.315841846290e-14      -1.083676410344e-12       0.000000000000e+00       2.044736062270e-11       2.222519436094e-12      -9.215629519219e-15 
   76       2.710990174476e-10       5.506588506863e-14      -1.151999985653e-12       0.000000000000e+00       1.980107988609e-11       2.165211624224e-12      -9.000305895523e-15 
   77       2.745759414103e-10       5.699657492251e-14      -1.221786931878e-12       0.000000000000e+00       1.918254999786e-11       2.110267624867e-12      -8.789103039784e-15 
   78       2.780848683084e-10       5.894898608884e-14      -1.292979241663e-12       0.000000000000e+00       1.858972237918e-11       2.057478563647e-12      -8.592068173835e-15 
   79       2.816245747281e-10       6.092153822331e-14      -1.365514757689e-12       0.000000000000e+00       1.801996440520e-11       2.006580131197e-12      -8.420176714652e-15 
