# Matter power spectrum P(k) at redshift z=0
# for k=1.0298e-05 to 5.18431 h/Mpc,
# number of wavenumbers equal to 556
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.325308113704e-02       2.570056873052e+04 
       1.338028636575e-02       2.574528778901e+04 
       1.350752772436e-02       2.578774298555e+04 
       1.363480530334e-02       2.582797384888e+04 
       1.376211921643e-02       2.586601429223e+04 
       1.388946960024e-02       2.590188831923e+04 
       1.401685661387e-02       2.593562481554e+04 
       1.414428043863e-02       2.596723735938e+04 
       1.427174127770e-02       2.599678175915e+04 
       1.439923935588e-02       2.602424957751e+04 
       1.452677491939e-02       2.604969228917e+04 
       1.465434823563e-02       2.607312865166e+04 
       1.478195959301e-02       2.609457861013e+04 
       1.490960930085e-02       2.611408210109e+04 
       1.503729768918e-02       2.613165279392e+04 
       1.516502510872e-02       2.614731971961e+04 
       1.529279193076e-02       2.616109780264e+04 
       1.542059854711e-02       2.617303221956e+04 
       1.554844537009e-02       2.618314011248e+04 
       1.567633283254e-02       2.619142901704e+04 
       1.580426138778e-02       2.619794574488e+04 
       1.593223150968e-02       2.620269935396e+04 
       1.606024369272e-02       2.620572207682e+04 
       1.618829845206e-02       2.620703217151e+04 
       1.631639632359e-02       2.620666475475e+04 
       1.644453786411e-02       2.620460488120e+04 
       1.657272365140e-02       2.620093940737e+04 
       1.670095428440e-02       2.619563681981e+04 
       1.682923038335e-02       2.618874850725e+04 
       1.695755259001e-02       2.618026492577e+04 
       1.708592156780e-02       2.617026339975e+04 
       1.721433800207e-02       2.615872704276e+04 
       1.734280260028e-02       2.614566101018e+04 
       1.747131609230e-02       2.613113133878e+04 
       1.759987923064e-02       2.611513602906e+04 
       1.772849279074e-02       2.609769324063e+04 
       1.785715757129e-02       2.607883817353e+04 
       1.798587439450e-02       2.605858267701e+04 
       1.811464410645e-02       2.603695945708e+04 
       1.824346757747e-02       2.601396059779e+04 
       1.837234570246e-02       2.598963650059e+04 
       1.850127940130e-02       2.596399932857e+04 
       1.863026961921e-02       2.593707125195e+04 
       1.875931732721e-02       2.590886721056e+04 
       1.888842352255e-02       2.587938224119e+04 
       1.901758922912e-02       2.584869392000e+04 
       1.914681549795e-02       2.581680077116e+04 
       1.927610340769e-02       2.578370684188e+04 
       1.940545406510e-02       2.574941763293e+04 
       1.953486860562e-02       2.571400950812e+04 
       1.966434819383e-02       2.567743198380e+04 
       1.979389402410e-02       2.563973130885e+04 
       1.992350732109e-02       2.560096607643e+04 
       2.005318934042e-02       2.556112506048e+04 
       2.018294136925e-02       2.552020452971e+04 
       2.031276472692e-02       2.547825581490e+04 
       2.044266076565e-02       2.543528027223e+04 
       2.057263087116e-02       2.539130706004e+04 
       2.070267646347e-02       2.534635154589e+04 
       2.083279899754e-02       2.530043149101e+04 
       2.096299996407e-02       2.525354867563e+04 
       2.109328089029e-02       2.520573889865e+04 
       2.122364334071e-02       2.515700649339e+04 
       2.135408891803e-02       2.510740093687e+04 
       2.148461926390e-02       2.505689572578e+04 
       2.161523605988e-02       2.500551778015e+04 
       2.174594102831e-02       2.495330299188e+04 
       2.187673593326e-02       2.490025262289e+04 
       2.200762258150e-02       2.484640473831e+04 
       2.213860282347e-02       2.479178701451e+04 
       2.226967855437e-02       2.473634787136e+04 
       2.240085171516e-02       2.468013823896e+04 
       2.253212429368e-02       2.462316601202e+04 
