# Matter power spectrum P(k) at redshift z=0
# for k=1.04889e-05 to 5.37596 h/Mpc,
# number of wavenumbers equal to 556
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.357126314638e-02       2.390127076028e+04 
       1.370078656766e-02       2.394151975199e+04 
       1.383034636225e-02       2.397969121236e+04 
       1.395994264983e-02       2.401581571016e+04 
       1.408957557305e-02       2.404990701253e+04 
       1.421924529719e-02       2.408200812770e+04 
       1.434895200984e-02       2.411213387278e+04 
       1.447869592056e-02       2.414031716611e+04 
       1.460847726069e-02       2.416657128798e+04 
       1.473829628305e-02       2.419092978015e+04 
       1.486815326177e-02       2.421341374741e+04 
       1.499804849215e-02       2.423404419258e+04 
       1.512798229044e-02       2.425285887850e+04 
       1.525795499378e-02       2.426986656969e+04 
       1.538796696007e-02       2.428510433186e+04 
       1.551801856794e-02       2.429857431177e+04 
       1.564811021664e-02       2.431032204187e+04 
       1.577824232606e-02       2.432034917335e+04 
       1.590841533672e-02       2.432869837044e+04 
       1.603862970977e-02       2.433537769868e+04 
       1.616888592704e-02       2.434042102862e+04 
       1.629918449107e-02       2.434383726564e+04 
       1.642952592524e-02       2.434567080765e+04 
       1.655991077380e-02       2.434592214443e+04 
       1.669033960204e-02       2.434461324995e+04 
       1.682081299637e-02       2.434177974153e+04 
       1.695133156452e-02       2.433742385206e+04 
       1.708189593565e-02       2.433159249949e+04 
       1.721250676060e-02       2.432428114746e+04 
       1.734316471203e-02       2.431552282837e+04 
       1.747387048467e-02       2.430535210864e+04 
       1.760462479556e-02       2.429375938837e+04 
       1.773542838429e-02       2.428078657433e+04 
       1.786628201325e-02       2.426644937831e+04 
       1.799718646795e-02       2.425076541541e+04 
       1.812814255732e-02       2.423375492677e+04 
       1.825915111400e-02       2.421542789488e+04 
       1.839021299468e-02       2.419581376370e+04 
       1.852132908048e-02       2.417494465610e+04 
       1.865250027729e-02       2.415281054216e+04 
       1.878372751619e-02       2.412946643586e+04 
       1.891501175380e-02       2.410489841716e+04 
       1.904635397274e-02       2.407915724817e+04 
       1.917775518205e-02       2.405222638201e+04 
       1.930921641768e-02       2.402416073792e+04 
       1.944073874290e-02       2.399492531943e+04 
       1.957232324884e-02       2.396461134544e+04 
       1.970397105498e-02       2.393318809435e+04 
       1.983568330969e-02       2.390069237444e+04 
       1.996746119078e-02       2.386712521531e+04 
       2.009930590602e-02       2.383252020756e+04 
       2.023121869379e-02       2.379689607675e+04 
       2.036320082366e-02       2.376024500482e+04 
       2.049525359701e-02       2.372259530522e+04 
       2.062737834768e-02       2.368401634532e+04 
       2.075957644265e-02       2.364443820464e+04 
       2.089184928271e-02       2.360395682034e+04 
       2.102419830321e-02       2.356253810707e+04 
       2.115662497476e-02       2.352022465959e+04 
       2.128913080401e-02       2.347700250700e+04 
       2.142171733444e-02       2.343292433829e+04 
       2.155438614715e-02       2.338797530372e+04 
       2.168713886172e-02       2.334219597869e+04 
       2.181997713705e-02       2.329561613409e+04 
