# z=2.9867 a=0.250835 mass=0.9320495003
# k [h/Mpc]  P(k) [(Mpc/h)^3]  Nmodes
1.77992824e-02  2.59952283e+03  13
3.01582443e-02  2.07778822e+03  33
4.28958037e-02  1.54140615e+03  79
5.56732155e-02  1.21070948e+03  117
6.87019957e-02  1.03553781e+03  205
8.09577352e-02  8.62673069e+02  235
9.35343337e-02  6.86575684e+02  369
1.06164502e-01  5.47545036e+02  433
1.18907249e-01  4.78843229e+02  585
1.31524496e-01  4.22227647e+02  679
1.43932658e-01  3.66527205e+02  813
1.56557218e-01  3.07893600e+02  985
1.69407979e-01  2.62962762e+02  1183
1.81937092e-01  2.40509566e+02  1269
1.94415796e-01  2.17180211e+02  1537
2.06952608e-01  1.93166921e+02  1653
2.19515289e-01  1.71304972e+02  1963
2.32108617e-01  1.58926949e+02  2121
2.44733933e-01  1.46934658e+02  2413
2.57363453e-01  1.32127717e+02  2635
2.69900160e-01  1.20009919e+02  2877
2.82389912e-01  1.10690124e+02  3169
2.95026715e-01  1.02979965e+02  3507
3.07573015e-01  9.72570940e+01  3685
3.20131509e-01  8.71626762e+01  4165
3.32798234e-01  8.38639782e+01  4377
3.45439129e-01  7.66702896e+01  4855
3.57953043e-01  7.11061096e+01  4929
3.70470738e-01  6.85769716e+01  5581
3.82961357e-01  6.56209258e+01  5679
3.95577974e-01  5.97795679e+01  6385
4.08187547e-01  5.71897154e+01  6553
4.20787861e-01  5.42956040e+01  7125
4.33381942e-01  5.10152302e+01  7447
4.45940056e-01  4.83965376e+01  7929
4.58524005e-01  4.68586632e+01  8353
4.71028302e-01  4.34608455e+01  8775
4.83582117e-01  4.20204624e+01  9313
4.96171308e-01  4.02167849e+01  9841
5.08698451e-01  3.78911442e+01  10191
5.21266850e-01  3.61335976e+01  10897
5.33851474e-01  3.48129629e+01  11301
5.46484669e-01  3.30071237e+01  12025
5.59105936e-01  3.22554619e+01  12423
5.71673258e-01  3.04027050e+01  13021
5.84175254e-01  2.94591533e+01  13405
5.96689969e-01  2.86348070e+01  14247
6.09276528e-01  2.68609146e+01  14713
6.21855825e-01  2.64157293e+01  15489
6.34433634e-01  2.51321278e+01  15913
6.47037514e-01  2.45690944e+01  16879
6.59633644e-01  2.34354835e+01  17193
6.72235286e-01  2.32079342e+01  18157
6.84740075e-01  2.21825511e+01  18339
6.97295639e-01  2.15686660e+01  19573
7.09882323e-01  2.08907725e+01  19941
7.22383387e-01  1.96830441e+01  20629
7.34953418e-01  1.92423736e+01  21655
7.47529559e-01  1.87696107e+01  22113
7.60130806e-01  1.86764452e+01  23185
7.72707972e-01  1.77330284e+01  23667
7.85228036e-01  1.72799318e+01  24385
7.97852900e-01  1.68448814e+01  25749
8.10414649e-01  1.63342830e+01  25675
8.22983296e-01  1.58899002e+01  27409
8.35562854e-01  1.54805762e+01  27405
8.48080130e-01  1.48771493e+01  28717
8.60685138e-01  1.48280756e+01  29595
8.73271712e-01  1.43417754e+01  30301
8.85799237e-01  1.40714775e+01  31101
8.98326884e-01  1.36224799e+01  32023
9.10882829e-01  1.32489666e+01  32977
9.23526894e-01  1.30271153e+01  34449
9.36128848e-01  1.27136065e+01  34549
9.48697049e-01  1.24101002e+01  36111
9.61271227e-01  1.22002280e+01  36541
9.73803852e-01  1.19246587e+01  37717
9.86339420e-01  1.14805707e+01  38619
9.98901349e-01  1.12371792e+01  39661
1.01143181e+00  1.10932409e+01  40545
1.02398480e+00  1.09139111e+01  41815
1.03662522e+00  1.06042460e+01  43125
1.04921793e+00  1.04807616e+01  43681
1.06175146e+00  1.02642696e+01  44629
1.07431471e+00  1.00547747e+01  46227
1.08691591e+00  9.84179852e+00  46909
1.09948613e+00  9.64610870e+00  48237
