# z=6.9906 a=0.125148 mass=0.9645418902
# k [h/Mpc]  P(k) [(Mpc/h)^3]  Nmodes
1.77992824e-02  1.24991802e+08  13
3.01582443e-02  1.24977002e+08  33
4.28958037e-02  1.24953601e+08  79
5.56732155e-02  1.24922129e+08  117
6.87019957e-02  1.24881445e+08  205
8.09577352e-02  1.24835673e+08  235
9.35343337e-02  1.24780667e+08  369
1.06164502e-01  1.24717640e+08  433
1.18907249e-01  1.24645864e+08  585
1.31524496e-01  1.24566946e+08  679
1.43932658e-01  1.24481595e+08  813
1.56557218e-01  1.24386881e+08  985
1.69407979e-01  1.24282343e+08  1183
1.81937092e-01  1.24172645e+08  1269
1.94415796e-01  1.24055619e+08  1537
2.06952608e-01  1.23930386e+08  1653
2.19515289e-01  1.23797072e+08  1963
2.32108617e-01  1.23655741e+08  2121
2.44733933e-01  1.23506239e+08  2413
2.57363453e-01  1.23348936e+08  2635
2.69900160e-01  1.23185110e+08  2877
2.82389912e-01  1.23014339e+08  3169
2.95026715e-01  1.22833885e+08  3507
3.07573015e-01  1.22647152e+08  3685
3.20131509e-01  1.22452619e+08  4165
3.32798234e-01  1.22248831e+08  4377
3.45439129e-01  1.22037830e+08  4855
3.57953043e-01  1.21821526e+08  4929
3.70470738e-01  1.21597711e+08  5581
3.82961357e-01  1.21367091e+08  5679
3.95577974e-01  1.21126696e+08  6385
4.08187547e-01  1.20879059e+08  6553
4.20787861e-01  1.20624227e+08  7125
4.33381942e-01  1.20362244e+08  7447
4.45940056e-01  1.20093744e+08  7929
4.58524005e-01  1.19817494e+08  8353
4.71028302e-01  1.19535857e+08  8775
4.83582117e-01  1.19246020e+08  9313
4.96171308e-01  1.18948290e+08  9841
5.08698451e-01  1.18644994e+08  10191
5.21266850e-01  1.18333743e+08  10897
5.33851474e-01  1.18015124e+08  11301
5.46484669e-01  1.17688259e+08  12025
5.59105936e-01  1.17354849e+08  12423
5.71673258e-01  1.17016041e+08  13021
5.84175254e-01  1.16672256e+08  13405
5.96689969e-01  1.16321481e+08  14247
6.09276528e-01  1.15962056e+08  14713
6.21855825e-01  1.15596209e+08  15489
6.34433634e-01  1.15223777e+08  15913
6.47037514e-01  1.14844089e+08  16879
6.59633644e-01  1.14458167e+08  17193
6.72235286e-01  1.14065705e+08  18157
