# z=5.0228 a=0.166035 mass=0.9397740940
# k [h/Mpc]  P(k) [(Mpc/h)^3]  Nmodes
1.77992824e-02  1.24991108e+08  13
3.01582443e-02  1.24975099e+08  33
4.28958037e-02  1.24949803e+08  79
5.56732155e-02  1.24915769e+08  117
6.87019957e-02  1.24871778e+08  205
8.09577352e-02  1.24822286e+08  235
9.35343337e-02  1.24762812e+08  369
1.06164502e-01  1.24694666e+08  433
1.18907249e-01  1.24617064e+08  585
1.31524496e-01  1.24531740e+08  679
1.43932658e-01  1.24439469e+08  813
1.56557218e-01  1.24337079e+08  985
1.69407979e-01  1.24224074e+08  1183
1.81937092e-01  1.24105495e+08  1269
1.94415796e-01  1.23979006e+08  1537
2.06952608e-01  1.23843650e+08  1653
2.19515289e-01  1.23699574e+08  1963
2.32108617e-01  1.23546840e+08  2121
2.44733933e-01  1.23385290e+08  2413
2.57363453e-01  1.23215323e+08  2635
2.69900160e-01  1.23038318e+08  2877
2.82389912e-01  1.22853830e+08  3169
2.95026715e-01  1.22658896e+08  3507
3.07573015e-01  1.22457198e+08  3685
3.20131509e-01  1.22247094e+08  4165
3.32798234e-01  1.22027017e+08  4377
3.45439129e-01  1.21799176e+08  4855
3.57953043e-01  1.21565630e+08  4929
3.70470738e-01  1.21324006e+08  5581
3.82961357e-01  1.21075059e+08  5679
3.95577974e-01  1.20815597e+08  6385
4.08187547e-01  1.20548346e+08  6553
4.20787861e-01  1.20273367e+08  7125
4.33381942e-01  1.19990712e+08  7447
4.45940056e-01  1.19701061e+08  7929
4.58524005e-01  1.19403097e+08  8353
4.71028302e-01  1.19099357e+08  8775
4.83582117e-01  1.18786825e+08  9313
4.96171308e-01  1.18465835e+08  9841
5.08698451e-01  1.18138886e+08  10191
5.21266850e-01  1.17803426e+08  10897
5.33851474e-01  1.17460078e+08  11301
5.46484669e-01  1.17107893e+08  12025
5.59105936e-01  1.16748732e+08  12423
5.71673258e-01  1.16383822e+08  13021
5.84175254e-01  1.16013607e+08  13405
5.96689969e-01  1.15635943e+08  14247
6.09276528e-01  1.15249042e+08  14713
6.21855825e-01  1.14855305e+08  15489
6.34433634e-01  1.14454544e+08  15913
6.47037514e-01  1.14046074e+08  16879
6.59633644e-01  1.13630981e+08  17193
6.72235286e-01  1.13208961e+08  18157
6.84740075e-01  1.12783356e+08  18339
6.97295639e-01  1.12349432e+08  19573
7.09882323e-01  1.11907935e+08  19941
7.22383387e-01  1.11462724e+08  20629
7.34953418e-01  1.11009000e+08  21655
7.47529559e-01  1.10548308e+08  22113
7.60130806e-01  1.10080657e+08  23185
7.72707972e-01  1.09607374e+08  23667
7.85228036e-01  1.09130254e+08  24385
7.97852900e-01  1.08642964e+08  25749
8.10414649e-01  1.08152128e+08  25675
8.22983296e-01  1.07655131e+08  27409
8.35562854e-01  1.07151620e+08  27405
8.48080130e-01  1.06645076e+08  28717
8.60685138e-01  1.06129155e+08  29595
8.73271712e-01  1.05608212e+08  30301
8.85799237e-01  1.05084364e+08  31101
8.98326884e-01  1.04555260e+08  32023
9.10882829e-01  1.04019099e+08  32977
9.23526894e-01  1.03473994e+08  34449
9.36128848e-01  1.02925497e+08  34549
9.48697049e-01  1.02373482e+08  36111
9.61271227e-01  1.01815725e+08  36541
9.73803852e-01  1.01255136e+08  37717
9.86339420e-01  1.00689784e+08  38619
9.98901349e-01  1.00117958e+08  39661
1.01143181e+00  9.95430339e+07  40545
1.02398480e+00  9.89623519e+07  41815
1.03662522e+00  9.83734056e+07  43125
1.04921793e+00  9.77818715e+07  43681
1.06175146e+00  9.71889786e+07  44629
1.07431471e+00  9.65901695e+07  46227
1.08691591e+00  9.59853773e+07  46909
1.09948613e+00  9.53782712e+07  48237
1.11198749e+00  9.47698629e+07  48583
1.12457094e+00  9.41542908e+07  50997
1.13720231e+00  9.35323183e+07  51397
1.14976092e+00  9.29098464e+07  52489
1.16231004e+00  9.22841573e+07  53787
1.17487890e+00  9.16544112e+07  54913
1.18743524e+00  9.10217403e+07  55977
1.19999439e+00  9.03851918e+07  57415
1.21253582e+00  8.97466747e+07  58105
1.22509392e+00  8.91042563e+07  60033
1.23769555e+00  8.84558721e+07  60949
1.25026211e+00  8.78065809e+07  62235
1.26280549e+00  8.71559352e+07  63229
1.27540071e+00  8.64997183e+07  65133
1.28797156e+00  8.58417801e+07  65707
1.30053708e+00  8.51813155e+07  67561
1.31311722e+00  8.45184217e+07  68505
1.32567386e+00  8.38534755e+07  69943
1.33823709e+00  8.31863664e+07  71097
1.35081404e+00  8.25159643e+07  73021
1.36336710e+00  8.18449062e+07  73317
1.37591851e+00  8.11724980e+07  75799
1.38846886e+00  8.04970742e+07  76021
1.40103508e+00  7.98193196e+07  78753
1.41362499e+00  7.91392208e+07  79291
1.42620380e+00  7.84574685e+07  81129
1.43878365e+00  7.77743580e+07  82441
1.45136676e+00  7.70888796e+07  83949
1.46393054e+00  7.64048552e+07  85123
1.47650160e+00  7.57172228e+07  86929
1.48905317e+00  7.50305993e+07  87789
1.50157422e+00  7.43439457e+07  89623
1.51415169e+00  7.36545108e+07  91341
1.52672825e+00  7.29628688e+07  92845
1.53929259e+00  7.22712512e+07  94087
1.55187897e+00  7.15786910e+07  96333
1.56446583e+00  7.08841973e+07  97249
1.57706299e+00  7.01900871e+07  99501
1.58957931e+00  6.94991629e+07  99283
1.60209822e+00  6.88082773e+07  102537
1.61467281e+00  6.81135885e+07  103477
1.62724590e+00  6.74192479e+07  105751
1.63983060e+00  6.67235354e+07  106869
1.65239053e+00  6.60310840e+07  108697
1.66497941e+00  6.53347926e+07  110577
1.67759186e+00  6.46393626e+07  112555
1.69012693e+00  6.39475630e+07  112593
1.70265657e+00  6.32574309e+07  115573
1.71523965e+00  6.25635918e+07  117283
1.72781170e+00  6.18719010e+07  118581
1.74036775e+00  6.11820204e+07  120625
1.75292822e+00  6.04921647e+07  121935
1.76550077e+00  5.98030363e+07  124441
1.77806655e+00  5.91141095e+07  125517
1.79061685e+00  5.84289342e+07  127357
1.80319130e+00  5.77427129e+07  129895
1.81576667e+00  5.70566004e+07  130701
1.82834882e+00  5.63737933e+07  133921
1.84092616e+00  5.56907118e+07  134187
1.85348688e+00  5.50112984e+07  137125
1.86606484e+00  5.43316471e+07  138457
1.87865316e+00  5.36534448e+07  140937
1.89119496e+00  5.29801978e+07  141367
1.90373200e+00  5.23083485e+07  144381
1.91628265e+00  5.16380253e+07  145549
1.92887019e+00  5.09675500e+07  149139
1.94147113e+00  5.02985380e+07  149641
1.95401615e+00  4.96344768e+07  151825
1.96656467e+00  4.89733820e+07  153453
1.97911394e+00  4.83133867e+07  155887
1.99169126e+00  4.76552931e+07  158121
2.00427242e+00  4.69992494e+07  159841
2.01680965e+00  4.63484256e+07  161175
2.02938830e+00  4.56965070e+07  164677
2.04198511e+00  4.50488085e+07  166057
2.05454796e+00  4.44031812e+07  167703
2.06711836e+00  4.37624968e+07  170269
2.07969511e+00  4.31230247e+07  172257
2.09225395e+00  4.24872858e+07  173653
2.10480687e+00  4.18559925e+07  176619
2.11736141e+00  4.12275573e+07  177565
2.12992867e+00  4.06014060e+07  181285
2.14251355e+00  3.99761754e+07  182547
2.15508810e+00  3.93583159e+07  184993
2.16764964e+00  3.87424535e+07  186777
2.18021605e+00  3.81289333e+07  189073
2.19277933e+00  3.75204373e+07  191491
2.20536226e+00  3.69149190e+07  193845
2.21792610e+00  3.63141578e+07  195181
2.23045086e+00  3.57179752e+07  197319
2.24300426e+00  3.51244475e+07  200233
2.25558515e+00  3.45344568e+07  203037
2.26817911e+00  3.39460970e+07  204871
2.28072810e+00  3.33666940e+07  206221
2.29327836e+00  3.27878529e+07  209529
2.30588483e+00  3.22130991e+07  212545
2.31845781e+00  3.16432121e+07  213207
2.33101744e+00  3.10779964e+07  216577
2.34358615e+00  3.05166400e+07  218193
2.35617487e+00  2.99590143e+07  222151
2.36873531e+00  2.94075604e+07  221641
2.38126928e+00  2.88605972e+07  226173
2.39382442e+00  2.83182565e+07  226981
2.40640315e+00  2.77790514e+07  231903
2.41897369e+00  2.72434499e+07  231493
2.43152780e+00  2.67150505e+07  236041
2.44409951e+00  2.61902492e+07  237231
2.45668123e+00  2.56690624e+07  240925
2.46926597e+00  2.51535865e+07  242769
2.48180449e+00  2.46422729e+07  243757
2.49434968e+00  2.41408133e+07  247983
2.50693092e+00  2.36357229e+07  250273
2.51949990e+00  2.31419879e+07  252373
2.53206429e+00  2.26516261e+07  255447
2.54463258e+00  2.21654166e+07  257089
2.55720831e+00  2.16844130e+07  261237
2.56977318e+00  2.12061223e+07  261667
2.58235084e+00  2.07382528e+07  266889
2.59493145e+00  2.02714196e+07  267049
2.60748365e+00  1.98123553e+07  270577
2.62003465e+00  1.93571219e+07  272643
2.63260290e+00  1.89084537e+07  276205
2.64517352e+00  1.84647619e+07  278169
2.65773098e+00  1.80239582e+07  280819
2.67028961e+00  1.75907015e+07  283629
2.68288103e+00  1.71641905e+07  287737
2.69546174e+00  1.67397725e+07  288229
2.70800318e+00  1.63232007e+07  291519
2.72056522e+00  1.59113446e+07  294697
2.73313137e+00  1.55067217e+07  296817
2.74570300e+00  1.51057792e+07  300739
2.75827075e+00  1.47077474e+07  301921
2.77081913e+00  1.43230537e+07  305457
2.78339728e+00  1.39377891e+07  308839
2.79596890e+00  1.35585243e+07  310641
2.80853577e+00  1.31870798e+07  314485
2.82110956e+00  1.28209223e+07  316113
2.83367567e+00  1.24596738e+07  320275
2.84623635e+00  1.21046005e+07  321109
2.85879560e+00  1.17581368e+07  326121
2.87137384e+00  1.14120114e+07  327727
2.88395424e+00  1.10772068e+07  331821
2.89650734e+00  1.07429083e+07  332497
2.90906470e+00  1.04190965e+07  337353
2.92163864e+00  1.01017255e+07  339559
2.93422073e+00  9.78704951e+06  343309
2.94678582e+00  9.48025900e+06  344757
2.95933993e+00  9.17717328e+06  348703
2.97191229e+00  8.88579257e+06  351261
2.98446722e+00  8.59543749e+06  354061
2.99700494e+00  8.31396745e+06  356115
3.00957150e+00  8.04138731e+06  361669
3.02215198e+00  7.76964172e+06  362893
3.03472327e+00  7.50375381e+06  367101
3.04729714e+00  7.24928004e+06  369439
3.05987607e+00  6.99739500e+06  373257
3.07246035e+00  6.75606335e+06  375949
3.08502144e+00  6.51682705e+06  378043
3.09756793e+00  6.28819067e+06  381117
3.11014614e+00  6.06319009e+06  386449
3.12271465e+00  5.84704900e+06  386397
3.13525824e+00  5.63857000e+06  391315
3.14782739e+00  5.43303902e+06  394305
3.16040709e+00  5.24081775e+06  398077
3.17297079e+00  5.04887839e+06  399919
3.18552003e+00  4.86960327e+06  403113
3.19809287e+00  4.69459647e+06  408229
3.21068427e+00  4.52521625e+06  410313
3.22323954e+00  4.37167182e+06  410275
3.23579434e+00  4.22160215e+06  409302
3.24836542e+00  4.07911371e+06  407782
3.26092816e+00  3.93949477e+06  405898
3.27349649e+00  3.80770627e+06  404322
3.28606028e+00  3.68388668e+06  402628
3.29861616e+00  3.56286965e+06  399792
3.31118450e+00  3.45117694e+06  400264
3.32375655e+00  3.34034396e+06  396336
3.33633648e+00  3.24088951e+06  396964
3.34889912e+00  3.14377783e+06  391834
3.36144277e+00  3.05177777e+06  391704
3.37402431e+00  2.97019452e+06  390736
3.38661496e+00  2.89114665e+06  388266
3.39916129e+00  2.82204931e+06  383920
3.41172359e+00  2.75234507e+06  385612
3.42430345e+00  2.69001265e+06  380790
3.43687077e+00  2.64091521e+06  380950
3.44943689e+00  2.59188982e+06  376536
3.46198984e+00  2.54802176e+06  375850
3.47457272e+00  2.51249661e+06  374580
3.48713261e+00  2.48204435e+06  369724
3.49967202e+00  2.45943852e+06  369454
3.51224656e+00  2.43914038e+06  367290
3.52482123e+00  2.42876892e+06  364912
3.53738716e+00  2.42083007e+06  362736
3.54995350e+00  2.42319359e+06  359926
3.56252724e+00  2.43010783e+06  359118
3.57509150e+00  2.43968769e+06  354340
3.58765458e+00  2.45989130e+06  354730
3.60021544e+00  2.48242834e+06  349482
3.61278183e+00  2.51415620e+06  349990
3.62534903e+00  2.55205934e+06  345150
3.63790727e+00  2.59204985e+06  344170
3.65047701e+00  2.64038506e+06  341434
3.66304737e+00  2.69615819e+06  338850
3.67562082e+00  2.75972098e+06  336604
3.68819285e+00  2.82537448e+06  333960
3.70075384e+00  2.89696460e+06  330760
