# z=5.5011 a=0.153821 mass=0.9412036848
# k [h/Mpc]  P(k) [(Mpc/h)^3]  Nmodes
1.77992824e-02  9.71906003e+02  13
3.01582443e-02  7.81710493e+02  33
4.28958037e-02  5.77610486e+02  79
5.56732155e-02  4.57556665e+02  117
6.87019957e-02  3.91215004e+02  205
8.09577352e-02  3.25520737e+02  235
9.35343337e-02  2.56832208e+02  369
1.06164502e-01  2.04508944e+02  433
1.18907249e-01  1.78826239e+02  585
1.31524496e-01  1.58699312e+02  679
1.43932658e-01  1.36885523e+02  813
1.56557218e-01  1.14338581e+02  985
1.69407979e-01  9.77029834e+01  1183
1.81937092e-01  8.93538475e+01  1269
1.94415796e-01  8.07356753e+01  1537
2.06952608e-01  7.15626178e+01  1653
2.19515289e-01  6.29802153e+01  1963
2.32108617e-01  5.77552869e+01  2121
2.44733933e-01  5.33453554e+01  2413
2.57363453e-01  4.81531195e+01  2635
2.69900160e-01  4.35815935e+01  2877
2.82389912e-01  3.99686008e+01  3169
2.95026715e-01  3.68776813e+01  3507
3.07573015e-01  3.45725319e+01  3685
3.20131509e-01  3.13443655e+01  4165
3.32798234e-01  2.96668313e+01  4377
3.45439129e-01  2.70624549e+01  4855
3.57953043e-01  2.51267236e+01  4929
3.70470738e-01  2.39389710e+01  5581
3.82961357e-01  2.28036007e+01  5679
3.95577974e-01  2.07657758e+01  6385
4.08187547e-01  1.96209916e+01  6553
4.20787861e-01  1.85883084e+01  7125
4.33381942e-01  1.75145846e+01  7447
4.45940056e-01  1.65607424e+01  7929
4.58524005e-01  1.58525964e+01  8353
4.71028302e-01  1.47644964e+01  8775
4.83582117e-01  1.41587692e+01  9313
4.96171308e-01  1.34012540e+01  9841
5.08698451e-01  1.26546653e+01  10191
5.21266850e-01  1.20352503e+01  10897
5.33851474e-01  1.14855496e+01  11301
5.46484669e-01  1.08698585e+01  12025
5.59105936e-01  1.05179258e+01  12423
5.71673258e-01  1.00296290e+01  13021
5.84175254e-01  9.57517019e+00  13405
5.96689969e-01  9.22806306e+00  14247
6.09276528e-01  8.68741478e+00  14713
6.21855825e-01  8.46940115e+00  15489
6.34433634e-01  8.03815434e+00  15913
6.47037514e-01  7.77156064e+00  16879
6.59633644e-01  7.39491991e+00  17193
6.72235286e-01  7.30365006e+00  18157
6.84740075e-01  6.91486252e+00  18339
6.97295639e-01  6.75508436e+00  19573
7.09882323e-01  6.50771271e+00  19941
7.22383387e-01  6.15360613e+00  20629
7.34953418e-01  5.93558821e+00  21655
7.47529559e-01  5.75194857e+00  22113
7.60130806e-01  5.66984282e+00  23185
7.72707972e-01  5.43036458e+00  23667
7.85228036e-01  5.23046473e+00  24385
7.97852900e-01  5.05146306e+00  25749
8.10414649e-01  4.89616548e+00  25675
8.22983296e-01  4.74587797e+00  27409
8.35562854e-01  4.59967020e+00  27405
8.48080130e-01  4.45962140e+00  28717
8.60685138e-01  4.36551637e+00  29595
8.73271712e-01  4.24985931e+00  30301
8.85799237e-01  4.09622932e+00  31101
8.98326884e-01  3.97708006e+00  32023
9.10882829e-01  3.82678874e+00  32977
9.23526894e-01  3.75177586e+00  34449
9.36128848e-01  3.66259076e+00  34549
9.48697049e-01  3.55142678e+00  36111
9.61271227e-01  3.45943575e+00  36541
9.73803852e-01  3.36763220e+00  37717
9.86339420e-01  3.25553601e+00  38619
9.98901349e-01  3.17784747e+00  39661
1.01143181e+00  3.11315154e+00  40545
1.02398480e+00  3.05217816e+00  41815
1.03662522e+00  2.97412795e+00  43125
1.04921793e+00  2.91813730e+00  43681
1.06175146e+00  2.83007427e+00  44629
1.07431471e+00  2.74512884e+00  46227
1.08691591e+00  2.69355548e+00  46909
1.09948613e+00  2.61555818e+00  48237
1.11198749e+00  2.54247085e+00  48583
1.12457094e+00  2.47655072e+00  50997
1.13720231e+00  2.43292659e+00  51397
1.14976092e+00  2.38320511e+00  52489
1.16231004e+00  2.35397546e+00  53787
1.17487890e+00  2.29539014e+00  54913
1.18743524e+00  2.22934943e+00  55977
1.19999439e+00  2.17707672e+00  57415
1.21253582e+00  2.14838499e+00  58105
1.22509392e+00  2.08913962e+00  60033
1.23769555e+00  2.06142261e+00  60949
1.25026211e+00  2.00561106e+00  62235
1.26280549e+00  1.97433140e+00  63229
1.27540071e+00  1.93835505e+00  65133
