# z=1.0043 a=0.498924 mass=0.9246062939
# k [h/Mpc]  P(k) [(Mpc/h)^3]  Nmodes
1.77992824e-02  1.24989662e+08  13
3.01582443e-02  1.24971049e+08  33
4.28958037e-02  1.24941634e+08  79
5.56732155e-02  1.24902072e+08  117
6.87019957e-02  1.24850933e+08  205
8.09577352e-02  1.24793403e+08  235
9.35343337e-02  1.24724272e+08  369
1.06164502e-01  1.24645070e+08  433
1.18907249e-01  1.24554886e+08  585
1.31524496e-01  1.24455736e+08  679
1.43932658e-01  1.24348522e+08  813
1.56557218e-01  1.24229564e+08  985
1.69407979e-01  1.24098289e+08  1183
1.81937092e-01  1.23960560e+08  1269
1.94415796e-01  1.23813658e+08  1537
2.06952608e-01  1.23656485e+08  1653
2.19515289e-01  1.23489210e+08  1963
2.32108617e-01  1.23311915e+08  2121
2.44733933e-01  1.23124418e+08  2413
2.57363453e-01  1.22927189e+08  2635
2.69900160e-01  1.22721831e+08  2877
2.82389912e-01  1.22507839e+08  3169
2.95026715e-01  1.22281778e+08  3507
3.07573015e-01  1.22047926e+08  3685
3.20131509e-01  1.21804381e+08  4165
3.32798234e-01  1.21549340e+08  4377
3.45439129e-01  1.21285372e+08  4855
3.57953043e-01  1.21014858e+08  4929
3.70470738e-01  1.20735074e+08  5581
3.82961357e-01  1.20446881e+08  5679
3.95577974e-01  1.20146615e+08  6385
4.08187547e-01  1.19837415e+08  6553
4.20787861e-01  1.19519381e+08  7125
4.33381942e-01  1.19192579e+08  7447
4.45940056e-01  1.18857794e+08  7929
4.58524005e-01  1.18513522e+08  8353
4.71028302e-01  1.18162689e+08  8775
4.83582117e-01  1.17801839e+08  9313
4.96171308e-01  1.17431369e+08  9841
5.08698451e-01  1.17054146e+08  10191
5.21266850e-01  1.16667279e+08  10897
5.33851474e-01  1.16271463e+08  11301
5.46484669e-01  1.15865611e+08  12025
5.59105936e-01  1.15451917e+08  12423
5.71673258e-01  1.15031785e+08  13021
5.84175254e-01  1.14605714e+08  13405
5.96689969e-01  1.14171280e+08  14247
6.09276528e-01  1.13726430e+08  14713
6.21855825e-01  1.13273936e+08  15489
6.34433634e-01  1.12813560e+08  15913
6.47037514e-01  1.12344590e+08  16879
6.59633644e-01  1.11868250e+08  17193
6.72235286e-01  1.11384245e+08  18157
6.84740075e-01  1.10896327e+08  18339
6.97295639e-01  1.10399161e+08  19573
7.09882323e-01  1.09893620e+08  19941
7.22383387e-01  1.09384034e+08  20629
7.34953418e-01  1.08865124e+08  21655
7.47529559e-01  1.08338427e+08  22113
7.60130806e-01  1.07804192e+08  23185
7.72707972e-01  1.07263756e+08  23667
7.85228036e-01  1.06719322e+08  24385
7.97852900e-01  1.06163615e+08  25749
8.10414649e-01  1.05604227e+08  25675
8.22983296e-01  1.05038206e+08  27409
8.35562854e-01  1.04465069e+08  27405
8.48080130e-01  1.03888945e+08  28717
8.60685138e-01  1.03302518e+08  29595
8.73271712e-01  1.02710755e+08  30301
8.85799237e-01  1.02116162e+08  31101
8.98326884e-01  1.01516095e+08  32023
9.10882829e-01  1.00908308e+08  32977
9.23526894e-01  1.00290898e+08  34449
9.36128848e-01  9.96701256e+07  34549
9.48697049e-01  9.90459023e+07  36111
9.61271227e-01  9.84155415e+07  36541
9.73803852e-01  9.77825622e+07  37717
9.86339420e-01  9.71447877e+07  38619
9.98901349e-01  9.65000751e+07  39661
1.01143181e+00  9.58524550e+07  40545
1.02398480e+00  9.51988587e+07  41815
1.03662522e+00  9.45366326e+07  43125
1.04921793e+00  9.38719667e+07  43681
1.06175146e+00  9.32064175e+07  44629
1.07431471e+00  9.25347485e+07  46227
1.08691591e+00  9.18569891e+07  46909
1.09948613e+00  9.11773346e+07  48237
1.11198749e+00  9.04966665e+07  48583
1.12457094e+00  8.98088367e+07  50997
1.13720231e+00  8.91144578e+07  51397
1.14976092e+00  8.84200935e+07  52489
1.16231004e+00  8.77227935e+07  53787
1.17487890e+00  8.70218170e+07  54913
1.18743524e+00  8.63182315e+07  55977
1.19999439e+00  8.56109653e+07  57415
1.21253582e+00  8.49023365e+07  58105
1.22509392e+00  8.41901529e+07  60033
1.23769555e+00  8.34719488e+07  60949
1.25026211e+00  8.27535536e+07  62235
1.26280549e+00  8.20345636e+07  63229
1.27540071e+00  8.13101642e+07  65133
1.28797156e+00  8.05845974e+07  65707
1.30053708e+00  7.98570302e+07  67561
1.31311722e+00  7.91278109e+07  68505
1.32567386e+00  7.83969831e+07  69943
1.33823709e+00  7.76647299e+07  71097
1.35081404e+00  7.69296768e+07  73021
1.36336710e+00  7.61948255e+07  73317
1.37591851e+00  7.54595202e+07  75799
1.38846886e+00  7.47215574e+07  76021
1.40103508e+00  7.39820384e+07  78753
1.41362499e+00  7.32410926e+07  79291
1.42620380e+00  7.24991386e+07  81129
1.43878365e+00  7.17566980e+07  82441
1.45136676e+00  7.10125456e+07  83949
1.46393054e+00  7.02713002e+07  85123
1.47650160e+00  6.95267550e+07  86929
1.48905317e+00  6.87845079e+07  87789
1.50157422e+00  6.80431381e+07  89623
1.51415169e+00  6.73000844e+07  91341
1.52672825e+00  6.65553689e+07  92845
1.53929259e+00  6.58118456e+07  94087
1.55187897e+00  6.50685074e+07  96333
1.56446583e+00  6.43239865e+07  97249
1.57706299e+00  6.35812050e+07  99501
1.58957931e+00  6.28428241e+07  99283
1.60209822e+00  6.21056997e+07  102537
1.61467281e+00  6.13654777e+07  103477
1.62724590e+00  6.06269535e+07  105751
1.63983060e+00  5.98879697e+07  106869
1.65239053e+00  5.91539406e+07  108697
1.66497941e+00  5.84166330e+07  110577
1.67759186e+00  5.76817270e+07  112555
1.69012693e+00  5.69518101e+07  112593
1.70265657e+00  5.62249098e+07  115573
1.71523965e+00  5.54952186e+07  117283
1.72781170e+00  5.47691168e+07  118581
1.74036775e+00  5.40462991e+07  120625
1.75292822e+00  5.33246903e+07  121935
1.76550077e+00  5.26050795e+07  124441
1.77806655e+00  5.18869892e+07  125517
1.79061685e+00  5.11742843e+07  127357
1.80319130e+00  5.04616903e+07  129895
1.81576667e+00  4.97504686e+07  130701
1.82834882e+00  4.90441971e+07  133921
1.84092616e+00  4.83390085e+07  134187
1.85348688e+00  4.76388754e+07  137125
1.86606484e+00  4.69399031e+07  138457
1.87865316e+00  4.62438940e+07  140937
1.89119496e+00  4.55543065e+07  141367
1.90373200e+00  4.48677200e+07  144381
1.91628265e+00  4.41838463e+07  145549
1.92887019e+00  4.35015226e+07  149139
1.94147113e+00  4.28220660e+07  149641
1.95401615e+00  4.21490659e+07  151825
1.96656467e+00  4.14807063e+07  153453
1.97911394e+00  4.08146263e+07  155887
1.99169126e+00  4.01523366e+07  158121
2.00427242e+00  3.94933255e+07  159841
2.01680965e+00  3.88412282e+07  161175
2.02938830e+00  3.81896312e+07  164677
2.04198511e+00  3.75435377e+07  166057
2.05454796e+00  3.69013787e+07  167703
2.06711836e+00  3.62655185e+07  170269
2.07969511e+00  3.56324956e+07  172257
2.09225395e+00  3.50047307e+07  173653
2.10480687e+00  3.43828680e+07  176619
2.11736141e+00  3.37656436e+07  177565
2.12992867e+00  3.31519750e+07  181285
2.14251355e+00  3.25411136e+07  182547
2.15508810e+00  3.19388546e+07  184993
2.16764964e+00  3.13403342e+07  186777
2.18021605e+00  3.07458262e+07  189073
2.19277933e+00  3.01575467e+07  191491
2.20536226e+00  2.95740239e+07  193845
2.21792610e+00  2.89966232e+07  195181
2.23045086e+00  2.84253686e+07  197319
2.24300426e+00  2.78585087e+07  200233
2.25558515e+00  2.72963580e+07  203037
2.26817911e+00  2.67380083e+07  204871
2.28072810e+00  2.61890830e+07  206221
2.29327836e+00  2.56431534e+07  209529
2.30588483e+00  2.51024413e+07  212545
2.31845781e+00  2.45680737e+07  213207
2.33101744e+00  2.40399848e+07  216577
2.34358615e+00  2.35169010e+07  218193
2.35617487e+00  2.29995898e+07  222151
2.36873531e+00  2.24890885e+07  221641
2.38126928e+00  2.19850568e+07  226173
2.39382442e+00  2.14867080e+07  226981
2.40640315e+00  2.09930433e+07  231903
2.41897369e+00  2.05048573e+07  231493
2.43152780e+00  2.00243572e+07  236041
2.44409951e+00  1.95493756e+07  237231
2.45668123e+00  1.90793578e+07  240925
2.46926597e+00  1.86161052e+07  242769
2.48180449e+00  1.81590112e+07  243757
