# z=6.0172 a=0.142506 mass=0.9645418902
# k [h/Mpc]  P(k) [(Mpc/h)^3]  Nmodes
1.77992824e-02  8.33251796e+02  13
3.01582443e-02  6.70668018e+02  33
4.28958037e-02  4.95326958e+02  79
5.56732155e-02  3.92754233e+02  117
6.87019957e-02  3.35796997e+02  205
8.09577352e-02  2.79375624e+02  235
9.35343337e-02  2.20198446e+02  369
1.06164502e-01  1.75329673e+02  433
1.18907249e-01  1.53302898e+02  585
1.31524496e-01  1.36154795e+02  679
1.43932658e-01  1.17363252e+02  813
1.56557218e-01  9.79759849e+01  985
1.69407979e-01  8.37457859e+01  1183
1.81937092e-01  7.65753575e+01  1269
1.94415796e-01  6.92089625e+01  1537
2.06952608e-01  6.13180851e+01  1653
2.19515289e-01  5.39249387e+01  1963
2.32108617e-01  4.93804809e+01  2121
2.44733933e-01  4.56075302e+01  2413
2.57363453e-01  4.11951366e+01  2635
2.69900160e-01  3.72774876e+01  2877
2.82389912e-01  3.41571819e+01  3169
2.95026715e-01  3.14953910e+01  3507
3.07573015e-01  2.95000140e+01  3685
3.20131509e-01  2.67863604e+01  4165
3.32798234e-01  2.52990479e+01  4377
3.45439129e-01  2.30835739e+01  4855
3.57953043e-01  2.14395355e+01  4929
3.70470738e-01  2.03922493e+01  5581
3.82961357e-01  1.94063705e+01  5679
3.95577974e-01  1.76888512e+01  6385
4.08187547e-01  1.66917735e+01  6553
4.20787861e-01  1.58082915e+01  7125
4.33381942e-01  1.48961351e+01  7447
4.45940056e-01  1.40812091e+01  7929
4.58524005e-01  1.34600738e+01  8353
4.71028302e-01  1.25461773e+01  8775
4.83582117e-01  1.20146026e+01  9313
4.96171308e-01  1.13642677e+01  9841
5.08698451e-01  1.07374083e+01  10191
5.21266850e-01  1.02078605e+01  10897
5.33851474e-01  9.73244556e+00  11301
5.46484669e-01  9.21315431e+00  12025
5.59105936e-01  8.90146859e+00  12423
5.71673258e-01  8.49817721e+00  13021
5.84175254e-01  8.10232624e+00  13405
5.96689969e-01  7.80119235e+00  14247
6.09276528e-01  7.34873626e+00  14713
6.21855825e-01  7.15478578e+00  15489
6.34433634e-01  6.79224021e+00  15913
6.47037514e-01  6.55909174e+00  16879
6.59633644e-01  6.24347340e+00  17193
6.72235286e-01  6.15552352e+00  18157
6.84740075e-01  5.82882755e+00  18339
6.97295639e-01  5.69231246e+00  19573
7.09882323e-01  5.48084613e+00  19941
7.22383387e-01  5.18895358e+00  20629
7.34953418e-01  4.99996055e+00  21655
7.47529559e-01  4.83882381e+00  22113
7.60130806e-01  4.76163567e+00  23185
7.72707972e-01  4.56786642e+00  23667
7.85228036e-01  4.39362790e+00  24385
7.97852900e-01  4.23856871e+00  25749
8.10414649e-01  4.11091586e+00  25675
8.22983296e-01  3.98356490e+00  27409
8.35562854e-01  3.85997963e+00  27405
8.48080130e-01  3.74370526e+00  28717
8.60685138e-01  3.65603773e+00  29595
8.73271712e-01  3.56089110e+00  30301
8.85799237e-01  3.42798665e+00  31101
8.98326884e-01  3.32657000e+00  32023
9.10882829e-01  3.20253790e+00  32977
9.23526894e-01  3.13576219e+00  34449
9.36128848e-01  3.06165775e+00  34549
9.48697049e-01  2.96713553e+00  36111
9.61271227e-01  2.88594079e+00  36541
9.73803852e-01  2.81045469e+00  37717
9.86339420e-01  2.71883711e+00  38619
9.98901349e-01  2.65269499e+00  39661
1.01143181e+00  2.59662663e+00  40545
1.02398480e+00  2.54287668e+00  41815
1.03662522e+00  2.47701997e+00  43125
1.04921793e+00  2.42933456e+00  43681
1.06175146e+00  2.35334712e+00  44629
1.07431471e+00  2.28335999e+00  46227
1.08691591e+00  2.23869178e+00  46909
1.09948613e+00  2.17137907e+00  48237
1.11198749e+00  2.11173949e+00  48583
1.12457094e+00  2.05773371e+00  50997
1.13720231e+00  2.02075014e+00  51397
1.14976092e+00  1.97574022e+00  52489
1.16231004e+00  1.95293439e+00  53787
1.17487890e+00  1.90195218e+00  54913
1.18743524e+00  1.84716308e+00  55977
1.19999439e+00  1.80217120e+00  57415
1.21253582e+00  1.78037458e+00  58105
1.22509392e+00  1.73036632e+00  60033
1.23769555e+00  1.70577318e+00  60949
1.25026211e+00  1.66027956e+00  62235
1.26280549e+00  1.63029641e+00  63229
1.27540071e+00  1.60086688e+00  65133
1.28797156e+00  1.56491321e+00  65707
1.30053708e+00  1.53624413e+00  67561
1.31311722e+00  1.50786171e+00  68505
1.32567386e+00  1.47579433e+00  69943
1.33823709e+00  1.44810445e+00  71097
1.35081404e+00  1.41609970e+00  73021
1.36336710e+00  1.39860722e+00  73317
1.37591851e+00  1.36928268e+00  75799
1.38846886e+00  1.33681728e+00  76021
1.40103508e+00  1.31448725e+00  78753
1.41362499e+00  1.29458058e+00  79291
1.42620380e+00  1.27097014e+00  81129
1.43878365e+00  1.24250993e+00  82441
1.45136676e+00  1.22013394e+00  83949
1.46393054e+00  1.19644075e+00  85123
1.47650160e+00  1.17642448e+00  86929
1.48905317e+00  1.16050312e+00  87789
1.50157422e+00  1.13825299e+00  89623
1.51415169e+00  1.11651113e+00  91341
1.52672825e+00  1.10070131e+00  92845
1.53929259e+00  1.08629905e+00  94087
1.55187897e+00  1.06949790e+00  96333
1.56446583e+00  1.04417498e+00  97249
1.57706299e+00  1.02876874e+00  99501
1.58957931e+00  1.01460671e+00  99283
1.60209822e+00  9.94226882e-01  102537
1.61467281e+00  9.75681002e-01  103477
1.62724590e+00  9.65992579e-01  105751
1.63983060e+00  9.50904211e-01  106869
1.65239053e+00  9.31202576e-01  108697
1.66497941e+00  9.21068314e-01  110577
1.67759186e+00  9.02182828e-01  112555
1.69012693e+00  8.90181631e-01  112593
1.70265657e+00  8.81188324e-01  115573
1.71523965e+00  8.67181411e-01  117283
1.72781170e+00  8.52603394e-01  118581
1.74036775e+00  8.39377903e-01  120625
1.75292822e+00  8.22369814e-01  121935
1.76550077e+00  8.12807265e-01  124441
1.77806655e+00  8.03531906e-01  125517
1.79061685e+00  7.94655636e-01  127357
1.80319130e+00  7.80019247e-01  129895
1.81576667e+00  7.69163909e-01  130701
1.82834882e+00  7.58470565e-01  133921
1.84092616e+00  7.45347702e-01  134187
1.85348688e+00  7.34581493e-01  137125
1.86606484e+00  7.27827251e-01  138457
1.87865316e+00  7.16728158e-01  140937
1.89119496e+00  7.04867588e-01  141367
1.90373200e+00  7.00122518e-01  144381
1.91628265e+00  6.88626796e-01  145549
1.92887019e+00  6.80851155e-01  149139
1.94147113e+00  6.70621385e-01  149641
1.95401615e+00  6.61267613e-01  151825
1.96656467e+00  6.52270820e-01  153453
1.97911394e+00  6.42750510e-01  155887
1.99169126e+00  6.37750307e-01  158121
2.00427242e+00  6.27513095e-01  159841
2.01680965e+00  6.18377801e-01  161175
2.02938830e+00  6.15275218e-01  164677
2.04198511e+00  6.07620538e-01  166057
2.05454796e+00  5.98338087e-01  167703
2.06711836e+00  5.93764643e-01  170269
2.07969511e+00  5.84791736e-01  172257
2.09225395e+00  5.75996764e-01  173653
2.10480687e+00  5.71623620e-01  176619
2.11736141e+00  5.63525502e-01  177565
2.12992867e+00  5.54708934e-01  181285
2.14251355e+00  5.49910059e-01  182547
2.15508810e+00  5.43600751e-01  184993
2.16764964e+00  5.38743835e-01  186777
2.18021605e+00  5.31217420e-01  189073
2.19277933e+00  5.25773205e-01  191491
2.20536226e+00  5.18923087e-01  193845
2.21792610e+00  5.15215663e-01  195181
2.23045086e+00  5.09324121e-01  197319
2.24300426e+00  5.03010759e-01  200233
2.25558515e+00  4.97866020e-01  203037
2.26817911e+00  4.92293461e-01  204871
2.28072810e+00  4.86404112e-01  206221
2.29327836e+00  4.81503248e-01  209529
2.30588483e+00  4.77904402e-01  212545
2.31845781e+00  4.75582017e-01  213207
2.33101744e+00  4.65868565e-01  216577
2.34358615e+00  4.60518365e-01  218193
2.35617487e+00  4.58475121e-01  222151
2.36873531e+00  4.52700037e-01  221641
2.38126928e+00  4.50068242e-01  226173
2.39382442e+00  4.44191330e-01  226981
2.40640315e+00  4.40147147e-01  231903
2.41897369e+00  4.36500332e-01  231493
