# z=2.5011 a=0.285627 mass=0.9301274882
# k [h/Mpc]  P(k) [(Mpc/h)^3]  Nmodes
1.77992824e-02  3.36757390e+03  13
3.01582443e-02  2.68555557e+03  33
4.28958037e-02  1.99502748e+03  79
5.56732155e-02  1.56213777e+03  117
6.87019957e-02  1.33632442e+03  205
8.09577352e-02  1.11378731e+03  235
9.35343337e-02  8.89104308e+02  369
1.06164502e-01  7.09770273e+02  433
1.18907249e-01  6.20631703e+02  585
1.31524496e-01  5.46083164e+02  679
1.43932658e-01  4.75241069e+02  813
1.56557218e-01  4.00168602e+02  985
1.69407979e-01  3.41964691e+02  1183
1.81937092e-01  3.12550494e+02  1269
1.94415796e-01  2.82406190e+02  1537
2.06952608e-01  2.51445743e+02  1653
2.19515289e-01  2.23685230e+02  1963
2.32108617e-01  2.08248352e+02  2121
2.44733933e-01  1.92680972e+02  2413
2.57363453e-01  1.73119187e+02  2635
2.69900160e-01  1.57634145e+02  2877
2.82389912e-01  1.45528313e+02  3169
2.95026715e-01  1.35936373e+02  3507
3.07573015e-01  1.28632649e+02  3685
3.20131509e-01  1.14952772e+02  4165
3.32798234e-01  1.11123515e+02  4377
3.45439129e-01  1.01823875e+02  4855
3.57953043e-01  9.44583603e+01  4929
3.70470738e-01  9.13667374e+01  5581
3.82961357e-01  8.74783190e+01  5679
3.95577974e-01  7.99572304e+01  6385
4.08187547e-01  7.68134409e+01  6553
4.20787861e-01  7.29702948e+01  7125
4.33381942e-01  6.84968952e+01  7447
4.45940056e-01  6.50884172e+01  7929
4.58524005e-01  6.32133715e+01  8353
4.71028302e-01  5.86036641e+01  8775
4.83582117e-01  5.67201996e+01  9313
4.96171308e-01  5.45485865e+01  9841
5.08698451e-01  5.14393019e+01  10191
5.21266850e-01  4.91430337e+01  10897
5.33851474e-01  4.74526469e+01  11301
5.46484669e-01  4.51110228e+01  12025
5.59105936e-01  4.41611341e+01  12423
5.71673258e-01  4.15179183e+01  13021
5.84175254e-01  4.04362194e+01  13405
5.96689969e-01  3.94296927e+01  14247
6.09276528e-01  3.69558729e+01  14713
6.21855825e-01  3.63878183e+01  15489
6.34433634e-01  3.47214858e+01  15913
6.47037514e-01  3.40271102e+01  16879
6.59633644e-01  3.26280384e+01  17193
6.72235286e-01  3.21479678e+01  18157
