# z=6.9906 a=0.125148 mass=0.9645418902
# k [h/Mpc]  P(k) [(Mpc/h)^3]  Nmodes
1.77992824e-02  6.42887202e+02  13
3.01582443e-02  5.18005282e+02  33
4.28958037e-02  3.82301539e+02  79
5.56732155e-02  3.03576498e+02  117
6.87019957e-02  2.59539742e+02  205
8.09577352e-02  2.15894583e+02  235
9.35343337e-02  1.69898503e+02  369
1.06164502e-01  1.35276107e+02  433
1.18907249e-01  1.18270076e+02  585
1.31524496e-01  1.05166450e+02  679
1.43932658e-01  9.05656139e+01  813
1.56557218e-01  7.55422186e+01  985
1.69407979e-01  6.46061686e+01  1183
1.81937092e-01  5.90549148e+01  1269
1.94415796e-01  5.34002096e+01  1537
2.06952608e-01  4.72791942e+01  1653
2.19515289e-01  4.15360959e+01  1963
2.32108617e-01  3.79527639e+01  2121
2.44733933e-01  3.50503749e+01  2413
2.57363453e-01  3.16935622e+01  2635
2.69900160e-01  2.86730353e+01  2877
2.82389912e-01  2.62370985e+01  3169
2.95026715e-01  2.41719931e+01  3507
3.07573015e-01  2.26102061e+01  3685
3.20131509e-01  2.05786677e+01  4165
3.32798234e-01  1.93726500e+01  4377
3.45439129e-01  1.76863181e+01  4855
3.57953043e-01  1.64356546e+01  4929
3.70470738e-01  1.55940761e+01  5581
3.82961357e-01  1.48152336e+01  5679
3.95577974e-01  1.35288778e+01  6385
4.08187547e-01  1.27421627e+01  6553
4.20787861e-01  1.20615217e+01  7125
4.33381942e-01  1.13652246e+01  7447
4.45940056e-01  1.07389461e+01  7929
4.58524005e-01  1.02438248e+01  8353
4.71028302e-01  9.56111841e+00  8775
4.83582117e-01  9.13582428e+00  9313
4.96171308e-01  8.63553114e+00  9841
5.08698451e-01  8.16611746e+00  10191
5.21266850e-01  7.75859085e+00  10897
5.33851474e-01  7.38816331e+00  11301
5.46484669e-01  6.99773439e+00  12025
5.59105936e-01  6.74520782e+00  12423
5.71673258e-01  6.44921347e+00  13021
5.84175254e-01  6.13827698e+00  13405
5.96689969e-01  5.90213287e+00  14247
6.09276528e-01  5.56588618e+00  14713
6.21855825e-01  5.40759334e+00  15489
6.34433634e-01  5.13672934e+00  15913
6.47037514e-01  4.95202276e+00  16879
6.59633644e-01  4.71648166e+00  17193
6.72235286e-01  4.63592868e+00  18157
6.84740075e-01  4.39354940e+00  18339
6.97295639e-01  4.28613117e+00  19573
7.09882323e-01  4.12366074e+00  19941
7.22383387e-01  3.91188667e+00  20629
7.34953418e-01  3.76506944e+00  21655
7.47529559e-01  3.63640497e+00  22113
7.60130806e-01  3.56846651e+00  23185
7.72707972e-01  3.43143809e+00  23667
7.85228036e-01  3.29435769e+00  24385
7.97852900e-01  3.17384376e+00  25749
8.10414649e-01  3.08136543e+00  25675
8.22983296e-01  2.98412949e+00  27409
8.35562854e-01  2.89108762e+00  27405
8.48080130e-01  2.80423966e+00  28717
8.60685138e-01  2.72958266e+00  29595
8.73271712e-01  2.65957615e+00  30301
8.85799237e-01  2.55696987e+00  31101
8.98326884e-01  2.47906201e+00  32023
9.10882829e-01  2.38998517e+00  32977
9.23526894e-01  2.33457479e+00  34449
9.36128848e-01  2.27941172e+00  34549
9.48697049e-01  2.20796796e+00  36111
9.61271227e-01  2.14325191e+00  36541
9.73803852e-01  2.08832757e+00  37717
9.86339420e-01  2.02277351e+00  38619
9.98901349e-01  1.97132425e+00  39661
1.01143181e+00  1.92756493e+00  40545
1.02398480e+00  1.88419558e+00  41815
1.03662522e+00  1.83444950e+00  43125
1.04921793e+00  1.79804376e+00  43681
1.06175146e+00  1.73944690e+00  44629
1.07431471e+00  1.68924587e+00  46227
1.08691591e+00  1.65373406e+00  46909
1.09948613e+00  1.60154883e+00  48237
1.11198749e+00  1.55887696e+00  48583
1.12457094e+00  1.51972651e+00  50997
1.13720231e+00  1.49169827e+00  51397
1.14976092e+00  1.45511732e+00  52489
1.16231004e+00  1.43807458e+00  53787
1.17487890e+00  1.39946887e+00  54913
1.18743524e+00  1.35903485e+00  55977
1.19999439e+00  1.32443375e+00  57415
1.21253582e+00  1.30899149e+00  58105
1.22509392e+00  1.27243489e+00  60033
1.23769555e+00  1.25233053e+00  60949
1.25026211e+00  1.21978067e+00  62235
1.26280549e+00  1.19331096e+00  63229
1.27540071e+00  1.17195005e+00  65133
1.28797156e+00  1.14703707e+00  65707
1.30053708e+00  1.12384237e+00  67561
1.31311722e+00  1.10354253e+00  68505
1.32567386e+00  1.07831436e+00  69943
1.33823709e+00  1.05778055e+00  71097
1.35081404e+00  1.03396968e+00  73021
1.36336710e+00  1.01951814e+00  73317
1.37591851e+00  9.97265398e-01  75799
1.38846886e+00  9.75019488e-01  76021
1.40103508e+00  9.56670032e-01  78753
1.41362499e+00  9.41090474e-01  79291
1.42620380e+00  9.24764003e-01  81129
1.43878365e+00  9.03729194e-01  82441
1.45136676e+00  8.85654058e-01  83949
1.46393054e+00  8.68151151e-01  85123
1.47650160e+00  8.53020848e-01  86929
1.48905317e+00  8.41847106e-01  87789
1.50157422e+00  8.25628878e-01  89623
1.51415169e+00  8.07597809e-01  91341
1.52672825e+00  7.97470847e-01  92845
1.53929259e+00  7.85655159e-01  94087
1.55187897e+00  7.73390005e-01  96333
1.56446583e+00  7.55006659e-01  97249
1.57706299e+00  7.42776956e-01  99501
1.58957931e+00  7.32689550e-01  99283
1.60209822e+00  7.17010127e-01  102537
1.61467281e+00  7.03809659e-01  103477
1.62724590e+00  6.96606428e-01  105751
1.63983060e+00  6.85786007e-01  106869
1.65239053e+00  6.70245187e-01  108697
1.66497941e+00  6.62298899e-01  110577
1.67759186e+00  6.49331909e-01  112555
1.69012693e+00  6.39589908e-01  112593
1.70265657e+00  6.32261686e-01  115573
1.71523965e+00  6.21784192e-01  117283
1.72781170e+00  6.10855118e-01  118581
1.74036775e+00  6.02478819e-01  120625
1.75292822e+00  5.89251102e-01  121935
1.76550077e+00  5.82097113e-01  124441
1.77806655e+00  5.74767857e-01  125517
1.79061685e+00  5.68183661e-01  127357
1.80319130e+00  5.56031004e-01  129895
1.81576667e+00  5.50038356e-01  130701
1.82834882e+00  5.42374431e-01  133921
1.84092616e+00  5.32612035e-01  134187
1.85348688e+00  5.23371184e-01  137125
1.86606484e+00  5.18059569e-01  138457
1.87865316e+00  5.10420109e-01  140937
1.89119496e+00  5.02089980e-01  141367
1.90373200e+00  4.97794611e-01  144381
1.91628265e+00  4.89974869e-01  145549
1.92887019e+00  4.83893660e-01  149139
1.94147113e+00  4.76480346e-01  149641
1.95401615e+00  4.69946509e-01  151825
1.96656467e+00  4.62815474e-01  153453
1.97911394e+00  4.56147168e-01  155887
1.99169126e+00  4.51632499e-01  158121
2.00427242e+00  4.44983769e-01  159841
2.01680965e+00  4.37819145e-01  161175
2.02938830e+00  4.36042929e-01  164677
2.04198511e+00  4.30309935e-01  166057
2.05454796e+00  4.22887054e-01  167703
2.06711836e+00  4.18623847e-01  170269
2.07969511e+00  4.12699432e-01  172257
2.09225395e+00  4.07016319e-01  173653
2.10480687e+00  4.03241493e-01  176619
2.11736141e+00  3.97271141e-01  177565
2.12992867e+00  3.91223244e-01  181285
2.14251355e+00  3.86970947e-01  182547
2.15508810e+00  3.82787959e-01  184993
2.16764964e+00  3.78794833e-01  186777
2.18021605e+00  3.73893477e-01  189073
2.19277933e+00  3.69578983e-01  191491
2.20536226e+00  3.64604240e-01  193845
2.21792610e+00  3.61806372e-01  195181
