# z=49.0000 a=0.020000 mass=0.9645418902
# k [h/Mpc]  P(k) [(Mpc/h)^3]  Nmodes
1.77992824e-02  1.66081662e+01  13
3.01582443e-02  1.34629854e+01  33
4.28958037e-02  9.89406193e+00  79
5.56732155e-02  7.92545622e+00  117
6.87019957e-02  6.77273705e+00  205
8.09577352e-02  5.62885078e+00  235
9.35343337e-02  4.39027689e+00  369
1.06164502e-01  3.49974886e+00  433
1.18907249e-01  3.05665499e+00  585
1.31524496e-01  2.73941727e+00  679
1.43932658e-01  2.34897126e+00  813
1.56557218e-01  1.95047579e+00  985
1.69407979e-01  1.67811543e+00  1183
1.81937092e-01  1.52952321e+00  1269
1.94415796e-01  1.38947282e+00  1537
2.06952608e-01  1.22429473e+00  1653
2.19515289e-01  1.07243990e+00  1963
2.32108617e-01  9.68185195e-01  2121
2.44733933e-01  8.93024258e-01  2413
2.57363453e-01  8.15245558e-01  2635
2.69900160e-01  7.36599409e-01  2877
2.82389912e-01  6.68762305e-01  3169
2.95026715e-01  6.15064447e-01  3507
3.07573015e-01  5.72082730e-01  3685
3.20131509e-01  5.27695310e-01  4165
3.32798234e-01  4.87300977e-01  4377
3.45439129e-01  4.48895167e-01  4855
3.57953043e-01  4.18551035e-01  4929
3.70470738e-01  3.92305235e-01  5581
3.82961357e-01  3.67795707e-01  5679
3.95577974e-01  3.41589885e-01  6385
4.08187547e-01  3.19957309e-01  6553
4.20787861e-01  3.01114551e-01  7125
4.33381942e-01  2.83614069e-01  7447
4.45940056e-01  2.67202788e-01  7929
4.58524005e-01  2.52338359e-01  8353
4.71028302e-01  2.37772572e-01  8775
4.83582117e-01  2.25011720e-01  9313
4.96171308e-01  2.12802829e-01  9841
5.08698451e-01  2.01900187e-01  10191
5.21266850e-01  1.91404114e-01  10897
5.33851474e-01  1.81880494e-01  11301
5.46484669e-01  1.72947362e-01  12025
5.59105936e-01  1.64944973e-01  12423
5.71673258e-01  1.57565454e-01  13021
5.84175254e-01  1.50047526e-01  13405
5.96689969e-01  1.43369397e-01  14247
6.09276528e-01  1.36601943e-01  14713
6.21855825e-01  1.31072038e-01  15489
6.34433634e-01  1.25326853e-01  15913
6.47037514e-01  1.19906625e-01  16879
6.59633644e-01  1.14930825e-01  17193
6.72235286e-01  1.10697374e-01  18157
6.84740075e-01  1.06021512e-01  18339
6.97295639e-01  1.02060216e-01  19573
7.09882323e-01  9.81051402e-02  19941
7.22383387e-01  9.40711736e-02  20629
7.34953418e-01  9.05162423e-02  21655
7.47529559e-01  8.72629255e-02  22113
7.60130806e-01  8.41417578e-02  23185
7.72707972e-01  8.12727609e-02  23667
7.85228036e-01  7.81756917e-02  24385
7.97852900e-01  7.53800276e-02  25749
8.10414649e-01  7.30088979e-02  25675
8.22983296e-01  7.05160151e-02  27409
8.35562854e-01  6.82518605e-02  27405
8.48080130e-01  6.59327156e-02  28717
8.60685138e-01  6.38297744e-02  29595
8.73271712e-01  6.18719069e-02  30301
8.85799237e-01  5.97036402e-02  31101
8.98326884e-01  5.78785790e-02  32023
9.10882829e-01  5.60833452e-02  32977
9.23526894e-01  5.42909638e-02  34449
9.36128848e-01  5.27976310e-02  34549
9.48697049e-01  5.11641097e-02  36111
9.61271227e-01  4.96209695e-02  36541
9.73803852e-01  4.82645535e-02  37717
9.86339420e-01  4.68911946e-02  38619
9.98901349e-01  4.54859849e-02  39661
1.01143181e+00  4.42599692e-02  40545
1.02398480e+00  4.30377121e-02  41815
1.03662522e+00  4.18028384e-02  43125
1.04921793e+00  4.08464114e-02  43681
1.06175146e+00  3.96078356e-02  44629
1.07431471e+00  3.85930460e-02  46227
1.08691591e+00  3.75136756e-02  46909
1.09948613e+00  3.65402718e-02  48237
1.11198749e+00  3.56512973e-02  48583
1.12457094e+00  3.46782246e-02  50997
1.13720231e+00  3.38281594e-02  51397
1.14976092e+00  3.30411809e-02  52489
1.16231004e+00  3.22452563e-02  53787
1.17487890e+00  3.14588758e-02  54913
1.18743524e+00  3.06357620e-02  55977
1.19999439e+00  2.99306437e-02  57415
1.21253582e+00  2.92380682e-02  58105
1.22509392e+00  2.86002613e-02  60033
1.23769555e+00  2.79503977e-02  60949
1.25026211e+00  2.71971392e-02  62235
1.26280549e+00  2.65798435e-02  63229
1.27540071e+00  2.60021922e-02  65133
1.28797156e+00  2.55248826e-02  65707
1.30053708e+00  2.48904599e-02  67561
1.31311722e+00  2.43563947e-02  68505
1.32567386e+00  2.38491070e-02  69943
1.33823709e+00  2.32772553e-02  71097
1.35081404e+00  2.27782183e-02  73021
1.36336710e+00  2.22951536e-02  73317
1.37591851e+00  2.18278905e-02  75799
1.38846886e+00  2.13956134e-02  76021
1.40103508e+00  2.09257559e-02  78753
1.41362499e+00  2.05334632e-02  79291
1.42620380e+00  2.00971110e-02  81129
1.43878365e+00  1.97069088e-02  82441
1.45136676e+00  1.92761703e-02  83949
1.46393054e+00  1.89045454e-02  85123
1.47650160e+00  1.85137680e-02  86929
1.48905317e+00  1.82335249e-02  87789
1.50157422e+00  1.78734822e-02  89623
1.51415169e+00  1.75061857e-02  91341
1.52672825e+00  1.72158968e-02  92845
1.53929259e+00  1.68488613e-02  94087
1.55187897e+00  1.65489679e-02  96333
1.56446583e+00  1.61973628e-02  97249
1.57706299e+00  1.59442679e-02  99501
1.58957931e+00  1.56356369e-02  99283
1.60209822e+00  1.53574196e-02  102537
1.61467281e+00  1.50913101e-02  103477
1.62724590e+00  1.48466207e-02  105751
1.63983060e+00  1.45845885e-02  106869
1.65239053e+00  1.43055751e-02  108697
1.66497941e+00  1.40448153e-02  110577
1.67759186e+00  1.38238494e-02  112555
1.69012693e+00  1.35526330e-02  112593
1.70265657e+00  1.33391543e-02  115573
1.71523965e+00  1.31473418e-02  117283
1.72781170e+00  1.28822928e-02  118581
1.74036775e+00  1.26655533e-02  120625
1.75292822e+00  1.24653664e-02  121935
1.76550077e+00  1.22537340e-02  124441
1.77806655e+00  1.20704198e-02  125517
1.79061685e+00  1.18717955e-02  127357
1.80319130e+00  1.16699986e-02  129895
1.81576667e+00  1.14964198e-02  130701
1.82834882e+00  1.13034180e-02  133921
1.84092616e+00  1.11163537e-02  134187
1.85348688e+00  1.09397786e-02  137125
1.86606484e+00  1.07742561e-02  138457
1.87865316e+00  1.05946511e-02  140937
1.89119496e+00  1.04646451e-02  141367
1.90373200e+00  1.02754019e-02  144381
1.91628265e+00  1.01272084e-02  145549
1.92887019e+00  9.99672796e-03  149139
1.94147113e+00  9.84135203e-03  149641
1.95401615e+00  9.71222055e-03  151825
1.96656467e+00  9.54374274e-03  153453
1.97911394e+00  9.40397666e-03  155887
1.99169126e+00  9.27661403e-03  158121
2.00427242e+00  9.15043869e-03  159841
2.01680965e+00  8.99818263e-03  161175
2.02938830e+00  8.88013730e-03  164677
2.04198511e+00  8.75972405e-03  166057
2.05454796e+00  8.62729697e-03  167703
2.06711836e+00  8.51441609e-03  170269
2.07969511e+00  8.41343678e-03  172257
2.09225395e+00  8.28992196e-03  173653
2.10480687e+00  8.16371466e-03  176619
2.11736141e+00  8.06192727e-03  177565
2.12992867e+00  7.95183467e-03  181285
2.14251355e+00  7.83580835e-03  182547
2.15508810e+00  7.74929024e-03  184993
2.16764964e+00  7.64289889e-03  186777
2.18021605e+00  7.56545182e-03  189073
2.19277933e+00  7.43940198e-03  191491
2.20536226e+00  7.35923476e-03  193845
2.21792610e+00  7.25747365e-03  195181
2.23045086e+00  7.17477833e-03  197319
2.24300426e+00  7.06779879e-03  200233
2.25558515e+00  6.97079268e-03  203037
2.26817911e+00  6.90270182e-03  204871
2.28072810e+00  6.81281932e-03  206221
2.29327836e+00  6.72465846e-03  209529
2.30588483e+00  6.64852344e-03  212545
2.31845781e+00  6.56774325e-03  213207
2.33101744e+00  6.49325765e-03  216577
2.34358615e+00  6.42274170e-03  218193
2.35617487e+00  6.35640239e-03  222151
2.36873531e+00  6.24493946e-03  221641
2.38126928e+00  6.19798465e-03  226173
2.39382442e+00  6.11762647e-03  226981
2.40640315e+00  6.05404989e-03  231903
2.41897369e+00  5.97577906e-03  231493
2.43152780e+00  5.92111911e-03  236041
2.44409951e+00  5.85485693e-03  237231
2.45668123e+00  5.79651549e-03  240925
2.46926597e+00  5.73100872e-03  242769
2.48180449e+00  5.64853110e-03  243757
2.49434968e+00  5.59695391e-03  247983
2.50693092e+00  5.54471159e-03  250273
2.51949990e+00  5.49192139e-03  252373
2.53206429e+00  5.43735423e-03  255447
2.54463258e+00  5.38116422e-03  257089
2.55720831e+00  5.32718401e-03  261237
2.56977318e+00  5.27390778e-03  261667
2.58235084e+00  5.21995286e-03  266889
2.59493145e+00  5.15962578e-03  267049
2.60748365e+00  5.11731322e-03  270577
2.62003465e+00  5.06817897e-03  272643
2.63260290e+00  5.01181434e-03  276205
2.64517352e+00  4.96281216e-03  278169
2.65773098e+00  4.92890039e-03  280819
2.67028961e+00  4.88689904e-03  283629
2.68288103e+00  4.83063186e-03  287737
2.69546174e+00  4.79629479e-03  288229
2.70800318e+00  4.75251326e-03  291519
2.72056522e+00  4.72279172e-03  294697
2.73313137e+00  4.66639762e-03  296817
2.74570300e+00  4.63497579e-03  300739
2.75827075e+00  4.59858745e-03  301921
2.77081913e+00  4.56325256e-03  305457
2.78339728e+00  4.52769010e-03  308839
2.79596890e+00  4.49469116e-03  310641
2.80853577e+00  4.44548147e-03  314485
2.82110956e+00  4.41449495e-03  316113
2.83367567e+00  4.39202722e-03  320275
2.84623635e+00  4.36690595e-03  321109
2.85879560e+00  4.32948903e-03  326121
2.87137384e+00  4.30220043e-03  327727
2.88395424e+00  4.27864863e-03  331821
2.89650734e+00  4.24954223e-03  332497
2.90906470e+00  4.22076272e-03  337353
2.92163864e+00  4.20869354e-03  339559
2.93422073e+00  4.17430193e-03  343309
2.94678582e+00  4.15008567e-03  344757
2.95933993e+00  4.13560170e-03  348703
2.97191229e+00  4.10829472e-03  351261
2.98446722e+00  4.08329683e-03  354061
2.99700494e+00  4.06454999e-03  356115
3.00957150e+00  4.05967764e-03  361669
3.02215198e+00  4.03414340e-03  362893
3.03472327e+00  4.02233984e-03  367101
3.04729714e+00  4.00335276e-03  369439
3.05987607e+00  3.99390473e-03  373257
3.07246035e+00  3.97193662e-03  375949
3.08502144e+00  3.96625146e-03  378043
3.09756793e+00  3.96375148e-03  381117
3.11014614e+00  3.94731480e-03  386449
3.12271465e+00  3.93455480e-03  386397
3.13525824e+00  3.93532179e-03  391315
3.14782739e+00  3.93703115e-03  394305
3.16040709e+00  3.92012558e-03  398077
3.17297079e+00  3.91231877e-03  399919
3.18552003e+00  3.91500160e-03  403113
3.19809287e+00  3.91756345e-03  408229
3.21068427e+00  3.90625846e-03  410313
3.22323954e+00  3.90874175e-03  410275
3.23579434e+00  3.87366478e-03  409302
3.24836542e+00  3.83300975e-03  407782
3.26092816e+00  3.80391523e-03  405898
3.27349649e+00  3.76345906e-03  404322
3.28606028e+00  3.73275716e-03  402628
3.29861616e+00  3.71229360e-03  399792
3.31118450e+00  3.68052350e-03  400264
3.32375655e+00  3.65267033e-03  396336
3.33633648e+00  3.62280668e-03  396964
3.34889912e+00  3.58647788e-03  391834
3.36144277e+00  3.55957839e-03  391704
3.37402431e+00  3.54090467e-03  390736
3.38661496e+00  3.51050472e-03  388266
3.39916129e+00  3.48065258e-03  383920
3.41172359e+00  3.45863114e-03  385612
3.42430345e+00  3.43697985e-03  380790
3.43687077e+00  3.40173985e-03  380950
3.44943689e+00  3.38800542e-03  376536
3.46198984e+00  3.35858636e-03  375850
3.47457272e+00  3.33092568e-03  374580
3.48713261e+00  3.31692277e-03  369724
3.49967202e+00  3.29782774e-03  369454
3.51224656e+00  3.28506264e-03  367290
3.52482123e+00  3.24502511e-03  364912
3.53738716e+00  3.22977695e-03  362736
3.54995350e+00  3.20372872e-03  359926
3.56252724e+00  3.17633420e-03  359118
3.57509150e+00  3.17209758e-03  354340
3.58765458e+00  3.15443541e-03  354730
3.60021544e+00  3.13570150e-03  349482
3.61278183e+00  3.10851569e-03  349990
3.62534903e+00  3.09878439e-03  345150
3.63790727e+00  3.08230117e-03  344170
3.65047701e+00  3.06588023e-03  341434
3.66304737e+00  3.04733044e-03  338850
3.67562082e+00  3.02366479e-03  336604
3.68819285e+00  3.01007440e-03  333960
3.70075384e+00  2.99644815e-03  330760
3.71332149e+00  2.98396690e-03  329190
3.72588720e+00  2.97008652e-03  325372
3.73844410e+00  2.95859174e-03  323614
3.75101563e+00  2.94470140e-03  320874
3.76358999e+00  2.92977936e-03  318076
3.77615563e+00  2.92720343e-03  315366
3.78870489e+00  2.90732761e-03  311662
3.80127594e+00  2.89413158e-03  311028
3.81385667e+00  2.88447152e-03  306496
3.82640443e+00  2.86906874e-03  303694
3.83896447e+00  2.86545268e-03  301908
3.85154021e+00  2.86129807e-03  298156
3.86412982e+00  2.85443328e-03  297204
3.87668142e+00  2.82910861e-03  290380
3.88921657e+00  2.83510713e-03  290634
3.90179372e+00  2.82153341e-03  286594
3.91437624e+00  2.80379344e-03  284398
3.92695018e+00  2.80237886e-03  280884
3.93951066e+00  2.80732330e-03  277246
3.95208275e+00  2.79443290e-03  275466
3.96466521e+00  2.78556312e-03  271528
3.97722344e+00  2.78905474e-03  268048
3.98977586e+00  2.77434791e-03  265458
4.00234608e+00  2.77119219e-03  261892
4.01490524e+00  2.76310597e-03  259134
4.02745444e+00  2.75788470e-03  254926
4.04002216e+00  2.76018875e-03  253314
4.05260811e+00  2.74856722e-03  249346
4.06517472e+00  2.76934649e-03  245680
4.07772201e+00  2.75989910e-03  242442
4.09028980e+00  2.74998944e-03  239386
4.10287367e+00  2.74281733e-03  236544
4.11544764e+00  2.74130075e-03  232294
4.12800893e+00  2.74879438e-03  229044
4.14058557e+00  2.75171170e-03  226300
4.15316944e+00  2.75470607e-03  221938
4.16570849e+00  2.74902021e-03  218262
4.17824518e+00  2.75501391e-03  214594
4.19083460e+00  2.75165203e-03  212892
4.20340609e+00  2.77003531e-03  207190
4.21594547e+00  2.76315779e-03  204354
4.22851159e+00  2.77296696e-03  201232
4.24107578e+00  2.77214475e-03  196600
4.25364150e+00  2.78656852e-03  194238
4.26621340e+00  2.78379722e-03  189526
4.27880024e+00  2.78108056e-03  186828
4.29137880e+00  2.78886640e-03  182296
4.30391579e+00  2.79821041e-03  177748
4.31648067e+00  2.79805696e-03  175806
4.32906096e+00  2.80716454e-03  170470
4.34163434e+00  2.81885793e-03  167646
4.35419826e+00  2.82354237e-03  163120
4.36675348e+00  2.82512046e-03  158982
4.37930905e+00  2.84418068e-03  155878
4.39187628e+00  2.84279844e-03  151030
4.40443446e+00  2.84215242e-03  147948
4.41699700e+00  2.83413461e-03  143248
4.42958745e+00  2.84827636e-03  140124
4.44215164e+00  2.85924075e-03  135202
4.45467624e+00  2.83813135e-03  130662
4.46725585e+00  2.86931469e-03  128578
4.47985758e+00  2.84701742e-03  122566
4.49240168e+00  2.86728533e-03  119304
4.50496214e+00  2.83419011e-03  114700
4.51751987e+00  2.82880122e-03  110592
4.53007553e+00  2.83892820e-03  106510
4.54260782e+00  2.79805508e-03  101716
4.55517946e+00  2.78532690e-03  98715
4.56779661e+00  2.77022715e-03  94615
4.58034002e+00  2.74186877e-03  90513
4.59290715e+00  2.75509240e-03  88351
4.60550746e+00  2.75194277e-03  84555
4.61806652e+00  2.74282748e-03  81709
4.63061348e+00  2.74769880e-03  78724
4.64316981e+00  2.72901492e-03  76233
4.65575170e+00  2.72574569e-03  73561
4.66831088e+00  2.72402792e-03  70830
4.68083874e+00  2.73269643e-03  68230
4.69341420e+00  2.73984291e-03  66498
4.70600658e+00  2.73045797e-03  63586
4.71857979e+00  2.74974672e-03  61774
4.73110775e+00  2.74203229e-03  58794
4.74365157e+00  2.73178948e-03  57547
4.75628181e+00  2.74260810e-03  55350
4.76885619e+00  2.75426831e-03  53023
4.78138516e+00  2.74923026e-03  51099
4.79397628e+00  2.77173622e-03  49555
4.80660710e+00  2.78247464e-03  47659
4.81914615e+00  2.77998035e-03  45291
4.83166160e+00  2.79501282e-03  43999
4.84428771e+00  2.80776617e-03  42483
4.85686012e+00  2.79441010e-03  40327
4.86935554e+00  2.82140643e-03  38827
4.88194043e+00  2.80388208e-03  37683
4.89459796e+00  2.85805526e-03  36055
4.90713824e+00  2.85873293e-03  34098
4.91960008e+00  2.86324575e-03  32779
4.93221847e+00  2.89863198e-03  31992
4.94482861e+00  2.90328473e-03  29959
4.95732710e+00  2.92024252e-03  28828
4.96986863e+00  2.93102729e-03  27615
4.98248566e+00  2.95922950e-03  26488
4.99511075e+00  2.95919999e-03  25203
5.00760758e+00  2.99883300e-03  23656
5.02010091e+00  3.01058251e-03  22887
5.03277631e+00  3.01659065e-03  21952
5.04539390e+00  3.09521062e-03  20500
5.05782424e+00  3.10413286e-03  19323
5.07038990e+00  3.11096770e-03  18814
5.08310603e+00  3.11741115e-03  17688
5.09566720e+00  3.22525354e-03  16504
5.10805545e+00  3.23043220e-03  15444
5.12067144e+00  3.24494148e-03  15151
5.13344763e+00  3.28617824e-03  14032
5.14589503e+00  3.32928075e-03  12792
5.15822505e+00  3.35807138e-03  12256
5.17095099e+00  3.37820942e-03  11844
5.18370039e+00  3.45072610e-03  10780
5.19611864e+00  3.49025959e-03  9868
5.20859432e+00  3.52290604e-03  9486
5.22134900e+00  3.59696167e-03  8824
5.23386567e+00  3.57365462e-03  7896
5.24601709e+00  3.67393268e-03  7228
5.25879506e+00  3.82233660e-03  7332
5.27182115e+00  3.84102649e-03  6292
5.28405957e+00  3.80889670e-03  5524
5.29607902e+00  3.92745623e-03  5172
5.30908192e+00  4.04212520e-03  5188
5.32236057e+00  4.03687919e-03  4386
5.33439029e+00  4.19319983e-03  3520
5.34618180e+00  4.16513712e-03  3516
5.35946353e+00  4.26038434e-03  3388
5.37293386e+00  4.45312964e-03  2800
5.38439671e+00  4.33216600e-03  1932
5.39592935e+00  4.49002963e-03  2236
5.40978388e+00  4.57237689e-03  2013
5.42364053e+00  4.78030877e-03  1576
5.43419581e+00  5.05799552e-03  846
5.44557289e+00  4.96488228e-03  1228
5.45989569e+00  5.50663363e-03  964
5.47413058e+00  5.46750438e-03  717
5.48497641e+00  5.13170571e-03  304
5.49574664e+00  5.28536986e-03  444
5.51008628e+00  5.11749282e-03  292
5.52439869e+00  5.54085647e-03  172
5.53578558e+00  6.19533735e-03  51
5.54566396e+00  6.20496249e-03  52
5.55931162e+00  9.37560826e-03  12
5.57199165e+00  2.74217533e-02  1
