# z=4.4952 a=0.181978 mass=0.9378017898
# k [h/Mpc]  P(k) [(Mpc/h)^3]  Nmodes
1.77992824e-02  1.36392005e+03  13
3.01582443e-02  1.09504728e+03  33
4.28958037e-02  8.10082663e+02  79
5.56732155e-02  6.40155290e+02  117
6.87019957e-02  5.47388576e+02  205
8.09577352e-02  4.55613225e+02  235
9.35343337e-02  3.60390261e+02  369
1.06164502e-01  2.87039596e+02  433
1.18907249e-01  2.51018972e+02  585
1.31524496e-01  2.22339505e+02  679
1.43932658e-01  1.92109463e+02  813
1.56557218e-01  1.60706558e+02  985
1.69407979e-01  1.37255188e+02  1183
1.81937092e-01  1.25564420e+02  1269
1.94415796e-01  1.13396004e+02  1537
2.06952608e-01  1.00619665e+02  1653
2.19515289e-01  8.87291077e+01  1963
2.32108617e-01  8.16558213e+01  2121
2.44733933e-01  7.54338997e+01  2413
2.57363453e-01  6.79969222e+01  2635
2.69900160e-01  6.15790961e+01  2877
2.82389912e-01  5.65887092e+01  3169
2.95026715e-01  5.23125214e+01  3507
3.07573015e-01  4.91544491e+01  3685
3.20131509e-01  4.43995316e+01  4165
3.32798234e-01  4.22397179e+01  4377
3.45439129e-01  3.85279213e+01  4855
3.57953043e-01  3.57484877e+01  4929
3.70470738e-01  3.41950805e+01  5581
3.82961357e-01  3.26369772e+01  5679
3.95577974e-01  2.96771047e+01  6385
4.08187547e-01  2.81405176e+01  6553
4.20787861e-01  2.66769499e+01  7125
4.33381942e-01  2.51245623e+01  7447
4.45940056e-01  2.37742178e+01  7929
4.58524005e-01  2.28383204e+01  8353
4.71028302e-01  2.12346861e+01  8775
4.83582117e-01  2.04282602e+01  9313
4.96171308e-01  1.93806776e+01  9841
5.08698451e-01  1.82776280e+01  10191
5.21266850e-01  1.73972371e+01  10897
5.33851474e-01  1.66475770e+01  11301
5.46484669e-01  1.57504518e+01  12025
5.59105936e-01  1.52945077e+01  12423
5.71673258e-01  1.45350632e+01  13021
5.84175254e-01  1.39311445e+01  13405
5.96689969e-01  1.34575284e+01  14247
6.09276528e-01  1.26530100e+01  14713
6.21855825e-01  1.23740054e+01  15489
6.34433634e-01  1.17419400e+01  15913
6.47037514e-01  1.13899887e+01  16879
6.59633644e-01  1.08307394e+01  17193
6.72235286e-01  1.07338454e+01  18157
6.84740075e-01  1.01704048e+01  18339
6.97295639e-01  9.93276342e+00  19573
7.09882323e-01  9.58286149e+00  19941
7.22383387e-01  9.03958576e+00  20629
7.34953418e-01  8.74782503e+00  21655
7.47529559e-01  8.50302584e+00  22113
7.60130806e-01  8.41282891e+00  23185
7.72707972e-01  8.02717550e+00  23667
7.85228036e-01  7.76002747e+00  24385
7.97852900e-01  7.51722068e+00  25749
8.10414649e-01  7.27851042e+00  25675
8.22983296e-01  7.05874431e+00  27409
8.35562854e-01  6.84928415e+00  27405
8.48080130e-01  6.62849286e+00  28717
8.60685138e-01  6.52756073e+00  29595
8.73271712e-01  6.34452033e+00  30301
8.85799237e-01  6.14102328e+00  31101
8.98326884e-01  5.96568093e+00  32023
9.10882829e-01  5.74226757e+00  32977
9.23526894e-01  5.64223451e+00  34449
9.36128848e-01  5.50563498e+00  34549
9.48697049e-01  5.34693516e+00  36111
9.61271227e-01  5.22970669e+00  36541
9.73803852e-01  5.08629749e+00  37717
9.86339420e-01  4.91174975e+00  38619
9.98901349e-01  4.79639727e+00  39661
1.01143181e+00  4.70930442e+00  40545
1.02398480e+00  4.62753807e+00  41815
1.03662522e+00  4.50924328e+00  43125
1.04921793e+00  4.43083676e+00  43681
1.06175146e+00  4.31415002e+00  44629
1.07431471e+00  4.18772129e+00  46227
1.08691591e+00  4.11098444e+00  46909
1.09948613e+00  4.00532927e+00  48237
1.11198749e+00  3.89179624e+00  48583
1.12457094e+00  3.78938702e+00  50997
1.13720231e+00  3.72625682e+00  51397
1.14976092e+00  3.66566221e+00  52489
1.16231004e+00  3.60863328e+00  53787
1.17487890e+00  3.53430313e+00  54913
1.18743524e+00  3.43562406e+00  55977
1.19999439e+00  3.36042815e+00  57415
1.21253582e+00  3.30167426e+00  58105
1.22509392e+00  3.22139604e+00  60033
1.23769555e+00  3.18459660e+00  60949
1.25026211e+00  3.10120365e+00  62235
1.26280549e+00  3.06457441e+00  63229
1.27540071e+00  3.01003522e+00  65133
1.28797156e+00  2.93647721e+00  65707
1.30053708e+00  2.89361524e+00  67561
1.31311722e+00  2.84187027e+00  68505
1.32567386e+00  2.79233153e+00  69943
1.33823709e+00  2.73262546e+00  71097
1.35081404e+00  2.68140835e+00  73021
1.36336710e+00  2.65393387e+00  73317
1.37591851e+00  2.61014787e+00  75799
1.38846886e+00  2.54336773e+00  76021
1.40103508e+00  2.50556501e+00  78753
1.41362499e+00  2.47870536e+00  79291
1.42620380e+00  2.43009316e+00  81129
1.43878365e+00  2.38415226e+00  82441
1.45136676e+00  2.33849466e+00  83949
1.46393054e+00  2.30333687e+00  85123
1.47650160e+00  2.26440296e+00  86929
1.48905317e+00  2.23838927e+00  87789
1.50157422e+00  2.19558311e+00  89623
1.51415169e+00  2.17112596e+00  91341
1.52672825e+00  2.12947108e+00  92845
1.53929259e+00  2.10585887e+00  94087
1.55187897e+00  2.07384585e+00  96333
1.56446583e+00  2.03050325e+00  97249
1.57706299e+00  2.00418524e+00  99501
1.58957931e+00  1.97312606e+00  99283
1.60209822e+00  1.94500586e+00  102537
1.61467281e+00  1.90895852e+00  103477
1.62724590e+00  1.89345349e+00  105751
1.63983060e+00  1.86507224e+00  106869
1.65239053e+00  1.83131333e+00  108697
1.66497941e+00  1.81164965e+00  110577
1.67759186e+00  1.77708488e+00  112555
1.69012693e+00  1.75975431e+00  112593
1.70265657e+00  1.74182240e+00  115573
1.71523965e+00  1.71999731e+00  117283
1.72781170e+00  1.69226942e+00  118581
1.74036775e+00  1.66479906e+00  120625
1.75292822e+00  1.64074447e+00  121935
1.76550077e+00  1.62190970e+00  124441
1.77806655e+00  1.60345955e+00  125517
1.79061685e+00  1.58552155e+00  127357
1.80319130e+00  1.56509651e+00  129895
1.81576667e+00  1.53868258e+00  130701
1.82834882e+00  1.51695807e+00  133921
1.84092616e+00  1.49704044e+00  134187
1.85348688e+00  1.48013279e+00  137125
1.86606484e+00  1.47047220e+00  138457
1.87865316e+00  1.44581465e+00  140937
1.89119496e+00  1.43137710e+00  141367
1.90373200e+00  1.41271110e+00  144381
1.91628265e+00  1.39121705e+00  145549
1.92887019e+00  1.38103595e+00  149139
1.94147113e+00  1.36548181e+00  149641
1.95401615e+00  1.34579625e+00  151825
1.96656467e+00  1.32880553e+00  153453
1.97911394e+00  1.31306293e+00  155887
1.99169126e+00  1.30241138e+00  158121
2.00427242e+00  1.28616510e+00  159841
2.01680965e+00  1.26903070e+00  161175
2.02938830e+00  1.26133609e+00  164677
2.04198511e+00  1.24901994e+00  166057
2.05454796e+00  1.23020320e+00  167703
2.06711836e+00  1.22426777e+00  170269
2.07969511e+00  1.20513654e+00  172257
2.09225395e+00  1.19079231e+00  173653
2.10480687e+00  1.18348248e+00  176619
2.11736141e+00  1.16877604e+00  177565
2.12992867e+00  1.15209294e+00  181285
2.14251355e+00  1.14247098e+00  182547
2.15508810e+00  1.13418509e+00  184993
2.16764964e+00  1.12244437e+00  186777
2.18021605e+00  1.10859728e+00  189073
2.19277933e+00  1.09933618e+00  191491
2.20536226e+00  1.08828262e+00  193845
2.21792610e+00  1.07719775e+00  195181
2.23045086e+00  1.06646923e+00  197319
2.24300426e+00  1.05976090e+00  200233
2.25558515e+00  1.04917747e+00  203037
2.26817911e+00  1.04094900e+00  204871
2.28072810e+00  1.02768237e+00  206221
2.29327836e+00  1.01773438e+00  209529
2.30588483e+00  1.00955779e+00  212545
2.31845781e+00  1.00228115e+00  213207
2.33101744e+00  9.90326271e-01  216577
2.34358615e+00  9.78485715e-01  218193
2.35617487e+00  9.74873124e-01  222151
2.36873531e+00  9.67987176e-01  221641
2.38126928e+00  9.59239079e-01  226173
2.39382442e+00  9.47641481e-01  226981
2.40640315e+00  9.41249109e-01  231903
2.41897369e+00  9.34838429e-01  231493
2.43152780e+00  9.27185172e-01  236041
2.44409951e+00  9.21957174e-01  237231
2.45668123e+00  9.11303730e-01  240925
2.46926597e+00  9.03602409e-01  242769
2.48180449e+00  8.95498853e-01  243757
2.49434968e+00  8.89108831e-01  247983
2.50693092e+00  8.82029203e-01  250273
2.51949990e+00  8.77549338e-01  252373
2.53206429e+00  8.70524792e-01  255447
2.54463258e+00  8.65823138e-01  257089
2.55720831e+00  8.57615313e-01  261237
2.56977318e+00  8.52153413e-01  261667
2.58235084e+00  8.45834805e-01  266889
2.59493145e+00  8.42311814e-01  267049
2.60748365e+00  8.34957737e-01  270577
2.62003465e+00  8.28734654e-01  272643
2.63260290e+00  8.26761025e-01  276205
2.64517352e+00  8.18981093e-01  278169
2.65773098e+00  8.13640084e-01  280819
2.67028961e+00  8.12521750e-01  283629
2.68288103e+00  8.03368296e-01  287737
2.69546174e+00  7.98450303e-01  288229
2.70800318e+00  7.92062019e-01  291519
2.72056522e+00  7.90571801e-01  294697
2.73313137e+00  7.86568919e-01  296817
2.74570300e+00  7.81379312e-01  300739
2.75827075e+00  7.79368805e-01  301921
2.77081913e+00  7.72623731e-01  305457
2.78339728e+00  7.69927508e-01  308839
2.79596890e+00  7.65986966e-01  310641
2.80853577e+00  7.62306960e-01  314485
2.82110956e+00  7.59787018e-01  316113
2.83367567e+00  7.56503181e-01  320275
2.84623635e+00  7.53377286e-01  321109
2.85879560e+00  7.49636649e-01  326121
2.87137384e+00  7.47755307e-01  327727
2.88395424e+00  7.44145341e-01  331821
2.89650734e+00  7.39690424e-01  332497
2.90906470e+00  7.37660505e-01  337353
2.92163864e+00  7.37350029e-01  339559
2.93422073e+00  7.33067593e-01  343309
2.94678582e+00  7.33281271e-01  344757
2.95933993e+00  7.31791388e-01  348703
2.97191229e+00  7.25604364e-01  351261
2.98446722e+00  7.26773384e-01  354061
2.99700494e+00  7.26711553e-01  356115
3.00957150e+00  7.23869291e-01  361669
3.02215198e+00  7.23707145e-01  362893
3.03472327e+00  7.23411102e-01  367101
3.04729714e+00  7.21805133e-01  369439
3.05987607e+00  7.20574475e-01  373257
3.07246035e+00  7.18526053e-01  375949
3.08502144e+00  7.21421733e-01  378043
3.09756793e+00  7.19050629e-01  381117
3.11014614e+00  7.20600768e-01  386449
3.12271465e+00  7.20060518e-01  386397
3.13525824e+00  7.18961088e-01  391315
3.14782739e+00  7.24755352e-01  394305
3.16040709e+00  7.23426845e-01  398077
3.17297079e+00  7.22540020e-01  399919
3.18552003e+00  7.23434299e-01  403113
3.19809287e+00  7.27340124e-01  408229
3.21068427e+00  7.28508888e-01  410313
3.22323954e+00  7.25283084e-01  410275
3.23579434e+00  7.23941694e-01  409302
3.24836542e+00  7.15647320e-01  407782
3.26092816e+00  7.14511486e-01  405898
3.27349649e+00  7.09540690e-01  404322
3.28606028e+00  7.05115083e-01  402628
3.29861616e+00  7.01251505e-01  399792
3.31118450e+00  6.96662981e-01  400264
3.32375655e+00  6.92852665e-01  396336
3.33633648e+00  6.88773195e-01  396964
3.34889912e+00  6.85420396e-01  391834
3.36144277e+00  6.80246314e-01  391704
3.37402431e+00  6.81039803e-01  390736
3.38661496e+00  6.77520491e-01  388266
3.39916129e+00  6.72787879e-01  383920
3.41172359e+00  6.68011012e-01  385612
3.42430345e+00  6.67050020e-01  380790
3.43687077e+00  6.62568011e-01  380950
3.44943689e+00  6.60278827e-01  376536
3.46198984e+00  6.57887937e-01  375850
3.47457272e+00  6.54468083e-01  374580
3.48713261e+00  6.54905577e-01  369724
3.49967202e+00  6.51995171e-01  369454
3.51224656e+00  6.48973456e-01  367290
3.52482123e+00  6.45307943e-01  364912
3.53738716e+00  6.42254199e-01  362736
3.54995350e+00  6.40184310e-01  359926
3.56252724e+00  6.36741175e-01  359118
3.57509150e+00  6.36998483e-01  354340
3.58765458e+00  6.32702315e-01  354730
3.60021544e+00  6.29722380e-01  349482
3.61278183e+00  6.29579581e-01  349990
3.62534903e+00  6.26231308e-01  345150
3.63790727e+00  6.24669555e-01  344170
3.65047701e+00  6.23882957e-01  341434
3.66304737e+00  6.23007568e-01  338850
3.67562082e+00  6.20713391e-01  336604
3.68819285e+00  6.17488761e-01  333960
3.70075384e+00  6.16757839e-01  330760
3.71332149e+00  6.16246649e-01  329190
3.72588720e+00  6.14138344e-01  325372
3.73844410e+00  6.14222106e-01  323614
3.75101563e+00  6.11349776e-01  320874
3.76358999e+00  6.10391548e-01  318076
3.77615563e+00  6.08664550e-01  315366
3.78870489e+00  6.08433196e-01  311662
3.80127594e+00  6.07173155e-01  311028
3.81385667e+00  6.04769302e-01  306496
3.82640443e+00  6.06648870e-01  303694
3.83896447e+00  6.04376410e-01  301908
3.85154021e+00  6.05497039e-01  298156
3.86412982e+00  6.04849543e-01  297204
3.87668142e+00  6.05057483e-01  290380
3.88921657e+00  6.05140969e-01  290634
3.90179372e+00  6.01305116e-01  286594
