# z=2.0049 a=0.332786 mass=0.9282482288
# k [h/Mpc]  P(k) [(Mpc/h)^3]  Nmodes
1.77992824e-02  1.24989964e+08  13
3.01582443e-02  1.24971839e+08  33
4.28958037e-02  1.24943182e+08  79
5.56732155e-02  1.24904642e+08  117
6.87019957e-02  1.24854817e+08  205
8.09577352e-02  1.24798768e+08  235
9.35343337e-02  1.24731417e+08  369
1.06164502e-01  1.24654252e+08  433
1.18907249e-01  1.24566384e+08  585
1.31524496e-01  1.24469781e+08  679
1.43932658e-01  1.24365318e+08  813
1.56557218e-01  1.24249410e+08  985
1.69407979e-01  1.24121497e+08  1183
1.81937092e-01  1.23987288e+08  1269
1.94415796e-01  1.23844139e+08  1537
2.06952608e-01  1.23690977e+08  1653
2.19515289e-01  1.23527962e+08  1963
2.32108617e-01  1.23355177e+08  2121
2.44733933e-01  1.23172440e+08  2413
2.57363453e-01  1.22980212e+08  2635
2.69900160e-01  1.22780052e+08  2877
2.82389912e-01  1.22571465e+08  3169
2.95026715e-01  1.22351102e+08  3507
3.07573015e-01  1.22123133e+08  3685
3.20131509e-01  1.21885702e+08  4165
3.32798234e-01  1.21637050e+08  4377
3.45439129e-01  1.21379678e+08  4855
3.57953043e-01  1.21115908e+08  4929
3.70470738e-01  1.20843080e+08  5581
3.82961357e-01  1.20562036e+08  5679
3.95577974e-01  1.20269196e+08  6385
4.08187547e-01  1.19967624e+08  6553
4.20787861e-01  1.19657411e+08  7125
4.33381942e-01  1.19338621e+08  7447
4.45940056e-01  1.19012019e+08  7929
4.58524005e-01  1.18676134e+08  8353
4.71028302e-01  1.18333824e+08  8775
4.83582117e-01  1.17981707e+08  9313
4.96171308e-01  1.17620170e+08  9841
5.08698451e-01  1.17252015e+08  10191
5.21266850e-01  1.16874406e+08  10897
5.33851474e-01  1.16488031e+08  11301
5.46484669e-01  1.16091823e+08  12025
5.59105936e-01  1.15687915e+08  12423
5.71673258e-01  1.15277680e+08  13021
5.84175254e-01  1.14861607e+08  13405
5.96689969e-01  1.14437321e+08  14247
6.09276528e-01  1.14002813e+08  14713
6.21855825e-01  1.13560791e+08  15489
6.34433634e-01  1.13111026e+08  15913
6.47037514e-01  1.12652806e+08  16879
6.59633644e-01  1.12187333e+08  17193
6.72235286e-01  1.11714304e+08  18157
6.84740075e-01  1.11237408e+08  18339
6.97295639e-01  1.10751407e+08  19573
7.09882323e-01  1.10257150e+08  19941
7.22383387e-01  1.09758895e+08  20629
7.34953418e-01  1.09251425e+08  21655
7.47529559e-01  1.08736304e+08  22113
7.60130806e-01  1.08213712e+08  23185
7.72707972e-01  1.07685007e+08  23667
7.85228036e-01  1.07152302e+08  24385
7.97852900e-01  1.06608494e+08  25749
8.10414649e-01  1.06061003e+08  25675
8.22983296e-01  1.05506933e+08  27409
8.35562854e-01  1.04945833e+08  27405
8.48080130e-01  1.04381702e+08  28717
8.60685138e-01  1.03807403e+08  29595
8.73271712e-01  1.03227800e+08  30301
8.85799237e-01  1.02645316e+08  31101
