# z=2.5011 a=0.285627 mass=0.9302107545
# k [h/Mpc]  P(k) [(Mpc/h)^3]  Nmodes
1.77992824e-02  1.24990198e+08  13
3.01582443e-02  1.24972472e+08  33
4.28958037e-02  1.24944469e+08  79
5.56732155e-02  1.24906795e+08  117
6.87019957e-02  1.24858093e+08  205
8.09577352e-02  1.24803311e+08  235
9.35343337e-02  1.24737475e+08  369
1.06164502e-01  1.24662045e+08  433
1.18907249e-01  1.24576156e+08  585
1.31524496e-01  1.24481725e+08  679
1.43932658e-01  1.24379610e+08  813
1.56557218e-01  1.24266305e+08  985
1.69407979e-01  1.24141262e+08  1183
1.81937092e-01  1.24010064e+08  1269
1.94415796e-01  1.23870121e+08  1537
2.06952608e-01  1.23720387e+08  1653
2.19515289e-01  1.23561018e+08  1963
2.32108617e-01  1.23392092e+08  2121
2.44733933e-01  1.23213433e+08  2413
2.57363453e-01  1.23025488e+08  2635
2.69900160e-01  1.22829784e+08  2877
2.82389912e-01  1.22625834e+08  3169
2.95026715e-01  1.22410364e+08  3507
3.07573015e-01  1.22187448e+08  3685
3.20131509e-01  1.21955274e+08  4165
3.32798234e-01  1.21712117e+08  4377
3.45439129e-01  1.21460423e+08  4855
3.57953043e-01  1.21202465e+08  4929
3.70470738e-01  1.20935635e+08  5581
3.82961357e-01  1.20660762e+08  5679
3.95577974e-01  1.20374336e+08  6385
4.08187547e-01  1.20079360e+08  6553
4.20787861e-01  1.19775917e+08  7125
4.33381942e-01  1.19464067e+08  7447
4.45940056e-01  1.19144563e+08  7929
4.58524005e-01  1.18815960e+08  8353
4.71028302e-01  1.18481057e+08  8775
4.83582117e-01  1.18136539e+08  9313
4.96171308e-01  1.17782783e+08  9841
5.08698451e-01  1.17422537e+08  10191
5.21266850e-01  1.17053013e+08  10897
5.33851474e-01  1.16674891e+08  11301
5.46484669e-01  1.16287128e+08  12025
5.59105936e-01  1.15891800e+08  12423
5.71673258e-01  1.15490251e+08  13021
5.84175254e-01  1.15082969e+08  13405
5.96689969e-01  1.14667616e+08  14247
6.09276528e-01  1.14242226e+08  14713
6.21855825e-01  1.13809451e+08  15489
6.34433634e-01  1.13369074e+08  15913
6.47037514e-01  1.12920376e+08  16879
6.59633644e-01  1.12464545e+08  17193
6.72235286e-01  1.12001268e+08  18157
6.84740075e-01  1.11534188e+08  18339
6.97295639e-01  1.11058146e+08  19573
7.09882323e-01  1.10573970e+08  19941
7.22383387e-01  1.10085865e+08  20629
7.34953418e-01  1.09588646e+08  21655
7.47529559e-01  1.09083932e+08  22113
7.60130806e-01  1.08571818e+08  23185
7.72707972e-01  1.08053701e+08  23667
7.85228036e-01  1.07531601e+08  24385
7.97852900e-01  1.06998574e+08  25749
8.10414649e-01  1.06461886e+08  25675
8.22983296e-01  1.05918687e+08  27409
8.35562854e-01  1.05368572e+08  27405
8.48080130e-01  1.04815403e+08  28717
8.60685138e-01  1.04252218e+08  29595
8.73271712e-01  1.03683790e+08  30301
8.85799237e-01  1.03112456e+08  31101
8.98326884e-01  1.02535675e+08  32023
9.10882829e-01  1.01951411e+08  32977
9.23526894e-01  1.01357698e+08  34449
9.36128848e-01  1.00760579e+08  34549
9.48697049e-01  1.00159933e+08  36111
9.61271227e-01  9.95532952e+07  36541
9.73803852e-01  9.89438997e+07  37717
9.86339420e-01  9.83296658e+07  38619
9.98901349e-01  9.77086604e+07  39661
1.01143181e+00  9.70846328e+07  40545
1.02398480e+00  9.64546738e+07  41815
1.03662522e+00  9.58161268e+07  43125
1.04921793e+00  9.51750921e+07  43681
1.06175146e+00  9.45329555e+07  44629
1.07431471e+00  9.38847510e+07  46227
1.08691591e+00  9.32304529e+07  46909
1.09948613e+00  9.25740382e+07  48237
1.11198749e+00  9.19165636e+07  48583
1.12457094e+00  9.12517851e+07  50997
1.13720231e+00  9.05804911e+07  51397
1.14976092e+00  8.99090458e+07  52489
1.16231004e+00  8.92345269e+07  53787
1.17487890e+00  8.85561229e+07  54913
1.18743524e+00  8.78749550e+07  55977
1.19999439e+00  8.71900579e+07  57415
1.21253582e+00  8.65035034e+07  58105
1.22509392e+00  8.58132192e+07  60033
1.23769555e+00  8.51169767e+07  60949
1.25026211e+00  8.44202040e+07  62235
1.26280549e+00  8.37225335e+07  63229
1.27540071e+00  8.30193405e+07  65133
1.28797156e+00  8.23147937e+07  65707
1.30053708e+00  8.16080641e+07  67561
1.31311722e+00  8.08992539e+07  68505
1.32567386e+00  8.01887820e+07  69943
1.33823709e+00  7.94765055e+07  71097
1.35081404e+00  7.87612864e+07  73021
1.36336710e+00  7.80459139e+07  73317
1.37591851e+00  7.73296631e+07  75799
1.38846886e+00  7.66107532e+07  76021
1.40103508e+00  7.58899214e+07  78753
1.41362499e+00  7.51672492e+07  79291
1.42620380e+00  7.44433848e+07  81129
1.43878365e+00  7.37186526e+07  82441
1.45136676e+00  7.29920822e+07  83949
1.46393054e+00  7.22676285e+07  85123
1.47650160e+00  7.15400257e+07  86929
1.48905317e+00  7.08140791e+07  87789
1.50157422e+00  7.00887776e+07  89623
1.51415169e+00  6.93612163e+07  91341
1.52672825e+00  6.86319312e+07  92845
1.53929259e+00  6.79034491e+07  94087
1.55187897e+00  6.71745530e+07  96333
1.56446583e+00  6.64444187e+07  97249
1.57706299e+00  6.57152936e+07  99501
1.58957931e+00  6.49903015e+07  99283
1.60209822e+00  6.42660703e+07  102537
1.61467281e+00  6.35384809e+07  103477
1.62724590e+00  6.28121274e+07  105751
1.63983060e+00  6.20850460e+07  106869
1.65239053e+00  6.13620721e+07  108697
1.66497941e+00  6.06359606e+07  110577
1.67759186e+00  5.99113982e+07  112555
1.69012693e+00  5.91915760e+07  112593
1.70265657e+00  5.84740926e+07  115573
1.71523965e+00  5.77537221e+07  117283
1.72781170e+00  5.70362614e+07  118581
1.74036775e+00  5.63216002e+07  120625
1.75292822e+00  5.56078086e+07  121935
1.76550077e+00  5.48954320e+07  124441
1.77806655e+00  5.41843834e+07  125517
1.79061685e+00  5.34778440e+07  127357
1.80319130e+00  5.27711478e+07  129895
1.81576667e+00  5.20655866e+07  130701
1.82834882e+00  5.13639952e+07  133921
1.84092616e+00  5.06634551e+07  134187
1.85348688e+00  4.99671843e+07  137125
1.86606484e+00  4.92717978e+07  138457
1.87865316e+00  4.85788403e+07  140937
1.89119496e+00  4.78916300e+07  141367
1.90373200e+00  4.72071390e+07  144381
1.91628265e+00  4.65247354e+07  145549
1.92887019e+00  4.58434919e+07  149139
1.94147113e+00  4.51645862e+07  149641
1.95401615e+00  4.44916752e+07  151825
1.96656467e+00  4.38227755e+07  153453
1.97911394e+00  4.31558175e+07  155887
1.99169126e+00  4.24920620e+07  158121
2.00427242e+00  4.18310653e+07  159841
2.01680965e+00  4.11764664e+07  161175
2.02938830e+00  4.05221595e+07  164677
2.04198511e+00  3.98723776e+07  166057
2.05454796e+00  3.92265426e+07  167703
2.06711836e+00  3.85860398e+07  170269
2.07969511e+00  3.79481528e+07  172257
2.09225395e+00  3.73150558e+07  173653
2.10480687e+00  3.66871999e+07  176619
2.11736141e+00  3.60635626e+07  177565
2.12992867e+00  3.54429909e+07  181285
2.14251355e+00  3.48250071e+07  182547
2.15508810e+00  3.42145943e+07  184993
2.16764964e+00  3.36077743e+07  186777
2.18021605e+00  3.30046410e+07  189073
2.19277933e+00  3.24070275e+07  191491
2.20536226e+00  3.18136808e+07  193845
2.21792610e+00  3.12259737e+07  195181
2.23045086e+00  3.06441268e+07  197319
2.24300426e+00  3.00661914e+07  200233
2.25558515e+00  2.94922999e+07  203037
2.26817911e+00  2.89220449e+07  204871
2.28072810e+00  2.83603564e+07  206221
2.29327836e+00  2.78017165e+07  209529
2.30588483e+00  2.72474622e+07  212545
2.31845781e+00  2.66992527e+07  213207
2.33101744e+00  2.61569542e+07  216577
2.34358615e+00  2.56191509e+07  218193
2.35617487e+00  2.50867610e+07  222151
2.36873531e+00  2.45606443e+07  221641
2.38126928e+00  2.40408128e+07  226173
2.39382442e+00  2.35260864e+07  226981
2.40640315e+00  2.30156505e+07  231903
