# z=3.5051 a=0.221970 mass=0.9340809867
# k [h/Mpc]  P(k) [(Mpc/h)^3]  Nmodes
1.77992824e-02  2.03445409e+03  13
3.01582443e-02  1.62919175e+03  33
4.28958037e-02  1.20720688e+03  79
5.56732155e-02  9.50640875e+02  117
6.87019957e-02  8.13001354e+02  205
8.09577352e-02  6.77027015e+02  235
9.35343337e-02  5.37453199e+02  369
1.06164502e-01  4.28336957e+02  433
1.18907249e-01  3.74605931e+02  585
1.31524496e-01  3.30927087e+02  679
1.43932658e-01  2.86690327e+02  813
1.56557218e-01  2.40386723e+02  985
1.69407979e-01  2.05266684e+02  1183
1.81937092e-01  1.87792025e+02  1269
1.94415796e-01  1.69547568e+02  1537
2.06952608e-01  1.50658899e+02  1653
2.19515289e-01  1.33277360e+02  1963
2.32108617e-01  1.23247486e+02  2121
2.44733933e-01  1.13898018e+02  2413
2.57363453e-01  1.02510861e+02  2635
2.69900160e-01  9.29656133e+01  2877
2.82389912e-01  8.56368385e+01  3169
2.95026715e-01  7.94378027e+01  3507
3.07573015e-01  7.48744889e+01  3685
3.20131509e-01  6.73038421e+01  4165
3.32798234e-01  6.44700663e+01  4377
3.45439129e-01  5.88594883e+01  4855
3.57953043e-01  5.45890801e+01  4929
3.70470738e-01  5.24844764e+01  5581
3.82961357e-01  5.01835782e+01  5679
3.95577974e-01  4.56411736e+01  6385
4.08187547e-01  4.35032026e+01  6553
4.20787861e-01  4.12767276e+01  7125
4.33381942e-01  3.88256562e+01  7447
4.45940056e-01  3.67878157e+01  7929
4.58524005e-01  3.55100483e+01  8353
4.71028302e-01  3.29590699e+01  8775
4.83582117e-01  3.18173945e+01  9313
4.96171308e-01  3.03299578e+01  9841
5.08698451e-01  2.85753628e+01  10191
5.21266850e-01  2.72247910e+01  10897
5.33851474e-01  2.61601785e+01  11301
5.46484669e-01  2.47670800e+01  12025
5.59105936e-01  2.41504894e+01  12423
5.71673258e-01  2.28358498e+01  13021
5.84175254e-01  2.20248400e+01  13405
5.96689969e-01  2.13523285e+01  14247
6.09276528e-01  2.00478300e+01  14713
