# z=1.0043 a=0.498924 mass=0.9245793759
# k [h/Mpc]  P(k) [(Mpc/h)^3]  Nmodes
1.77992824e-02  9.75054036e+03  13
3.01582443e-02  7.66924283e+03  33
4.28958037e-02  5.74054203e+03  79
5.56732155e-02  4.41078413e+03  117
6.87019957e-02  3.77753000e+03  205
8.09577352e-02  3.15835967e+03  235
9.35343337e-02  2.56231146e+03  369
1.06164502e-01  2.06582762e+03  433
1.18907249e-01  1.80073345e+03  585
1.31524496e-01  1.56834608e+03  679
1.43932658e-01  1.38642740e+03  813
1.56557218e-01  1.18854377e+03  985
1.69407979e-01  1.02355316e+03  1183
1.81937092e-01  9.25306726e+02  1269
1.94415796e-01  8.46693425e+02  1537
2.06952608e-01  7.57442686e+02  1653
2.19515289e-01  6.86268806e+02  1963
2.32108617e-01  6.45253962e+02  2121
2.44733933e-01  6.03177439e+02  2413
2.57363453e-01  5.40291020e+02  2635
2.69900160e-01  5.05892546e+02  2877
2.82389912e-01  4.63935151e+02  3169
2.95026715e-01  4.46675244e+02  3507
3.07573015e-01  4.22720337e+02  3685
3.20131509e-01  3.79569878e+02  4165
3.32798234e-01  3.71409731e+02  4377
3.45439129e-01  3.46094528e+02  4855
3.57953043e-01  3.21501482e+02  4929
3.70470738e-01  3.13286869e+02  5581
3.82961357e-01  3.01197346e+02  5679
3.95577974e-01  2.83178921e+02  6385
4.08187547e-01  2.75573267e+02  6553
4.20787861e-01  2.62174653e+02  7125
4.33381942e-01  2.50727344e+02  7447
4.45940056e-01  2.38900516e+02  7929
4.58524005e-01  2.34811165e+02  8353
4.71028302e-01  2.18442556e+02  8775
4.83582117e-01  2.11342824e+02  9313
4.96171308e-01  2.05369351e+02  9841
5.08698451e-01  1.97149637e+02  10191
5.21266850e-01  1.92512274e+02  10897
5.33851474e-01  1.83979666e+02  11301
5.46484669e-01  1.79510226e+02  12025
5.59105936e-01  1.74775440e+02  12423
5.71673258e-01  1.67155784e+02  13021
5.84175254e-01  1.63460723e+02  13405
5.96689969e-01  1.63042679e+02  14247
6.09276528e-01  1.54111199e+02  14713
6.21855825e-01  1.49658201e+02  15489
6.34433634e-01  1.47779989e+02  15913
6.47037514e-01  1.44267877e+02  16879
6.59633644e-01  1.40810311e+02  17193
6.72235286e-01  1.36980771e+02  18157
6.84740075e-01  1.35028045e+02  18339
6.97295639e-01  1.32079222e+02  19573
7.09882323e-01  1.28975653e+02  19941
7.22383387e-01  1.24038711e+02  20629
7.34953418e-01  1.22265554e+02  21655
7.47529559e-01  1.19557378e+02  22113
7.60130806e-01  1.18786734e+02  23185
7.72707972e-01  1.15489853e+02  23667
7.85228036e-01  1.13203338e+02  24385
7.97852900e-01  1.11372647e+02  25749
8.10414649e-01  1.08272031e+02  25675
8.22983296e-01  1.07790204e+02  27409
8.35562854e-01  1.04348171e+02  27405
8.48080130e-01  1.03922267e+02  28717
8.60685138e-01  1.01647096e+02  29595
8.73271712e-01  9.92172356e+01  30301
8.85799237e-01  9.69811784e+01  31101
8.98326884e-01  9.58162690e+01  32023
9.10882829e-01  9.49048904e+01  32977
9.23526894e-01  9.35314867e+01  34449
9.36128848e-01  9.10648422e+01  34549
9.48697049e-01  9.04416204e+01  36111
9.61271227e-01  8.91629820e+01  36541
9.73803852e-01  8.70564366e+01  37717
9.86339420e-01  8.66532364e+01  38619
9.98901349e-01  8.57225684e+01  39661
1.01143181e+00  8.44997470e+01  40545
1.02398480e+00  8.27218714e+01  41815
1.03662522e+00  8.13278290e+01  43125
1.04921793e+00  8.12377552e+01  43681
1.06175146e+00  7.91056826e+01  44629
1.07431471e+00  7.94894504e+01  46227
1.08691591e+00  7.72256090e+01  46909
1.09948613e+00  7.63013487e+01  48237
1.11198749e+00  7.47350151e+01  48583
1.12457094e+00  7.53435948e+01  50997
1.13720231e+00  7.37977545e+01  51397
1.14976092e+00  7.29939321e+01  52489
1.16231004e+00  7.22441402e+01  53787
1.17487890e+00  7.11989824e+01  54913
1.18743524e+00  7.05563236e+01  55977
1.19999439e+00  6.94813033e+01  57415
1.21253582e+00  6.83090556e+01  58105
1.22509392e+00  6.80227261e+01  60033
1.23769555e+00  6.71120767e+01  60949
1.25026211e+00  6.66750559e+01  62235
1.26280549e+00  6.53893944e+01  63229
1.27540071e+00  6.48164872e+01  65133
1.28797156e+00  6.45471082e+01  65707
1.30053708e+00  6.32395735e+01  67561
1.31311722e+00  6.29180471e+01  68505
1.32567386e+00  6.20573527e+01  69943
1.33823709e+00  6.16297271e+01  71097
1.35081404e+00  6.11814194e+01  73021
1.36336710e+00  6.04477417e+01  73317
1.37591851e+00  5.98340100e+01  75799
1.38846886e+00  5.91451682e+01  76021
1.40103508e+00  5.85593829e+01  78753
1.41362499e+00  5.77471113e+01  79291
1.42620380e+00  5.74320118e+01  81129
1.43878365e+00  5.72512612e+01  82441
1.45136676e+00  5.64004502e+01  83949
1.46393054e+00  5.52780149e+01  85123
1.47650160e+00  5.54698209e+01  86929
1.48905317e+00  5.49056282e+01  87789
1.50157422e+00  5.41499690e+01  89623
1.51415169e+00  5.36045793e+01  91341
1.52672825e+00  5.30046530e+01  92845
1.53929259e+00  5.29593835e+01  94087
1.55187897e+00  5.21814217e+01  96333
1.56446583e+00  5.19217649e+01  97249
1.57706299e+00  5.11865687e+01  99501
1.58957931e+00  5.09887300e+01  99283
1.60209822e+00  5.04879968e+01  102537
1.61467281e+00  5.00266227e+01  103477
1.62724590e+00  4.95870394e+01  105751
1.63983060e+00  4.94172793e+01  106869
1.65239053e+00  4.88502370e+01  108697
1.66497941e+00  4.86105442e+01  110577
1.67759186e+00  4.78338911e+01  112555
1.69012693e+00  4.76401671e+01  112593
1.70265657e+00  4.70456672e+01  115573
1.71523965e+00  4.67304696e+01  117283
1.72781170e+00  4.62903453e+01  118581
1.74036775e+00  4.58148129e+01  120625
1.75292822e+00  4.56761721e+01  121935
1.76550077e+00  4.52606577e+01  124441
1.77806655e+00  4.48340166e+01  125517
1.79061685e+00  4.46667807e+01  127357
1.80319130e+00  4.43426558e+01  129895
1.81576667e+00  4.39705622e+01  130701
1.82834882e+00  4.33997572e+01  133921
1.84092616e+00  4.32145652e+01  134187
1.85348688e+00  4.30421504e+01  137125
1.86606484e+00  4.24695646e+01  138457
1.87865316e+00  4.23127757e+01  140937
1.89119496e+00  4.16892802e+01  141367
1.90373200e+00  4.13886040e+01  144381
1.91628265e+00  4.11647090e+01  145549
1.92887019e+00  4.10770238e+01  149139
1.94147113e+00  4.05715030e+01  149641
1.95401615e+00  4.03549106e+01  151825
1.96656467e+00  3.99680399e+01  153453
1.97911394e+00  3.95458239e+01  155887
1.99169126e+00  3.94282721e+01  158121
2.00427242e+00  3.90946730e+01  159841
2.01680965e+00  3.87371984e+01  161175
2.02938830e+00  3.84021010e+01  164677
2.04198511e+00  3.82903665e+01  166057
2.05454796e+00  3.80541087e+01  167703
2.06711836e+00  3.76644422e+01  170269
2.07969511e+00  3.73406042e+01  172257
2.09225395e+00  3.71200266e+01  173653
2.10480687e+00  3.68261373e+01  176619
2.11736141e+00  3.66298491e+01  177565
2.12992867e+00  3.62931641e+01  181285
2.14251355e+00  3.61079899e+01  182547
2.15508810e+00  3.58149487e+01  184993
2.16764964e+00  3.54846459e+01  186777
2.18021605e+00  3.52705256e+01  189073
2.19277933e+00  3.49782754e+01  191491
2.20536226e+00  3.47360752e+01  193845
2.21792610e+00  3.47416732e+01  195181
2.23045086e+00  3.45587691e+01  197319
2.24300426e+00  3.41442838e+01  200233
2.25558515e+00  3.39916837e+01  203037
2.26817911e+00  3.36846516e+01  204871
2.28072810e+00  3.35222172e+01  206221
2.29327836e+00  3.33164675e+01  209529
2.30588483e+00  3.31696493e+01  212545
2.31845781e+00  3.28738138e+01  213207
2.33101744e+00  3.25730446e+01  216577
2.34358615e+00  3.25264594e+01  218193
2.35617487e+00  3.23456423e+01  222151
2.36873531e+00  3.19632729e+01  221641
2.38126928e+00  3.18073455e+01  226173
2.39382442e+00  3.16238400e+01  226981
2.40640315e+00  3.15382983e+01  231903
2.41897369e+00  3.12080581e+01  231493
2.43152780e+00  3.12009341e+01  236041
2.44409951e+00  3.10887491e+01  237231
2.45668123e+00  3.07352491e+01  240925
2.46926597e+00  3.06133927e+01  242769
2.48180449e+00  3.03406067e+01  243757
2.49434968e+00  3.01387606e+01  247983
2.50693092e+00  3.00849201e+01  250273
2.51949990e+00  2.98984264e+01  252373
2.53206429e+00  2.97620726e+01  255447
2.54463258e+00  2.95917141e+01  257089
2.55720831e+00  2.95458153e+01  261237
2.56977318e+00  2.92496584e+01  261667
2.58235084e+00  2.91045094e+01  266889
2.59493145e+00  2.89999015e+01  267049
2.60748365e+00  2.88752579e+01  270577
2.62003465e+00  2.86712575e+01  272643
2.63260290e+00  2.85642623e+01  276205
2.64517352e+00  2.84584512e+01  278169
2.65773098e+00  2.82703098e+01  280819
2.67028961e+00  2.82185550e+01  283629
2.68288103e+00  2.79755829e+01  287737
2.69546174e+00  2.79396164e+01  288229
2.70800318e+00  2.78141054e+01  291519
2.72056522e+00  2.76426952e+01  294697
2.73313137e+00  2.75592867e+01  296817
2.74570300e+00  2.75380278e+01  300739
2.75827075e+00  2.73711016e+01  301921
2.77081913e+00  2.72802587e+01  305457
2.78339728e+00  2.71754974e+01  308839
2.79596890e+00  2.71077150e+01  310641
2.80853577e+00  2.68831831e+01  314485
2.82110956e+00  2.69102681e+01  316113
2.83367567e+00  2.67246463e+01  320275
2.84623635e+00  2.67005589e+01  321109
2.85879560e+00  2.65871990e+01  326121
2.87137384e+00  2.65478625e+01  327727
2.88395424e+00  2.63972506e+01  331821
2.89650734e+00  2.63874008e+01  332497
2.90906470e+00  2.63509890e+01  337353
2.92163864e+00  2.62974698e+01  339559
2.93422073e+00  2.61864266e+01  343309
2.94678582e+00  2.62201232e+01  344757
2.95933993e+00  2.61198017e+01  348703
2.97191229e+00  2.59844041e+01  351261
2.98446722e+00  2.59893844e+01  354061
2.99700494e+00  2.59659022e+01  356115
3.00957150e+00  2.59165695e+01  361669
3.02215198e+00  2.59063507e+01  362893
3.03472327e+00  2.58366377e+01  367101
3.04729714e+00  2.58240913e+01  369439
3.05987607e+00  2.58623404e+01  373257
3.07246035e+00  2.58620045e+01  375949
3.08502144e+00  2.59083521e+01  378043
3.09756793e+00  2.58722807e+01  381117
3.11014614e+00  2.59225095e+01  386449
3.12271465e+00  2.59454732e+01  386397
3.13525824e+00  2.59061617e+01  391315
3.14782739e+00  2.59431445e+01  394305
3.16040709e+00  2.59770799e+01  398077
3.17297079e+00  2.59682333e+01  399919
3.18552003e+00  2.59919353e+01  403113
3.19809287e+00  2.61804707e+01  408229
3.21068427e+00  2.62637091e+01  410313
