# z=5.5011 a=0.153821 mass=0.9413416327
# k [h/Mpc]  P(k) [(Mpc/h)^3]  Nmodes
1.77992824e-02  1.24991383e+08  13
3.01582443e-02  1.24975830e+08  33
4.28958037e-02  1.24951250e+08  79
5.56732155e-02  1.24918183e+08  117
6.87019957e-02  1.24875437e+08  205
8.09577352e-02  1.24827346e+08  235
9.35343337e-02  1.24769556e+08  369
1.06164502e-01  1.24703339e+08  433
1.18907249e-01  1.24627933e+08  585
1.31524496e-01  1.24545024e+08  679
1.43932658e-01  1.24455360e+08  813
1.56557218e-01  1.24355864e+08  985
1.69407979e-01  1.24246050e+08  1183
1.81937092e-01  1.24130819e+08  1269
1.94415796e-01  1.24007894e+08  1537
2.06952608e-01  1.23876354e+08  1653
2.19515289e-01  1.23736333e+08  1963
2.32108617e-01  1.23587897e+08  2121
2.44733933e-01  1.23430887e+08  2413
2.57363453e-01  1.23265693e+08  2635
2.69900160e-01  1.23093656e+08  2877
2.82389912e-01  1.22914338e+08  3169
2.95026715e-01  1.22724861e+08  3507
3.07573015e-01  1.22528803e+08  3685
3.20131509e-01  1.22324567e+08  4165
3.32798234e-01  1.22110629e+08  4377
3.45439129e-01  1.21889135e+08  4855
3.57953043e-01  1.21662088e+08  4929
3.70470738e-01  1.21427176e+08  5581
3.82961357e-01  1.21185137e+08  5679
3.95577974e-01  1.20932863e+08  6385
4.08187547e-01  1.20673005e+08  6553
4.20787861e-01  1.20405621e+08  7125
4.33381942e-01  1.20130759e+08  7447
4.45940056e-01  1.19849081e+08  7929
4.58524005e-01  1.19559303e+08  8353
4.71028302e-01  1.19263896e+08  8775
4.83582117e-01  1.18959920e+08  9313
4.96171308e-01  1.18647700e+08  9841
5.08698451e-01  1.18329669e+08  10191
5.21266850e-01  1.18003337e+08  10897
5.33851474e-01  1.17669313e+08  11301
5.46484669e-01  1.17326676e+08  12025
5.59105936e-01  1.16977226e+08  12423
5.71673258e-01  1.16622158e+08  13021
5.84175254e-01  1.16261911e+08  13405
5.96689969e-01  1.15894388e+08  14247
6.09276528e-01  1.15517849e+08  14713
6.21855825e-01  1.15134631e+08  15489
6.34433634e-01  1.14744556e+08  15913
6.47037514e-01  1.14346942e+08  16879
6.59633644e-01  1.13942853e+08  17193
