# z=1.5015 a=0.399764 mass=0.9263394990
# k [h/Mpc]  P(k) [(Mpc/h)^3]  Nmodes
1.77992824e-02  1.24989789e+08  13
3.01582443e-02  1.24971447e+08  33
4.28958037e-02  1.24942465e+08  79
5.56732155e-02  1.24903486e+08  117
6.87019957e-02  1.24853094e+08  205
8.09577352e-02  1.24796405e+08  235
9.35343337e-02  1.24728284e+08  369
1.06164502e-01  1.24650239e+08  433
1.18907249e-01  1.24561370e+08  585
1.31524496e-01  1.24463665e+08  679
1.43932658e-01  1.24358015e+08  813
1.56557218e-01  1.24240791e+08  985
1.69407979e-01  1.24111425e+08  1183
1.81937092e-01  1.23975696e+08  1269
1.94415796e-01  1.23830928e+08  1537
2.06952608e-01  1.23676037e+08  1653
2.19515289e-01  1.23511184e+08  1963
2.32108617e-01  1.23336456e+08  2121
2.44733933e-01  1.23151669e+08  2413
2.57363453e-01  1.22957288e+08  2635
2.69900160e-01  1.22754891e+08  2877
2.82389912e-01  1.22543981e+08  3169
2.95026715e-01  1.22321169e+08  3507
3.07573015e-01  1.22090674e+08  3685
3.20131509e-01  1.21850618e+08  4165
3.32798234e-01  1.21599225e+08  4377
3.45439129e-01  1.21339028e+08  4855
3.57953043e-01  1.21072368e+08  4929
3.70470738e-01  1.20796565e+08  5581
3.82961357e-01  1.20512461e+08  5679
3.95577974e-01  1.20216451e+08  6385
4.08187547e-01  1.19911619e+08  6553
4.20787861e-01  1.19598071e+08  7125
4.33381942e-01  1.19275868e+08  7447
4.45940056e-01  1.18945781e+08  7929
4.58524005e-01  1.18606331e+08  8353
4.71028302e-01  1.18260397e+08  8775
4.83582117e-01  1.17904573e+08  9313
4.96171308e-01  1.17539253e+08  9841
5.08698451e-01  1.17167252e+08  10191
5.21266850e-01  1.16785733e+08  10897
5.33851474e-01  1.16395371e+08  11301
5.46484669e-01  1.15995086e+08  12025
5.59105936e-01  1.15587058e+08  12423
5.71673258e-01  1.15172662e+08  13021
5.84175254e-01  1.14752384e+08  13405
5.96689969e-01  1.14323841e+08  14247
6.09276528e-01  1.13885002e+08  14713
