# z=0.0000 a=1.000000 mass=0.9218906384
# k [h/Mpc]  P(k) [(Mpc/h)^3]  Nmodes
1.77992824e-02  1.24989153e+08  13
3.01582443e-02  1.24969584e+08  33
4.28958037e-02  1.24938652e+08  79
5.56732155e-02  1.24897044e+08  117
6.87019957e-02  1.24843260e+08  205
8.09577352e-02  1.24782760e+08  235
9.35343337e-02  1.24710061e+08  369
1.06164502e-01  1.24626769e+08  433
1.18907249e-01  1.24531932e+08  585
1.31524496e-01  1.24427668e+08  679
1.43932658e-01  1.24314931e+08  813
1.56557218e-01  1.24189850e+08  985
1.69407979e-01  1.24051824e+08  1183
1.81937092e-01  1.23907016e+08  1269
1.94415796e-01  1.23752573e+08  1537
2.06952608e-01  1.23587341e+08  1653
2.19515289e-01  1.23411497e+08  1963
2.32108617e-01  1.23225131e+08  2121
2.44733933e-01  1.23028053e+08  2413
2.57363453e-01  1.22820760e+08  2635
2.69900160e-01  1.22604937e+08  2877
2.82389912e-01  1.22380059e+08  3169
2.95026715e-01  1.22142513e+08  3507
3.07573015e-01  1.21896800e+08  3685
3.20131509e-01  1.21640923e+08  4165
3.32798234e-01  1.21372991e+08  4377
3.45439129e-01  1.21095709e+08  4855
3.57953043e-01  1.20811572e+08  4929
3.70470738e-01  1.20517730e+08  5581
3.82961357e-01  1.20215083e+08  5679
3.95577974e-01  1.19899795e+08  6385
4.08187547e-01  1.19575155e+08  6553
4.20787861e-01  1.19241278e+08  7125
4.33381942e-01  1.18898238e+08  7447
4.45940056e-01  1.18546856e+08  7929
4.58524005e-01  1.18185563e+08  8353
4.71028302e-01  1.17817427e+08  8775
4.83582117e-01  1.17438829e+08  9313
4.96171308e-01  1.17050192e+08  9841
5.08698451e-01  1.16654518e+08  10191
5.21266850e-01  1.16248791e+08  10897
5.33851474e-01  1.15833735e+08  11301
5.46484669e-01  1.15408210e+08  12025
5.59105936e-01  1.14974536e+08  12423
5.71673258e-01  1.14534181e+08  13021
5.84175254e-01  1.14087664e+08  13405
5.96689969e-01  1.13632460e+08  14247
6.09276528e-01  1.13166418e+08  14713
6.21855825e-01  1.12692450e+08  15489
6.34433634e-01  1.12210295e+08  15913
6.47037514e-01  1.11719236e+08  16879
6.59633644e-01  1.11220547e+08  17193
6.72235286e-01  1.10713938e+08  18157
6.84740075e-01  1.10203306e+08  18339
6.97295639e-01  1.09683104e+08  19573
7.09882323e-01  1.09154249e+08  19941
7.22383387e-01  1.08621239e+08  20629
7.34953418e-01  1.08078634e+08  21655
7.47529559e-01  1.07527953e+08  22113
7.60130806e-01  1.06969545e+08  23185
7.72707972e-01  1.06404742e+08  23667
7.85228036e-01  1.05835903e+08  24385
7.97852900e-01  1.05255409e+08  25749
8.10414649e-01  1.04671202e+08  25675
8.22983296e-01  1.04080216e+08  27409
8.35562854e-01  1.03481908e+08  27405
8.48080130e-01  1.02880657e+08  28717
8.60685138e-01  1.02268786e+08  29595
8.73271712e-01  1.01651486e+08  30301
8.85799237e-01  1.01031410e+08  31101
8.98326884e-01  1.00405807e+08  32023
9.10882829e-01  9.97722600e+07  32977
9.23526894e-01  9.91288748e+07  34449
9.36128848e-01  9.84821626e+07  34549
9.48697049e-01  9.78320557e+07  36111
9.61271227e-01  9.71756839e+07  36541
9.73803852e-01  9.65168071e+07  37717
9.86339420e-01  9.58531548e+07  38619
9.98901349e-01  9.51824164e+07  39661
1.01143181e+00  9.45088718e+07  40545
1.02398480e+00  9.38293013e+07  41815
1.03662522e+00  9.31410121e+07  43125
1.04921793e+00  9.24503582e+07  43681
1.06175146e+00  9.17590298e+07  44629
1.07431471e+00  9.10615365e+07  46227
1.08691591e+00  9.03579473e+07  46909
1.09948613e+00  8.96526619e+07  48237
1.11198749e+00  8.89464736e+07  48583
1.12457094e+00  8.82331924e+07  50997
1.13720231e+00  8.75133375e+07  51397
1.14976092e+00  8.67937051e+07  52489
1.16231004e+00  8.60712789e+07  53787
1.17487890e+00  8.53453593e+07  54913
1.18743524e+00  8.46169910e+07  55977
1.19999439e+00  8.38850314e+07  57415
1.21253582e+00  8.31519834e+07  58105
1.22509392e+00  8.24155510e+07  60033
1.23769555e+00  8.16730937e+07  60949
1.25026211e+00  8.09307667e+07  62235
1.26280549e+00  8.01881544e+07  63229
1.27540071e+00  7.94402462e+07  65133
1.28797156e+00  7.86913994e+07  65707
1.30053708e+00  7.79407707e+07  67561
1.31311722e+00  7.71888592e+07  68505
1.32567386e+00  7.64354939e+07  69943
1.33823709e+00  7.56810480e+07  71097
1.35081404e+00  7.49240014e+07  73021
1.36336710e+00  7.41675194e+07  73317
1.37591851e+00  7.34109819e+07  75799
1.38846886e+00  7.26519076e+07  76021
1.40103508e+00  7.18916293e+07  78753
1.41362499e+00  7.11303194e+07  79291
1.42620380e+00  7.03682587e+07  81129
1.43878365e+00  6.96060950e+07  82441
1.45136676e+00  6.88424511e+07  83949
1.46393054e+00  6.80823827e+07  85123
1.47650160e+00  6.73190671e+07  86929
1.48905317e+00  6.65586289e+07  87789
1.50157422e+00  6.57993987e+07  89623
1.51415169e+00  6.50389937e+07  91341
1.52672825e+00  6.42771211e+07  92845
1.53929259e+00  6.35168889e+07  94087
1.55187897e+00  6.27573755e+07  96333
1.56446583e+00  6.19969095e+07  97249
1.57706299e+00  6.12388194e+07  99501
1.58957931e+00  6.04855374e+07  99283
1.60209822e+00  5.97340248e+07  102537
1.61467281e+00  5.89797283e+07  103477
1.62724590e+00  5.82276499e+07  105751
1.63983060e+00  5.74754691e+07  106869
1.65239053e+00  5.67289969e+07  108697
1.66497941e+00  5.59793685e+07  110577
1.67759186e+00  5.52328693e+07  112555
1.69012693e+00  5.44917914e+07  112593
1.70265657e+00  5.37543540e+07  115573
1.71523965e+00  5.30144180e+07  117283
1.72781170e+00  5.22787098e+07  118581
1.74036775e+00  5.15468441e+07  120625
1.75292822e+00  5.08166367e+07  121935
1.76550077e+00  5.00890052e+07  124441
1.77806655e+00  4.93632936e+07  125517
1.79061685e+00  4.86437333e+07  127357
1.80319130e+00  4.79247038e+07  129895
1.81576667e+00  4.72074689e+07  130701
1.82834882e+00  4.64959981e+07  133921
1.84092616e+00  4.57859512e+07  134187
1.85348688e+00  4.50816570e+07  137125
1.86606484e+00  4.43789860e+07  138457
1.87865316e+00  4.36798832e+07  140937
1.89119496e+00  4.29878392e+07  141367
1.90373200e+00  4.22993137e+07  144381
1.91628265e+00  4.16140837e+07  145549
1.92887019e+00  4.09309771e+07  149139
1.94147113e+00  4.02513182e+07  149641
1.95401615e+00  3.95786804e+07  151825
1.96656467e+00  3.89113621e+07  153453
1.97911394e+00  3.82467751e+07  155887
1.99169126e+00  3.75866896e+07  158121
2.00427242e+00  3.69304225e+07  159841
2.01680965e+00  3.62816941e+07  161175
2.02938830e+00  3.56339511e+07  164677
2.04198511e+00  3.49924774e+07  166057
2.05454796e+00  3.43553614e+07  167703
2.06711836e+00  3.37252975e+07  170269
2.07969511e+00  3.30985919e+07  172257
2.09225395e+00  3.24777057e+07  173653
2.10480687e+00  3.18633848e+07  176619
2.11736141e+00  3.12542889e+07  177565
2.12992867e+00  3.06493073e+07  181285
2.14251355e+00  3.00476884e+07  182547
2.15508810e+00  2.94554312e+07  184993
2.16764964e+00  2.88673727e+07  186777
2.18021605e+00  2.82838980e+07  189073
2.19277933e+00  2.77072923e+07  191491
2.20536226e+00  2.71360599e+07  193845
2.21792610e+00  2.65715111e+07  195181
2.23045086e+00  2.60136125e+07  197319
2.24300426e+00  2.54607582e+07  200233
2.25558515e+00  2.49131771e+07  203037
2.26817911e+00  2.43700321e+07  204871
2.28072810e+00  2.38367948e+07  206221
2.29327836e+00  2.33071294e+07  209529
2.30588483e+00  2.27833328e+07  212545
2.31845781e+00  2.22663819e+07  213207
2.33101744e+00  2.17562449e+07  216577
2.34358615e+00  2.12516690e+07  218193
2.35617487e+00  2.07534829e+07  222151
2.36873531e+00  2.02625319e+07  221641
2.38126928e+00  1.97786269e+07  226173
2.39382442e+00  1.93009138e+07  226981
2.40640315e+00  1.88284594e+07  231903
2.41897369e+00  1.83619863e+07  231493
2.43152780e+00  1.79036881e+07  236041
2.44409951e+00  1.74513983e+07  237231
2.45668123e+00  1.70046613e+07  240925
2.46926597e+00  1.65651663e+07  242769
2.48180449e+00  1.61322498e+07  243757
2.49434968e+00  1.57088169e+07  247983
2.50693092e+00  1.52867720e+07  250273
2.51949990e+00  1.48751573e+07  252373
2.53206429e+00  1.44692566e+07  255447
2.54463258e+00  1.40697290e+07  257089
2.55720831e+00  1.36765911e+07  261237
2.56977318e+00  1.32889564e+07  261667
2.58235084e+00  1.29109490e+07  266889
2.59493145e+00  1.25372481e+07  267049
2.60748365e+00  1.21720458e+07  270577
2.62003465e+00  1.18125368e+07  272643
2.63260290e+00  1.14606855e+07  276205
2.64517352e+00  1.11144492e+07  278169
2.65773098e+00  1.07746858e+07  280819
2.67028961e+00  1.04420444e+07  283629
2.68288103e+00  1.01166513e+07  287737
2.69546174e+00  9.79654080e+06  288229
2.70800318e+00  9.48402773e+06  291519
2.72056522e+00  9.17864427e+06  294697
2.73313137e+00  8.87933066e+06  296817
2.74570300e+00  8.58684629e+06  300739
2.75827075e+00  8.29856938e+06  301921
2.77081913e+00  8.02121941e+06  305457
2.78339728e+00  7.74765522e+06  308839
2.79596890e+00  7.48007460e+06  310641
2.80853577e+00  7.22017634e+06  314485
2.82110956e+00  6.96672112e+06  316113
2.83367567e+00  6.71961285e+06  320275
2.84623635e+00  6.47845661e+06  321109
2.85879560e+00  6.24507207e+06  326121
2.87137384e+00  6.01577648e+06  327727
2.88395424e+00  5.79515670e+06  331821
2.89650734e+00  5.57869428e+06  332497
2.90906470e+00  5.37034281e+06  337353
2.92163864e+00  5.16762877e+06  339559
2.93422073e+00  4.97097993e+06  343309
2.94678582e+00  4.78080388e+06  344757
2.95933993e+00  4.59536890e+06  348703
2.97191229e+00  4.41842543e+06  351261
2.98446722e+00  4.24626655e+06  354061
2.99700494e+00  4.08105254e+06  356115
3.00957150e+00  3.92216210e+06  361669
3.02215198e+00  3.76764163e+06  362893
3.03472327e+00  3.61877255e+06  367101
3.04729714e+00  3.47755121e+06  369439
3.05987607e+00  3.34056819e+06  373257
3.07246035e+00  3.21194084e+06  375949
3.08502144e+00  3.08650103e+06  378043
3.09756793e+00  2.96903520e+06  381117
3.11014614e+00  2.85640664e+06  386449
3.12271465e+00  2.74938930e+06  386397
3.13525824e+00  2.64988841e+06  391315
3.14782739e+00  2.55314671e+06  394305
3.16040709e+00  2.46622100e+06  398077
3.17297079e+00  2.38027966e+06  399919
3.18552003e+00  2.30274291e+06  403113
3.19809287e+00  2.23151920e+06  408229
3.21068427e+00  2.16224058e+06  410313
3.22323954e+00  2.11358836e+06  410275
3.23579434e+00  2.07227715e+06  409302
3.24836542e+00  2.03967281e+06  407782
3.26092816e+00  2.00960610e+06  405898
3.27349649e+00  1.98331362e+06  404322
3.28606028e+00  1.96254114e+06  402628
3.29861616e+00  1.94498011e+06  399792
3.31118450e+00  1.93598473e+06  400264
3.32375655e+00  1.92605901e+06  396336
3.33633648e+00  1.92104240e+06  396964
3.34889912e+00  1.92175748e+06  391834
3.36144277e+00  1.92593125e+06  391704
3.37402431e+00  1.93561578e+06  390736
3.38661496e+00  1.94658275e+06  388266
3.39916129e+00  1.96413569e+06  383920
3.41172359e+00  1.98493938e+06  385612
3.42430345e+00  2.00710584e+06  380790
3.43687077e+00  2.03630053e+06  380950
3.44943689e+00  2.06897520e+06  376536
3.46198984e+00  2.10495196e+06  375850
3.47457272e+00  2.14268143e+06  374580
3.48713261e+00  2.18576712e+06  369724
3.49967202e+00  2.23252329e+06  369454
3.51224656e+00  2.28313375e+06  367290
3.52482123e+00  2.33632249e+06  364912
3.53738716e+00  2.39191345e+06  362736
3.54995350e+00  2.45436109e+06  359926
3.56252724e+00  2.51866087e+06  359118
3.57509150e+00  2.58219830e+06  354340
3.58765458e+00  2.65582876e+06  354730
3.60021544e+00  2.72756425e+06  349482
3.61278183e+00  2.80640954e+06  349990
3.62534903e+00  2.88416549e+06  345150
3.63790727e+00  2.96693595e+06  344170
3.65047701e+00  3.05579672e+06  341434
3.66304737e+00  3.13875323e+06  338850
3.67562082e+00  3.23677909e+06  336604
3.68819285e+00  3.32775662e+06  333960
3.70075384e+00  3.42779198e+06  330760
3.71332149e+00  3.52640897e+06  329190
3.72588720e+00  3.62687231e+06  325372
3.73844410e+00  3.73960447e+06  323614
3.75101563e+00  3.84123285e+06  320874
3.76358999e+00  3.95472184e+06  318076
3.77615563e+00  4.06815227e+06  315366
3.78870489e+00  4.18275191e+06  311662
3.80127594e+00  4.30428490e+06  311028
3.81385667e+00  4.41848434e+06  306496
3.82640443e+00  4.55062347e+06  303694
3.83896447e+00  4.67199002e+06  301908
3.85154021e+00  4.79831087e+06  298156
3.86412982e+00  4.93115706e+06  297204
3.87668142e+00  5.05656239e+06  290380
3.88921657e+00  5.20036101e+06  290634
3.90179372e+00  5.32806218e+06  286594
3.91437624e+00  5.46843722e+06  284398
3.92695018e+00  5.61542990e+06  280884
3.93951066e+00  5.74747522e+06  277246
3.95208275e+00  5.89811777e+06  275466
3.96466521e+00  6.03865541e+06  271528
3.97722344e+00  6.19601062e+06  268048
3.98977586e+00  6.33263459e+06  265458
4.00234608e+00  6.48633541e+06  261892
4.01490524e+00  6.64709943e+06  259134
4.02745444e+00  6.78655120e+06  254926
4.04002216e+00  6.95521299e+06  253314
4.05260811e+00  7.10161852e+06  249346
4.06517472e+00  7.26371990e+06  245680
4.07772201e+00  7.42550318e+06  242442
4.09028980e+00  7.56666654e+06  239386
4.10287367e+00  7.75044299e+06  236544
4.11544764e+00  7.89936520e+06  232294
4.12800893e+00  8.06698902e+06  229044
