# z=4.0137 a=0.199452 mass=0.9360349809
# k [h/Mpc]  P(k) [(Mpc/h)^3]  Nmodes
1.77992824e-02  1.64061781e+03  13
3.01582443e-02  1.31572207e+03  33
4.28958037e-02  9.74032696e+02  79
5.56732155e-02  7.68542498e+02  117
6.87019957e-02  6.57211967e+02  205
8.09577352e-02  5.47138338e+02  235
9.35343337e-02  4.33468062e+02  369
1.06164502e-01  3.45325810e+02  433
1.18907249e-01  3.02002411e+02  585
1.31524496e-01  2.67184824e+02  679
1.43932658e-01  2.31118754e+02  813
1.56557218e-01  1.93530219e+02  985
1.69407979e-01  1.65262611e+02  1183
1.81937092e-01  1.51198573e+02  1269
1.94415796e-01  1.36520486e+02  1537
2.06952608e-01  1.21215962e+02  1653
2.19515289e-01  1.07034899e+02  1963
2.32108617e-01  9.87147649e+01  2121
2.44733933e-01  9.12050339e+01  2413
2.57363453e-01  8.21533391e+01  2635
2.69900160e-01  7.44383895e+01  2877
2.82389912e-01  6.84831798e+01  3169
2.95026715e-01  6.33970185e+01  3507
3.07573015e-01  5.96525470e+01  3685
3.20131509e-01  5.37636055e+01  4165
3.32798234e-01  5.13060786e+01  4377
3.45439129e-01  4.68098131e+01  4855
3.57953043e-01  4.34213216e+01  4929
3.70470738e-01  4.16313913e+01  5581
3.82961357e-01  3.97714733e+01  5679
3.95577974e-01  3.61555682e+01  6385
4.08187547e-01  3.43613060e+01  6553
4.20787861e-01  3.25864939e+01  7125
4.33381942e-01  3.06756874e+01  7447
4.45940056e-01  2.90422607e+01  7929
4.58524005e-01  2.79595620e+01  8353
4.71028302e-01  2.59738817e+01  8775
4.83582117e-01  2.50300171e+01  9313
4.96171308e-01  2.37914477e+01  9841
5.08698451e-01  2.24244420e+01  10191
5.21266850e-01  2.13535061e+01  10897
5.33851474e-01  2.04704322e+01  11301
5.46484669e-01  1.93697008e+01  12025
5.59105936e-01  1.88458154e+01  12423
5.71673258e-01  1.78697235e+01  13021
5.84175254e-01  1.71737307e+01  13405
5.96689969e-01  1.66153188e+01  14247
6.09276528e-01  1.56121955e+01  14713
6.21855825e-01  1.52943031e+01  15489
6.34433634e-01  1.45162264e+01  15913
6.47037514e-01  1.41115424e+01  16879
6.59633644e-01  1.34179773e+01  17193
6.72235286e-01  1.33130656e+01  18157
6.84740075e-01  1.26321286e+01  18339
6.97295639e-01  1.23271508e+01  19573
7.09882323e-01  1.19050915e+01  19941
7.22383387e-01  1.12182327e+01  20629
7.34953418e-01  1.08826367e+01  21655
7.47529559e-01  1.05934800e+01  22113
7.60130806e-01  1.05015054e+01  23185
7.72707972e-01  1.00009968e+01  23667
7.85228036e-01  9.68961131e+00  24385
7.97852900e-01  9.40421722e+00  25749
8.10414649e-01  9.10513403e+00  25675
8.22983296e-01  8.83288044e+00  27409
8.35562854e-01  8.57998528e+00  27405
8.48080130e-01  8.28890235e+00  28717
8.60685138e-01  8.19193957e+00  29595
8.73271712e-01  7.95268013e+00  30301
8.85799237e-01  7.72384196e+00  31101
8.98326884e-01  7.49934660e+00  32023
9.10882829e-01  7.22949463e+00  32977
9.23526894e-01  7.10887123e+00  34449
9.36128848e-01  6.93467151e+00  34549
9.48697049e-01  6.74401485e+00  36111
9.61271227e-01  6.61034432e+00  36541
9.73803852e-01  6.42922658e+00  37717
9.86339420e-01  6.20540223e+00  38619
9.98901349e-01  6.05984930e+00  39661
1.01143181e+00  5.96030560e+00  40545
1.02398480e+00  5.86021571e+00  41815
1.03662522e+00  5.70783442e+00  43125
1.04921793e+00  5.61508265e+00  43681
1.06175146e+00  5.48092286e+00  44629
1.07431471e+00  5.32960304e+00  46227
1.08691591e+00  5.22905888e+00  46909
1.09948613e+00  5.10395674e+00  48237
1.11198749e+00  4.96229067e+00  48583
1.12457094e+00  4.83296674e+00  50997
1.13720231e+00  4.75667987e+00  51397
1.14976092e+00  4.68710546e+00  52489
1.16231004e+00  4.60268908e+00  53787
1.17487890e+00  4.52124100e+00  54913
1.18743524e+00  4.40017237e+00  55977
1.19999439e+00  4.30487470e+00  57415
1.21253582e+00  4.21909175e+00  58105
1.22509392e+00  4.12882114e+00  60033
1.23769555e+00  4.08624118e+00  60949
1.25026211e+00  3.98313857e+00  62235
1.26280549e+00  3.93790607e+00  63229
1.27540071e+00  3.87297543e+00  65133
1.28797156e+00  3.77524734e+00  65707
1.30053708e+00  3.72371043e+00  67561
1.31311722e+00  3.66177632e+00  68505
1.32567386e+00  3.60381184e+00  69943
1.33823709e+00  3.52205306e+00  71097
1.35081404e+00  3.45973414e+00  73021
1.36336710e+00  3.42700491e+00  73317
1.37591851e+00  3.37719683e+00  75799
1.38846886e+00  3.29258142e+00  76021
1.40103508e+00  3.24307056e+00  78753
1.41362499e+00  3.21487945e+00  79291
1.42620380e+00  3.15126704e+00  81129
