# z=0.4992 a=0.667006 mass=0.9230726604
# k [h/Mpc]  P(k) [(Mpc/h)^3]  Nmodes
1.77992824e-02  1.57983679e+04  13
3.01582443e-02  1.23066756e+04  33
4.28958037e-02  9.25480795e+03  79
5.56732155e-02  7.01770195e+03  117
6.87019957e-02  6.01661345e+03  205
8.09577352e-02  5.04183770e+03  235
9.35343337e-02  4.12889297e+03  369
1.06164502e-01  3.36191371e+03  433
1.18907249e-01  2.91800281e+03  585
1.31524496e-01  2.53111201e+03  679
1.43932658e-01  2.26041266e+03  813
1.56557218e-01  1.96790794e+03  985
1.69407979e-01  1.70494692e+03  1183
1.81937092e-01  1.52489694e+03  1269
1.94415796e-01  1.41837636e+03  1537
2.06952608e-01  1.27186663e+03  1653
2.19515289e-01  1.16442247e+03  1963
2.32108617e-01  1.09285760e+03  2121
2.44733933e-01  1.03142342e+03  2413
2.57363453e-01  9.23015823e+02  2635
2.69900160e-01  8.85434084e+02  2877
2.82389912e-01  8.04384897e+02  3169
2.95026715e-01  7.90141366e+02  3507
3.07573015e-01  7.46492294e+02  3685
3.20131509e-01  6.81603099e+02  4165
3.32798234e-01  6.65517674e+02  4377
3.45439129e-01  6.22888491e+02  4855
3.57953043e-01  5.81005241e+02  4929
3.70470738e-01  5.67183823e+02  5581
3.82961357e-01  5.49236297e+02  5679
3.95577974e-01  5.20421332e+02  6385
4.08187547e-01  5.08566312e+02  6553
4.20787861e-01  4.84882074e+02  7125
4.33381942e-01  4.70884626e+02  7447
4.45940056e-01  4.49924337e+02  7929
4.58524005e-01  4.45415657e+02  8353
4.71028302e-01  4.18146609e+02  8775
4.83582117e-01  4.04625602e+02  9313
4.96171308e-01  3.92201121e+02  9841
5.08698451e-01  3.80897789e+02  10191
5.21266850e-01  3.75003625e+02  10897
5.33851474e-01  3.59457497e+02  11301
5.46484669e-01  3.50173168e+02  12025
5.59105936e-01  3.43168036e+02  12423
5.71673258e-01  3.31710971e+02  13021
5.84175254e-01  3.21622067e+02  13405
5.96689969e-01  3.20108977e+02  14247
6.09276528e-01  3.08628619e+02  14713
6.21855825e-01  2.97642503e+02  15489
6.34433634e-01  2.95808920e+02  15913
6.47037514e-01  2.92555009e+02  16879
6.59633644e-01  2.83570792e+02  17193
6.72235286e-01  2.75994574e+02  18157
6.84740075e-01  2.73802443e+02  18339
6.97295639e-01  2.71241021e+02  19573
7.09882323e-01  2.64501912e+02  19941
7.22383387e-01  2.57964156e+02  20629
7.34953418e-01  2.52776567e+02  21655
7.47529559e-01  2.48298562e+02  22113
7.60130806e-01  2.46175383e+02  23185
7.72707972e-01  2.41581318e+02  23667
7.85228036e-01  2.34740631e+02  24385
7.97852900e-01  2.31992469e+02  25749
8.10414649e-01  2.27580936e+02  25675
8.22983296e-01  2.25996961e+02  27409
8.35562854e-01  2.19687168e+02  27405
8.48080130e-01  2.18834329e+02  28717
8.60685138e-01  2.15564806e+02  29595
8.73271712e-01  2.13017037e+02  30301
8.85799237e-01  2.07955967e+02  31101
8.98326884e-01  2.04959682e+02  32023
9.10882829e-01  2.03641366e+02  32977
9.23526894e-01  1.98627104e+02  34449
9.36128848e-01  1.95306301e+02  34549
9.48697049e-01  1.92972288e+02  36111
9.61271227e-01  1.91830124e+02  36541
9.73803852e-01  1.87119554e+02  37717
9.86339420e-01  1.86262713e+02  38619
9.98901349e-01  1.83435079e+02  39661
1.01143181e+00  1.82629707e+02  40545
1.02398480e+00  1.78394711e+02  41815
1.03662522e+00  1.74797391e+02  43125
1.04921793e+00  1.76007467e+02  43681
1.06175146e+00  1.71631500e+02  44629
1.07431471e+00  1.72112789e+02  46227
1.08691591e+00  1.68942579e+02  46909
1.09948613e+00  1.66358838e+02  48237
1.11198749e+00  1.63371088e+02  48583
1.12457094e+00  1.62785326e+02  50997
1.13720231e+00  1.60371522e+02  51397
1.14976092e+00  1.59150076e+02  52489
1.16231004e+00  1.56696983e+02  53787
1.17487890e+00  1.55321494e+02  54913
1.18743524e+00  1.53919572e+02  55977
1.19999439e+00  1.52499138e+02  57415
1.21253582e+00  1.50828726e+02  58105
1.22509392e+00  1.49248860e+02  60033
1.23769555e+00  1.45708685e+02  60949
1.25026211e+00  1.45138695e+02  62235
1.26280549e+00  1.42858250e+02  63229
1.27540071e+00  1.42319524e+02  65133
1.28797156e+00  1.40408563e+02  65707
1.30053708e+00  1.38458128e+02  67561
1.31311722e+00  1.37409874e+02  68505
1.32567386e+00  1.36490513e+02  69943
1.33823709e+00  1.35255108e+02  71097
1.35081404e+00  1.33735065e+02  73021
1.36336710e+00  1.31518597e+02  73317
1.37591851e+00  1.31773750e+02  75799
1.38846886e+00  1.29486787e+02  76021
1.40103508e+00  1.27524178e+02  78753
1.41362499e+00  1.26548017e+02  79291
1.42620380e+00  1.26153203e+02  81129
1.43878365e+00  1.24842719e+02  82441
1.45136676e+00  1.22673991e+02  83949
1.46393054e+00  1.21212920e+02  85123
1.47650160e+00  1.21102778e+02  86929
1.48905317e+00  1.18768172e+02  87789
1.50157422e+00  1.18357192e+02  89623
1.51415169e+00  1.17972565e+02  91341
1.52672825e+00  1.15405244e+02  92845
1.53929259e+00  1.15237766e+02  94087
1.55187897e+00  1.14582556e+02  96333
1.56446583e+00  1.12789201e+02  97249
1.57706299e+00  1.11845581e+02  99501
1.58957931e+00  1.10762516e+02  99283
1.60209822e+00  1.09733762e+02  102537
1.61467281e+00  1.08766962e+02  103477
1.62724590e+00  1.07758982e+02  105751
1.63983060e+00  1.06255832e+02  106869
1.65239053e+00  1.06027674e+02  108697
1.66497941e+00  1.04788028e+02  110577
1.67759186e+00  1.03736371e+02  112555
1.69012693e+00  1.03241925e+02  112593
1.70265657e+00  1.02134891e+02  115573
1.71523965e+00  1.00596592e+02  117283
1.72781170e+00  9.99262737e+01  118581
1.74036775e+00  9.90606832e+01  120625
1.75292822e+00  9.80145321e+01  121935
1.76550077e+00  9.76799206e+01  124441
1.77806655e+00  9.65874341e+01  125517
1.79061685e+00  9.60850229e+01  127357
1.80319130e+00  9.50581531e+01  129895
1.81576667e+00  9.39584881e+01  130701
1.82834882e+00  9.33408398e+01  133921
1.84092616e+00  9.22651322e+01  134187
1.85348688e+00  9.14902872e+01  137125
1.86606484e+00  9.08655971e+01  138457
1.87865316e+00  8.98264401e+01  140937
1.89119496e+00  8.87329919e+01  141367
1.90373200e+00  8.85762426e+01  144381
1.91628265e+00  8.81106006e+01  145549
1.92887019e+00  8.71483813e+01  149139
1.94147113e+00  8.69556897e+01  149641
1.95401615e+00  8.54892079e+01  151825
1.96656467e+00  8.50398157e+01  153453
1.97911394e+00  8.45707122e+01  155887
1.99169126e+00  8.35813267e+01  158121
2.00427242e+00  8.31162227e+01  159841
2.01680965e+00  8.28175155e+01  161175
2.02938830e+00  8.18094527e+01  164677
2.04198511e+00  8.11066438e+01  166057
2.05454796e+00  8.06505598e+01  167703
2.06711836e+00  7.99862876e+01  170269
2.07969511e+00  7.91176631e+01  172257
2.09225395e+00  7.86730187e+01  173653
2.10480687e+00  7.77788258e+01  176619
2.11736141e+00  7.75440037e+01  177565
2.12992867e+00  7.65780930e+01  181285
2.14251355e+00  7.62737074e+01  182547
2.15508810e+00  7.56325134e+01  184993
2.16764964e+00  7.49403817e+01  186777
2.18021605e+00  7.39182071e+01  189073
2.19277933e+00  7.37487471e+01  191491
2.20536226e+00  7.33541227e+01  193845
2.21792610e+00  7.24802905e+01  195181
2.23045086e+00  7.20431753e+01  197319
2.24300426e+00  7.15116604e+01  200233
2.25558515e+00  7.09703043e+01  203037
2.26817911e+00  7.06725629e+01  204871
2.28072810e+00  7.01803137e+01  206221
2.29327836e+00  6.96489893e+01  209529
2.30588483e+00  6.90195388e+01  212545
2.31845781e+00  6.85037380e+01  213207
2.33101744e+00  6.80705260e+01  216577
2.34358615e+00  6.75881248e+01  218193
2.35617487e+00  6.71586976e+01  222151
2.36873531e+00  6.64813001e+01  221641
2.38126928e+00  6.64099952e+01  226173
2.39382442e+00  6.56304436e+01  226981
2.40640315e+00  6.54349297e+01  231903
2.41897369e+00  6.49263793e+01  231493
2.43152780e+00  6.42982540e+01  236041
2.44409951e+00  6.38409175e+01  237231
2.45668123e+00  6.36115745e+01  240925
