# z=0.0000 a=1.000000 mass=0.9218983724
# k [h/Mpc]  P(k) [(Mpc/h)^3]  Nmodes
1.77992824e-02  2.66165978e+04  13
3.01582443e-02  2.04477022e+04  33
4.28958037e-02  1.54717745e+04  79
5.56732155e-02  1.15114586e+04  117
6.87019957e-02  9.89009935e+03  205
8.09577352e-02  8.31391606e+03  235
9.35343337e-02  6.88838001e+03  369
1.06164502e-01  5.70334453e+03  433
1.18907249e-01  4.91199302e+03  585
1.31524496e-01  4.25643524e+03  679
1.43932658e-01  3.84767569e+03  813
1.56557218e-01  3.43418418e+03  985
1.69407979e-01  2.99135925e+03  1183
1.81937092e-01  2.64185429e+03  1269
1.94415796e-01  2.53105866e+03  1537
2.06952608e-01  2.28307415e+03  1653
2.19515289e-01  2.10909658e+03  1963
2.32108617e-01  1.97436894e+03  2121
2.44733933e-01  1.88261238e+03  2413
2.57363453e-01  1.68704874e+03  2635
2.69900160e-01  1.65837614e+03  2877
2.82389912e-01  1.49866249e+03  3169
2.95026715e-01  1.49887218e+03  3507
3.07573015e-01  1.43699766e+03  3685
3.20131509e-01  1.33424856e+03  4165
3.32798234e-01  1.29902089e+03  4377
3.45439129e-01  1.21254098e+03  4855
3.57953043e-01  1.15041926e+03  4929
3.70470738e-01  1.12794481e+03  5581
3.82961357e-01  1.10168673e+03  5679
3.95577974e-01  1.04169180e+03  6385
4.08187547e-01  1.02835485e+03  6553
4.20787861e-01  9.85847409e+02  7125
4.33381942e-01  9.58504166e+02  7447
4.45940056e-01  9.30362685e+02  7929
4.58524005e-01  9.16765646e+02  8353
4.71028302e-01  8.71765932e+02  8775
4.83582117e-01  8.56251451e+02  9313
4.96171308e-01  8.35207873e+02  9841
5.08698451e-01  8.04338364e+02  10191
5.21266850e-01  7.95358953e+02  10897
5.33851474e-01  7.74284103e+02  11301
5.46484669e-01  7.47031428e+02  12025
5.59105936e-01  7.46985620e+02  12423
5.71673258e-01  7.18084681e+02  13021
5.84175254e-01  7.05567890e+02  13405
5.96689969e-01  6.87832194e+02  14247
6.09276528e-01  6.76277487e+02  14713
6.21855825e-01  6.61357531e+02  15489
6.34433634e-01  6.42281170e+02  15913
6.47037514e-01  6.41724359e+02  16879
6.59633644e-01  6.26909412e+02  17193
6.72235286e-01  6.12684592e+02  18157
6.84740075e-01  6.07924765e+02  18339
6.97295639e-01  5.99981566e+02  19573
7.09882323e-01  5.86588601e+02  19941
7.22383387e-01  5.77405165e+02  20629
7.34953418e-01  5.64081680e+02  21655
7.47529559e-01  5.56098686e+02  22113
7.60130806e-01  5.50092055e+02  23185
7.72707972e-01  5.47830829e+02  23667
7.85228036e-01  5.38902543e+02  24385
7.97852900e-01  5.25928239e+02  25749
8.10414649e-01  5.15741454e+02  25675
8.22983296e-01  5.11695787e+02  27409
8.35562854e-01  5.01964347e+02  27405
8.48080130e-01  4.97098923e+02  28717
8.60685138e-01  4.88507738e+02  29595
8.73271712e-01  4.81708380e+02  30301
8.85799237e-01  4.78079170e+02  31101
8.98326884e-01  4.77793345e+02  32023
9.10882829e-01  4.65788165e+02  32977
9.23526894e-01  4.55266785e+02  34449
9.36128848e-01  4.53739919e+02  34549
9.48697049e-01  4.43034661e+02  36111
9.61271227e-01  4.47864710e+02  36541
9.73803852e-01  4.38121124e+02  37717
9.86339420e-01  4.29695320e+02  38619
9.98901349e-01  4.24477911e+02  39661
1.01143181e+00  4.20950564e+02  40545
1.02398480e+00  4.14169514e+02  41815
1.03662522e+00  4.08227340e+02  43125
1.04921793e+00  4.07449591e+02  43681
1.06175146e+00  3.99932105e+02  44629
1.07431471e+00  3.94134728e+02  46227
1.08691591e+00  3.90104124e+02  46909
1.09948613e+00  3.86152306e+02  48237
1.11198749e+00  3.79054631e+02  48583
1.12457094e+00  3.76815079e+02  50997
1.13720231e+00  3.73293317e+02  51397
1.14976092e+00  3.66439949e+02  52489
1.16231004e+00  3.61749713e+02  53787
1.17487890e+00  3.60811797e+02  54913
1.18743524e+00  3.58030632e+02  55977
1.19999439e+00  3.52948549e+02  57415
1.21253582e+00  3.50212451e+02  58105
1.22509392e+00  3.42637075e+02  60033
1.23769555e+00  3.41251658e+02  60949
1.25026211e+00  3.37697408e+02  62235
1.26280549e+00  3.30509455e+02  63229
1.27540071e+00  3.29641576e+02  65133
1.28797156e+00  3.24511625e+02  65707
1.30053708e+00  3.22538847e+02  67561
1.31311722e+00  3.20370580e+02  68505
1.32567386e+00  3.14756480e+02  69943
1.33823709e+00  3.10227944e+02  71097
1.35081404e+00  3.07875752e+02  73021
1.36336710e+00  3.07603072e+02  73317
1.37591851e+00  3.01793709e+02  75799
1.38846886e+00  2.98080660e+02  76021
1.40103508e+00  2.95840358e+02  78753
1.41362499e+00  2.91734429e+02  79291
1.42620380e+00  2.90513979e+02  81129
1.43878365e+00  2.86409651e+02  82441
1.45136676e+00  2.83105400e+02  83949
1.46393054e+00  2.81236454e+02  85123
1.47650160e+00  2.78382229e+02  86929
1.48905317e+00  2.76374965e+02  87789
1.50157422e+00  2.71690358e+02  89623
1.51415169e+00  2.70026401e+02  91341
1.52672825e+00  2.67151800e+02  92845
1.53929259e+00  2.64097124e+02  94087
1.55187897e+00  2.61456673e+02  96333
1.56446583e+00  2.57946534e+02  97249
1.57706299e+00  2.56193439e+02  99501
1.58957931e+00  2.53182338e+02  99283
1.60209822e+00  2.50506265e+02  102537
1.61467281e+00  2.47947479e+02  103477
1.62724590e+00  2.46528609e+02  105751
1.63983060e+00  2.43455854e+02  106869
1.65239053e+00  2.40816746e+02  108697
1.66497941e+00  2.37923534e+02  110577
1.67759186e+00  2.37836316e+02  112555
1.69012693e+00  2.34953106e+02  112593
1.70265657e+00  2.32076631e+02  115573
1.71523965e+00  2.29432019e+02  117283
1.72781170e+00  2.28431660e+02  118581
1.74036775e+00  2.25849536e+02  120625
1.75292822e+00  2.23964494e+02  121935
1.76550077e+00  2.21498367e+02  124441
1.77806655e+00  2.20151566e+02  125517
1.79061685e+00  2.17294193e+02  127357
1.80319130e+00  2.16509873e+02  129895
1.81576667e+00  2.14247128e+02  130701
1.82834882e+00  2.11400086e+02  133921
1.84092616e+00  2.11151927e+02  134187
1.85348688e+00  2.07424342e+02  137125
1.86606484e+00  2.05346392e+02  138457
1.87865316e+00  2.04227562e+02  140937
1.89119496e+00  2.01864300e+02  141367
1.90373200e+00  1.98669721e+02  144381
1.91628265e+00  1.98936350e+02  145549
1.92887019e+00  1.96046436e+02  149139
1.94147113e+00  1.95019584e+02  149641
1.95401615e+00  1.92604768e+02  151825
1.96656467e+00  1.90749030e+02  153453
1.97911394e+00  1.89316007e+02  155887
1.99169126e+00  1.88465251e+02  158121
2.00427242e+00  1.86052909e+02  159841
2.01680965e+00  1.84851408e+02  161175
2.02938830e+00  1.82607926e+02  164677
2.04198511e+00  1.81929916e+02  166057
2.05454796e+00  1.80296019e+02  167703
2.06711836e+00  1.79173443e+02  170269
2.07969511e+00  1.77497234e+02  172257
2.09225395e+00  1.75503844e+02  173653
2.10480687e+00  1.74746374e+02  176619
2.11736141e+00  1.72615116e+02  177565
2.12992867e+00  1.71107253e+02  181285
2.14251355e+00  1.69620895e+02  182547
2.15508810e+00  1.69013305e+02  184993
2.16764964e+00  1.67258415e+02  186777
